village_code,village_name,subdistrict,latitude,longitude,pct_forest,pct_barren_uncultivable,pct_pastures,elevation_m_EXTERNAL_TOFILL,slope_deg_EXTERNAL_TOFILL,aspect_deg_EXTERNAL_TOFILL,geology_lithology_EXTERNAL_TOFILL,soil_type_EXTERNAL_TOFILL,lineament_density_EXTERNAL_TOFILL,geomorphology_class_EXTERNAL_TOFILL,rainfall_annual_mm_EXTERNAL_TOFILL,drainage_density_km_per_km2_EXTERNAL_TOFILL,historical_landslide_present_EXTERNAL_TOFILL,landslide_susceptibility_score_TARGET,slope_radians,landslide_exposure,slope_risk_class,total_population,total_households,sc_st_population_share_pct,population_density_per_ha,geo_area_ha,pct_net_sown,irrigation_coverage_pct,road_connectivity_score,drainage_quality_score,nearest_town_dist_km,slope_x_lineament,slope_x_rain,elevation_x_slope,drainage_x_slope,bare_slope_risk,forest_protection,rain_per_slope
519890,Meghakui,Vadodara Rural,22.138633,73.278804,0.0,8.16,0.0,100.0,13.5,156.0,Deccan Trap Basalt,Alluvial Loamy Soil,1.18,Alluvial Plain / Valley Fill,1080.4,0.05,0,0.625,0.2356194490192344,625.0,Gentle,1208.0,266.0,26.9,2.709,446.0,90.21,41.34,2,2,21.0,15.93,14585.400000000001,1350.0,0.675,110.16,0.0,79.44117647058825
519858,Talsat,Vadodara Rural,22.238004,73.1711,0.0,0.44,4.8,105.0,14.4,166.4,Deccan Trap Basalt,Alluvial Loamy Soil,1.25,Alluvial Plain / Valley Fill,1107.4,0.001,0,0.649,0.2513274122871834,649.0,Gentle,1124.0,249.0,7.74,4.887,230.0,76.42,34.29,2,2,12.0,18.0,15946.560000000001,1512.0,0.014400000000000001,6.336,0.0,76.37241379310345
519835,Sisva,Vadodara Rural,22.397016,73.178636,0.0,4.07,1.63,95.0,12.6,145.6,Deccan Trap Basalt,Alluvial Loamy Soil,1.11,Alluvial Plain / Valley Fill,1089.4,0.0,0,0.606,0.2199114857512855,606.0,Gentle,2799.0,533.0,12.04,6.696,418.0,73.98,54.95,2,0,15.0,13.986,13726.44,1197.0,0.0,51.282000000000004,0.0,85.77952755905513
519884,Vadsala,Vadodara Rural,22.157934,73.174287,0.0,0.0,14.54,97.5,13.05,150.8,Deccan Trap Basalt,Alluvial Loamy Soil,1.14,Alluvial Plain / Valley Fill,1085.8,0.001,0,0.615,0.22776546738526,615.0,Gentle,3156.0,758.0,36.72,4.541,695.0,70.61,4.25,1,1,18.0,14.876999999999999,14169.69,1272.375,0.01305,0.0,0.0,82.57034220532319
519876,Hansajipura,Vadodara Rural,22.205196,73.260987,0.0,0.8,4.82,102.5,13.95,161.2,Deccan Trap Basalt,Alluvial Loamy Soil,1.22,Alluvial Plain / Valley Fill,1082.2,0.001,0,0.636,0.2434734306532089,636.0,Gentle,223.0,47.0,17.94,0.878,254.0,88.35,2.27,2,1,15.0,17.019,15096.69,1429.875,0.013949999999999999,11.16,0.0,77.02491103202848
519861,Chikhodara,Vadodara Rural,22.233156,73.236326,0.0,0.0,4.91,92.5,12.15,140.4,Deccan Trap Basalt,Alluvial Loamy Soil,1.07,Alluvial Plain / Valley Fill,1105.6,0.001,0,0.597,0.212057504117311,597.0,Gentle,1747.0,380.0,25.36,2.956,591.0,89.68,23.44,2,2,10.0,13.0005,13433.039999999999,1123.875,0.012150000000000001,0.0,0.0,90.25306122448978
802597,Por Ramangamdi INA,Vadodara Rural,22.142991,73.180844,0.0,2.89,4.495,92.5,12.15,140.4,Deccan Trap Basalt,Alluvial Loamy Soil,1.07,Alluvial Plain / Valley Fill,1100.2,0.001,0,0.596,0.212057504117311,596.0,Gentle,311.0,123.0,,,0.0,,,0,0,0.0,13.0005,13367.43,1123.875,0.012150000000000001,35.1135,0.0,89.81224489795919
519915,Sama OG,Vadodara Rural,22.347302,73.207008,0.0,2.89,4.495,90.0,11.7,135.2,Quaternary Alluvium,Alluvial Loamy Soil,1.04,Alluvial Plain / Valley Fill,1102.0,0.001,0,0.587,0.2042035224833365,587.0,Gentle,0.0,0.0,,,0.0,,,0,0,0.0,12.168,12893.4,1053.0,0.0117,33.813,0.0,93.38983050847459
521151,Dhamanja,Karjan,21.998056,73.080688,0.0,4.48,5.16,90.0,11.7,135.2,Quaternary Alluvium,Deep Black Cotton Soil,1.04,Alluvial Plain / Valley Fill,1084.0,0.001,0,0.584,0.2042035224833365,584.0,Gentle,890.0,175.0,57.3,1.532,581.0,89.85,76.63,2,0,8.0,12.168,12682.8,1053.0,0.0117,52.416000000000004,0.0,91.86440677966102
521152,Lakodara,Karjan,21.995859,73.111902,0.0,2.68,4.97,90.0,12.15,140.4,Deccan Trap Basalt,Deep Black Cotton Soil,1.07,Alluvial Plain / Valley Fill,1091.2,0.001,0,0.595,0.212057504117311,595.0,Gentle,1947.0,389.0,23.88,2.638,738.0,79.11,100.0,3,0,7.0,13.0005,13258.080000000002,1093.5,0.012150000000000001,32.562000000000005,0.0,89.07755102040817
521162,Osalam,Karjan,21.991137,73.145019,0.0,3.92,4.65,102.5,14.4,166.4,Deccan Trap Basalt,Deep Black Cotton Soil,1.25,Alluvial Plain / Valley Fill,1112.8,0.001,0,0.65,0.2513274122871834,650.0,Gentle,1678.0,335.0,46.42,2.054,817.0,90.45,100.0,2,1,12.0,18.0,16024.32,1476.0,0.014400000000000001,56.448,0.0,76.7448275862069
521112,Kotna,Padra,22.0948,72.981493,0.4,5.35,5.21,95.0,12.6,145.6,Deccan Trap Basalt,Alluvial Loamy Soil,1.11,Alluvial Plain / Valley Fill,1098.4,0.0,0,0.606,0.2199114857512855,606.0,Gentle,1214.0,257.0,30.56,1.623,748.0,86.1,55.9,2,1,15.0,13.986,13839.84,1197.0,0.0,67.41,0.03149606299212599,86.48818897637797
521116,Kothwada,Padra,22.110103,73.07992,0.0,4.68,0.0,100.0,13.05,150.8,Deccan Trap Basalt,Alluvial Loamy Soil,1.14,Alluvial Plain / Valley Fill,1105.6,0.001,0,0.618,0.22776546738526,618.0,Gentle,780.0,159.0,16.92,3.319,235.0,80.85,52.63,2,1,10.0,14.876999999999999,14428.08,1305.0,0.01305,61.074,0.0,84.07604562737642
521113,Shahera,Padra,22.100724,73.017333,0.32,4.84,7.1,92.5,12.15,140.4,Deccan Trap Basalt,Alluvial Loamy Soil,1.07,Alluvial Plain / Valley Fill,1080.4,0.001,0,0.593,0.212057504117311,593.0,Gentle,869.0,187.0,19.79,2.803,310.0,81.94,39.37,1,1,17.0,13.0005,13126.86,1123.875,0.012150000000000001,58.806,0.026122448979591838,88.19591836734695
521117,Vasnaref,Padra,22.08068,72.97523,0.0,3.23,5.07,90.0,11.7,135.2,Quaternary Alluvium,Alluvial Loamy Soil,1.04,Alluvial Plain / Valley Fill,1093.0,0.001,0,0.586,0.2042035224833365,586.0,Gentle,407.0,88.0,15.97,0.938,434.0,85.94,71.85,2,1,16.0,12.168,12788.099999999999,1053.0,0.0117,37.791,0.0,92.6271186440678
521119,Sokhdaraghu,Padra,22.064954,72.97663,0.0,0.57,5.11,97.5,13.5,156.0,Deccan Trap Basalt,Alluvial Loamy Soil,1.18,Alluvial Plain / Valley Fill,1087.6,0.001,0,0.626,0.2356194490192344,626.0,Gentle,2015.0,397.0,18.46,5.741,351.0,87.78,16.5,2,1,15.0,15.93,14682.599999999999,1316.25,0.0135,7.694999999999999,0.0,79.97058823529412
519899,Kashipura,Vadodara Rural,22.116365,73.166323,0.0,0.84,1.47,95.0,12.6,145.6,Deccan Trap Basalt,Alluvial Loamy Soil,1.11,Alluvial Plain / Valley Fill,1089.4,0.001,0,0.606,0.2199114857512855,606.0,Gentle,1117.0,241.0,50.49,2.382,469.0,84.63,55.97,2,2,8.0,13.986,13726.44,1197.0,0.0126,10.584,0.0,85.77952755905513
519898,Sarar,Vadodara Rural,22.104863,73.149804,0.0,1.08,0.0,95.0,12.6,145.6,Deccan Trap Basalt,Alluvial Loamy Soil,1.11,Alluvial Plain / Valley Fill,1100.2,0.001,0,0.607,0.2199114857512855,607.0,Gentle,2480.0,518.0,28.59,2.248,1103.0,95.78,46.15,2,2,8.0,13.986,13862.52,1197.0,0.0126,13.608,0.0,86.62992125984253
251215,Karjan,Karjan,22.053736,73.127378,0.0,2.89,4.495,25.0,0.2,0.0,Quaternary Alluvium,Deep Black Cotton Soil,0.12,Alluvial Plain / Valley Fill,850.0,0.0,0,0.286,0.0034906585039886,286.0,Flat,30405.0,6473.0,,,0.0,,,0,0,0.0,0.024,170.0,5.0,0.0,0.5780000000000001,0.0,2833.333333333333
520999,Mandala,Dabhoi,22.082633,73.328643,7.03,1.6,3.78,90.0,11.7,135.2,Quaternary Alluvium,Deep Black Cotton Soil,1.04,Alluvial Plain / Valley Fill,1084.0,0.001,0,0.574,0.2042035224833365,574.0,Gentle,3427.0,794.0,53.02,1.824,1879.0,87.17,45.05,3,2,10.0,12.168,12682.8,1053.0,0.0117,18.72,0.5957627118644069,91.86440677966102
520998,Parikha,Dabhoi,22.082741,73.291885,0.0,8.87,3.01,90.0,0.2,0.0,Quaternary Alluvium,Deep Black Cotton Soil,0.12,Alluvial Plain / Valley Fill,850.0,0.001,0,0.286,0.0034906585039886,286.0,Flat,1131.0,253.0,48.28,1.698,666.0,87.07,56.82,2,2,15.0,0.024,170.0,18.0,0.0002,1.774,0.0,2833.333333333333
520973,Nada,Dabhoi,22.131256,73.375066,7.94,1.82,5.84,90.0,11.7,135.2,Quaternary Alluvium,Deep Black Cotton Soil,1.04,Alluvial Plain / Valley Fill,1091.2,0.05,0,0.573,0.2042035224833365,573.0,Gentle,1826.0,462.0,52.52,1.749,1044.0,83.44,16.63,3,0,5.0,12.168,12767.039999999999,1053.0,0.585,21.294,0.6728813559322034,92.47457627118645
520979,Sejpura,Dabhoi,22.122262,73.298782,2.59,4.31,6.03,92.5,13.5,156.0,Deccan Trap Basalt,Deep Black Cotton Soil,1.18,Alluvial Plain / Valley Fill,1080.4,0.0,0,0.621,0.2356194490192344,621.0,Gentle,421.0,97.0,83.37,1.807,233.0,87.07,100.0,2,0,12.0,15.93,14585.400000000001,1248.75,0.0,58.184999999999995,0.19044117647058822,79.44117647058825
520982,Tharvasa,Dabhoi,22.112532,73.392616,0.0,0.0,5.59,92.5,11.7,135.2,Quaternary Alluvium,Deep Black Cotton Soil,1.04,Alluvial Plain / Valley Fill,1096.6,0.0,0,0.586,0.2042035224833365,586.0,Gentle,731.0,151.0,38.99,2.15,340.0,89.71,98.36,3,0,3.0,12.168,12830.219999999998,1082.25,0.0,0.0,0.0,92.9322033898305
520981,Baripura,Dabhoi,22.112979,73.33336,0.0,3.87,0.0,95.0,12.6,145.6,Deccan Trap Basalt,Deep Black Cotton Soil,1.11,Alluvial Plain / Valley Fill,1087.6,0.001,0,0.605,0.2199114857512855,605.0,Gentle,720.0,168.0,30.83,1.856,388.0,79.9,80.65,2,0,9.0,13.986,13703.759999999998,1197.0,0.0126,48.762,0.0,85.63779527559055
520980,Vakhatpura,Dabhoi,22.115875,73.315005,0.0,0.0,0.0,87.5,11.25,130.0,Quaternary Alluvium,Deep Black Cotton Soil,1.0,Alluvial Plain / Valley Fill,1098.4,0.001,0,0.576,0.196349540849362,576.0,Gentle,180.0,47.0,38.89,0.994,181.0,73.48,75.19,1,0,11.0,11.25,12357.000000000002,984.375,0.01125,0.0,0.0,96.77533039647578
520991,Habipura,Dabhoi,22.106409,73.353946,0.0,8.69,3.07,100.0,11.7,135.2,Quaternary Alluvium,Deep Black Cotton Soil,1.04,Alluvial Plain / Valley Fill,1084.0,0.0,0,0.584,0.2042035224833365,584.0,Gentle,1688.0,373.0,34.95,1.724,979.0,87.93,93.02,3,0,6.0,12.168,12682.8,1170.0,0.0,101.67299999999999,0.0,91.86440677966102
520978,Chhatral,Dabhoi,22.109304,73.290473,0.0,2.19,12.77,92.5,12.15,140.4,Deccan Trap Basalt,Deep Black Cotton Soil,1.07,Alluvial Plain / Valley Fill,1073.2,0.0,0,0.593,0.212057504117311,593.0,Gentle,1170.0,260.0,38.21,2.135,548.0,84.12,81.13,2,2,15.0,13.0005,13039.380000000001,1123.875,0.0,26.6085,0.0,87.60816326530613
520977,Khanpur,Dabhoi,22.11699,73.276368,0.0,19.01,4.93,97.5,13.05,150.8,Deccan Trap Basalt,Deep Black Cotton Soil,1.14,Alluvial Plain / Valley Fill,1082.2,0.0,0,0.614,0.22776546738526,614.0,Gentle,918.0,192.0,35.19,2.155,426.0,76.06,61.73,2,1,19.0,14.876999999999999,14122.710000000001,1272.375,0.0,248.08050000000003,0.0,82.29657794676807
520994,Menpura,Dabhoi,22.106381,73.232355,0.0,0.0,0.0,100.0,13.5,156.0,Deccan Trap Basalt,Deep Black Cotton Soil,1.18,Alluvial Plain / Valley Fill,1116.4,0.001,0,0.63,0.2356194490192344,630.0,Gentle,1048.0,241.0,57.25,2.345,447.0,84.56,79.37,2,2,22.0,15.93,15071.400000000001,1350.0,0.0135,0.0,0.0,82.08823529411765
520993,Kunvarpura,Dabhoi,22.102555,73.268697,0.0,2.77,0.0,92.5,12.6,145.6,Deccan Trap Basalt,Deep Black Cotton Soil,1.11,Alluvial Plain / Valley Fill,1091.2,0.001,0,0.606,0.2199114857512855,606.0,Gentle,482.0,109.0,16.8,1.668,289.0,92.04,75.19,0,1,20.0,13.986,13749.12,1165.5,0.0126,34.902,0.0,85.92125984251969
521128,Bamangam,Karjan,22.103873,73.192831,0.0,3.98,0.0,92.5,12.15,140.4,Deccan Trap Basalt,Deep Black Cotton Soil,1.07,Alluvial Plain / Valley Fill,1114.6,0.0,0,0.598,0.212057504117311,598.0,Gentle,1884.0,418.0,21.76,2.599,725.0,45.38,100.0,3,1,9.0,13.0005,13542.39,1123.875,0.0,48.357,0.0,90.98775510204081
519905,Samsabad,Vadodara Rural,22.120986,73.265597,0.0,2.32,2.14,97.5,13.05,150.8,Deccan Trap Basalt,Alluvial Loamy Soil,1.14,Alluvial Plain / Valley Fill,1085.8,0.0,0,0.615,0.22776546738526,615.0,Gentle,801.0,180.0,39.08,1.298,617.0,92.86,28.85,2,1,21.0,14.876999999999999,14169.69,1272.375,0.0,30.276,0.0,82.57034220532319
520987,Navi Mangrol,Dabhoi,22.095945,73.471121,0.0,0.0,7.63,85.0,10.8,124.8,Quaternary Alluvium,Deep Black Cotton Soil,0.96,Alluvial Plain / Valley Fill,1084.0,0.001,0,0.563,0.1884955592153876,563.0,Gentle,394.0,94.0,52.79,1.677,235.0,80.08,100.0,2,0,8.0,10.368,11707.2,918.0000000000001,0.0108,0.0,0.0,99.44954128440367
521020,Manpur,Dabhoi,22.05,73.448552,0.0,11.83,11.83,87.5,11.25,130.0,Quaternary Alluvium,Deep Black Cotton Soil,1.0,Alluvial Plain / Valley Fill,1112.8,0.0,0,0.578,0.196349540849362,578.0,Gentle,371.0,92.0,30.19,1.995,186.0,76.34,100.0,2,0,14.0,11.25,12519.0,984.375,0.0,133.0875,0.0,98.04405286343612
521023,Akoti,Dabhoi,22.041523,73.490974,5.79,8.18,5.19,97.5,13.05,150.8,Deccan Trap Basalt,Deep Black Cotton Soil,1.14,Alluvial Plain / Valley Fill,1084.0,0.002,0,0.606,0.22776546738526,606.0,Gentle,1091.0,225.0,34.1,2.178,501.0,80.64,100.0,3,0,10.0,14.876999999999999,14146.2,1272.375,0.0261,106.749,0.4403041825095057,82.43346007604562
521001,Sitpur,Dabhoi,22.08057,73.471272,0.0,0.0,25.56,90.0,11.7,135.2,Quaternary Alluvium,Deep Black Cotton Soil,1.04,Alluvial Plain / Valley Fill,1103.8,0.001,0,0.587,0.2042035224833365,587.0,Gentle,1813.0,415.0,47.05,1.923,943.0,74.44,43.02,3,0,8.0,12.168,12914.46,1053.0,0.0117,0.0,0.0,93.54237288135593
520989,Gamdi Kanayada,Dabhoi,22.095686,73.413239,0.0,9.95,0.69,92.5,12.15,140.4,Deccan Trap Basalt,Deep Black Cotton Soil,1.07,Alluvial Plain / Valley Fill,1098.4,0.001,0,0.596,0.212057504117311,596.0,Gentle,981.0,201.0,25.69,2.266,433.0,84.49,72.6,2,0,5.0,13.0005,13345.560000000001,1123.875,0.012150000000000001,120.8925,0.0,89.66530612244898
521003,Dharmapura,Dabhoi,22.085604,73.534557,2.17,2.9,7.97,90.0,11.7,135.2,Quaternary Alluvium,Deep Black Cotton Soil,1.04,Alluvial Plain / Valley Fill,1087.6,0.001,0,0.582,0.2042035224833365,582.0,Gentle,338.0,79.0,18.93,2.449,138.0,86.96,83.33,3,0,17.0,12.168,12724.919999999998,1053.0,0.0117,33.93,0.18389830508474578,92.16949152542372
521012,Vadaj,Dabhoi,22.075049,73.438367,0.0,10.97,1.15,97.5,13.05,150.8,Deccan Trap Basalt,Deep Black Cotton Soil,1.14,Alluvial Plain / Valley Fill,1102.0,0.0,0,0.617,0.22776546738526,617.0,Gentle,2266.0,493.0,64.34,1.634,1387.0,87.88,98.52,2,2,7.0,14.876999999999999,14381.1,1272.375,0.0,143.1585,0.0,83.80228136882128
521002,Bhilodiya,Dabhoi,22.079777,73.507412,0.0,13.62,0.0,92.5,12.15,140.4,Deccan Trap Basalt,Deep Black Cotton Soil,1.07,Alluvial Plain / Valley Fill,1096.6,0.003,0,0.596,0.212057504117311,596.0,Gentle,1251.0,321.0,28.54,2.005,624.0,86.38,92.76,3,0,15.0,13.0005,13323.689999999999,1123.875,0.03645,165.483,0.0,89.51836734693877
521000,Kanayada,Dabhoi,22.076657,73.405223,0.0,2.92,5.57,100.0,13.5,156.0,Deccan Trap Basalt,Deep Black Cotton Soil,1.18,Alluvial Plain / Valley Fill,1111.0,0.001,0,0.629,0.2356194490192344,629.0,Gentle,1421.0,266.0,31.53,3.769,377.0,85.41,53.42,2,0,5.0,15.93,14998.5,1350.0,0.0135,39.42,0.0,81.69117647058823
521010,Chanwada,Dabhoi,22.064168,73.468113,0.0,0.0,21.28,92.5,11.7,135.2,Quaternary Alluvium,Deep Black Cotton Soil,1.04,Alluvial Plain / Valley Fill,1100.2,0.001,0,0.587,0.2042035224833365,587.0,Gentle,1686.0,361.0,30.66,3.587,470.0,76.6,83.33,3,0,11.0,12.168,12872.34,1082.25,0.0117,0.0,0.0,93.23728813559323
521004,Para,Dabhoi,22.072918,73.531128,0.56,2.26,6.21,90.0,11.7,135.2,Quaternary Alluvium,Deep Black Cotton Soil,1.04,Alluvial Plain / Valley Fill,1091.2,0.002,0,0.585,0.2042035224833365,585.0,Gentle,211.0,53.0,54.5,1.192,177.0,90.96,62.11,2,0,16.0,12.168,12767.039999999999,1053.0,0.0234,26.441999999999997,0.047457627118644076,92.47457627118645
521006,Asgol,Dabhoi,22.064052,73.533433,0.0,4.69,5.16,90.0,10.8,124.8,Quaternary Alluvium,Deep Black Cotton Soil,0.96,Alluvial Plain / Valley Fill,1085.8,0.002,0,0.563,0.1884955592153876,563.0,Gentle,352.0,84.0,17.05,1.66,212.0,89.2,94.74,2,0,17.0,10.368,11726.64,972.0000000000001,0.0216,50.65200000000001,0.0,99.61467889908256
521007,Araniya,Dabhoi,22.058945,73.527337,1.42,4.72,6.13,87.5,11.25,130.0,Quaternary Alluvium,Deep Black Cotton Soil,1.0,Alluvial Plain / Valley Fill,1084.0,0.002,0,0.571,0.196349540849362,571.0,Gentle,417.0,98.0,34.29,1.976,211.0,87.74,46.24,2,0,15.0,11.25,12195.0,984.375,0.0225,53.099999999999994,0.1251101321585903,95.50660792951543
521013,Ten Talav,Dabhoi,22.049604,73.413979,2.28,6.99,8.49,105.0,14.85,171.6,Deccan Trap Basalt,Deep Black Cotton Soil,1.29,Alluvial Plain / Valley Fill,1109.2,0.0,0,0.657,0.2591813939211579,657.0,Gentle,3013.0,658.0,47.93,2.151,1401.0,82.24,100.0,2,2,12.0,19.1565,16471.62,1559.25,0.0,103.8015,0.15250836120401337,74.19397993311037
521009,Asodara,Dabhoi,22.048387,73.5033,0.0,19.1,0.3,90.0,11.7,135.2,Quaternary Alluvium,Deep Black Cotton Soil,1.04,Alluvial Plain / Valley Fill,1084.0,0.003,0,0.584,0.2042035224833365,584.0,Gentle,746.0,158.0,90.62,1.122,665.0,80.45,93.46,2,2,15.0,12.168,12682.8,1053.0,0.0351,223.47,0.0,91.86440677966102
521008,Nagdol,Dabhoi,22.053618,73.516519,0.0,11.03,1.78,87.5,11.25,130.0,Quaternary Alluvium,Deep Black Cotton Soil,1.0,Alluvial Plain / Valley Fill,1085.8,0.002,0,0.574,0.196349540849362,574.0,Gentle,557.0,132.0,64.63,1.982,281.0,84.7,84.03,2,0,17.0,11.25,12215.25,984.375,0.0225,124.08749999999999,0.0,95.66519823788546
521011,Ordi,Dabhoi,22.050937,73.459476,0.0,15.91,3.79,85.0,10.8,124.8,Quaternary Alluvium,Deep Black Cotton Soil,0.96,Alluvial Plain / Valley Fill,1091.2,0.001,0,0.564,0.1884955592153876,564.0,Gentle,742.0,145.0,29.78,2.821,263.0,79.55,66.67,2,0,13.0,10.368,11784.960000000001,918.0000000000001,0.0108,171.828,0.0,100.11009174311927
521022,Paragam,Dabhoi,22.040225,73.47484,0.0,0.0,4.48,82.5,10.35,119.6,Quaternary Alluvium,Deep Black Cotton Soil,0.93,Alluvial Plain / Valley Fill,1096.6,0.001,0,0.555,0.1806415775814131,555.0,Gentle,582.0,126.0,31.96,2.61,223.0,75.34,100.0,2,0,10.0,9.6255,11349.81,853.875,0.01035,0.0,0.0,104.9377990430622
521021,Rajpura,Dabhoi,22.034954,73.452827,0.0,10.54,3.4,90.0,10.8,124.8,Quaternary Alluvium,Deep Black Cotton Soil,0.96,Alluvial Plain / Valley Fill,1109.2,0.001,0,0.566,0.1884955592153876,566.0,Gentle,759.0,165.0,38.21,2.59,293.0,85.37,100.0,2,1,17.0,10.368,11979.36,972.0000000000001,0.0108,113.832,0.0,101.76146788990826
521026,Gumanpura,Dabhoi,22.027967,73.466711,0.0,22.55,6.86,90.0,11.7,135.2,Quaternary Alluvium,Deep Black Cotton Soil,1.04,Alluvial Plain / Valley Fill,1075.0,0.001,0,0.583,0.2042035224833365,583.0,Gentle,365.0,75.0,15.62,1.789,204.0,70.59,100.0,1,0,14.0,12.168,12577.5,1053.0,0.0117,263.835,0.0,91.10169491525424
521025,Bhumasiya,Dabhoi,22.029212,73.484929,0.0,0.0,88.79,92.5,12.15,140.4,Deccan Trap Basalt,Deep Black Cotton Soil,1.07,Alluvial Plain / Valley Fill,1087.6,0.001,0,0.595,0.212057504117311,595.0,Gentle,427.0,88.0,59.72,3.991,107.0,11.21,100.0,2,0,15.0,13.0005,13214.34,1123.875,0.012150000000000001,0.0,0.0,88.78367346938775
