village_code,village_name,subdistrict,latitude,longitude,geo_area_ha,pct_forest,pct_barren_uncultivable,pct_net_sown,pct_fallow,pct_pastures,pct_non_agri_builtup,irrigation_coverage_pct,cover_management_index_C_proxy,slope_deg_EXTERNAL_TOFILL,slope_length_m_EXTERNAL_TOFILL,soil_type_EXTERNAL_TOFILL,soil_erodibility_K_EXTERNAL_TOFILL,rainfall_erosivity_R_EXTERNAL_TOFILL,support_practice_P_EXTERNAL_TOFILL,erosion_risk_score_TARGET,slope_steepness,rainfall_erosivity_calc,soil_resistance,vegetation_cover,bare_soil_ratio,erosion_risk_category
251215,Karjan,Karjan,22.053736,73.127378,0.0,0.0,2.8899999999999997,83.32,0.0,4.495,3.5549999999999997,69.87,0.0,0.2,52.4,Deep Black Cotton Soil,0.15,387.6,0.9,0.02,0.003490651415223732,387.6,6.25,4.495,2.8899999999999997,Low
520999,Mandala,Dabhoi,22.082633,73.328643,1879.0,7.03,1.6,87.17,0.0,3.78,0.43,45.05,0.283,11.7,190.4,Deep Black Cotton Soil,0.349,472.5,0.75,0.98,0.20278729535651246,472.5,2.785515320334262,10.81,1.6,Very High
520998,Parikha,Dabhoi,22.082741,73.291885,666.0,0.0,8.87,87.07,0.0,3.01,1.05,56.82,0.346,0.2,52.4,Deep Black Cotton Soil,0.15,387.6,0.75,0.044,0.003490651415223732,387.6,6.25,3.01,8.87,Low
520973,Nada,Dabhoi,22.131256,73.375066,1044.0,7.94,1.82,83.44,0.0,5.84,0.0,16.63,0.277,11.7,190.4,Deep Black Cotton Soil,0.351,475.1,0.75,0.98,0.20278729535651246,475.1,2.770083102493075,13.780000000000001,1.82,Very High
520979,Sejpura,Dabhoi,22.122262,73.298782,233.0,2.59,4.31,87.07,0.0,6.03,0.0,100.0,0.31,13.5,212.0,Deep Black Cotton Soil,0.312,471.2,0.75,0.98,0.2334453638559054,471.2,3.1055900621118013,8.620000000000001,4.31,Very High
520982,Tharvasa,Dabhoi,22.112532,73.392616,340.0,0.0,0.0,89.71,0.0,5.59,4.71,98.36,0.278,11.7,190.4,Deep Black Cotton Soil,0.348,477.1,0.75,0.98,0.20278729535651246,477.1,2.793296089385475,5.59,0.0,Very High
520981,Baripura,Dabhoi,22.112979,73.33336,388.0,0.0,3.87,79.9,0.0,0.0,16.24,80.65,0.275,12.6,201.2,Deep Black Cotton Soil,0.34,473.8,0.75,0.98,0.21814324139654254,473.8,2.8571428571428568,0.0,3.87,Very High
520980,Vakhatpura,Dabhoi,22.115875,73.315005,181.0,0.0,0.0,73.48,0.0,0.0,13.26,75.19,0.22,11.25,185.0,Deep Black Cotton Soil,0.343,477.7,0.75,0.98,0.19509032201612825,477.7,2.8328611898016995,0.0,0.0,Very High
520991,Habipura,Dabhoi,22.106409,73.353946,979.0,0.0,8.69,87.93,0.0,3.07,0.31,93.02,0.347,11.7,190.4,Deep Black Cotton Soil,0.349,472.5,0.75,0.98,0.20278729535651246,472.5,2.785515320334262,3.07,8.69,Very High
520978,Chhatral,Dabhoi,22.109304,73.290473,548.0,0.0,2.19,84.12,0.0,12.77,0.91,81.13,0.291,12.15,195.8,Deep Black Cotton Soil,0.308,468.6,0.75,0.98,0.21047175982130567,468.6,3.144654088050314,12.77,2.19,Very High
520977,Khanpur,Dabhoi,22.11699,73.276368,426.0,0.0,19.01,76.06,0.0,4.93,0.0,61.73,0.407,13.05,206.6,Deep Black Cotton Soil,0.304,471.8,0.75,0.98,0.2258012668691037,471.8,3.1847133757961785,4.93,19.01,Very High
520994,Menpura,Dabhoi,22.106381,73.232355,447.0,0.0,0.0,84.56,0.0,0.0,10.51,79.37,0.254,13.5,212.0,Deep Black Cotton Soil,0.321,484.3,0.75,0.98,0.2334453638559054,484.3,3.021148036253776,0.0,0.0,Very High
520993,Kunvarpura,Dabhoi,22.102555,73.268697,289.0,0.0,2.77,92.04,0.0,0.0,5.19,75.19,0.301,12.6,201.2,Deep Black Cotton Soil,0.309,475.1,0.75,0.98,0.21814324139654254,475.1,3.134796238244514,0.0,2.77,Very High
521128,Bamangam,Karjan,22.103873,73.192831,725.0,0.0,3.98,45.38,44.09,0.0,6.56,100.0,0.436,12.15,195.8,Deep Black Cotton Soil,0.304,483.6,0.9,0.98,0.21047175982130567,483.6,3.1847133757961785,0.0,48.07,Very High
519905,Samsabad,Vadodara Rural,22.120986,73.265597,617.0,0.0,2.32,92.86,0.0,2.14,0.71,28.85,0.303,13.05,206.6,Alluvial Loamy Soil,0.304,473.1,0.75,0.98,0.2258012668691037,473.1,3.1847133757961785,2.14,2.32,Very High
520987,Navi Mangrol,Dabhoi,22.095945,73.471121,235.0,0.0,0.0,80.08,0.0,7.63,12.29,100.0,0.252,10.8,179.6,Deep Black Cotton Soil,0.368,472.5,0.75,0.98,0.18738131458572463,472.5,2.6455026455026456,7.63,0.0,Very High
521020,Manpur,Dabhoi,22.05,73.448552,186.0,0.0,11.83,76.34,0.0,11.83,0.0,100.0,0.353,11.25,185.0,Deep Black Cotton Soil,0.367,482.9,0.75,0.98,0.19509032201612825,482.9,2.6525198938992043,11.83,11.83,Very High
521023,Akoti,Dabhoi,22.041523,73.490974,501.0,5.79,8.18,80.64,0.0,5.19,0.0,100.0,0.324,13.05,206.6,Deep Black Cotton Soil,0.364,472.5,0.75,0.98,0.2258012668691037,472.5,2.6737967914438503,10.98,8.18,Very High
521001,Sitpur,Dabhoi,22.08057,73.471272,943.0,0.0,0.0,74.44,0.0,25.56,0.0,43.02,0.262,11.7,190.4,Deep Black Cotton Soil,0.371,479.7,0.75,0.98,0.20278729535651246,479.7,2.6246719160104988,25.56,0.0,Very High
520989,Gamdi Kanayada,Dabhoi,22.095686,73.413239,433.0,0.0,9.95,84.49,0.0,0.69,4.86,72.6,0.344,12.15,195.8,Deep Black Cotton Soil,0.369,477.7,0.75,0.98,0.21047175982130567,477.7,2.638522427440633,0.69,9.95,Very High
521003,Dharmapura,Dabhoi,22.085604,73.534557,138.0,2.17,2.9,86.96,0.0,7.97,0.0,83.33,0.299,11.7,190.4,Deep Black Cotton Soil,0.377,473.8,0.75,0.98,0.20278729535651246,473.8,2.5839793281653747,10.14,2.9,Very High
521012,Vadaj,Dabhoi,22.075049,73.438367,1387.0,0.0,10.97,87.88,0.0,1.15,0.0,98.52,0.364,13.05,206.6,Deep Black Cotton Soil,0.386,479.0,0.75,0.98,0.2258012668691037,479.0,2.525252525252525,1.15,10.97,Very High
521002,Bhilodiya,Dabhoi,22.079777,73.507412,624.0,0.0,13.62,86.38,0.0,0.0,0.0,92.76,0.382,12.15,195.8,Deep Black Cotton Soil,0.384,477.1,0.75,0.98,0.21047175982130567,477.1,2.5380710659898478,0.0,13.62,Very High
521000,Kanayada,Dabhoi,22.076657,73.405223,377.0,0.0,2.92,85.41,0.0,5.57,6.1,53.42,0.291,13.5,212.0,Deep Black Cotton Soil,0.366,482.3,0.75,0.98,0.2334453638559054,482.3,2.6595744680851063,5.57,2.92,Very High
521010,Chanwada,Dabhoi,22.064168,73.468113,470.0,0.0,0.0,76.6,0.0,21.28,2.13,83.33,0.262,11.7,190.4,Deep Black Cotton Soil,0.361,478.4,0.75,0.98,0.20278729535651246,478.4,2.6954177897574123,21.28,0.0,Very High
521004,Para,Dabhoi,22.072918,73.531128,177.0,0.56,2.26,90.96,0.0,6.21,0.0,62.11,0.303,11.7,190.4,Deep Black Cotton Soil,0.373,475.1,0.75,0.98,0.20278729535651246,475.1,2.6109660574412534,6.77,2.26,Very High
521006,Asgol,Dabhoi,22.064052,73.533433,212.0,0.0,4.69,89.2,0.0,5.16,0.94,94.74,0.318,10.8,179.6,Deep Black Cotton Soil,0.371,473.1,0.75,0.98,0.18738131458572463,473.1,2.6246719160104988,5.16,4.69,Very High
521007,Araniya,Dabhoi,22.058945,73.527337,211.0,1.42,4.72,87.74,0.0,6.13,0.0,46.24,0.315,11.25,185.0,Deep Black Cotton Soil,0.373,472.5,0.75,0.98,0.19509032201612825,472.5,2.6109660574412534,7.55,4.72,Very High
521013,Ten Talav,Dabhoi,22.049604,73.413979,1401.0,2.28,6.99,82.24,0.0,8.49,0.0,100.0,0.323,14.85,228.2,Deep Black Cotton Soil,0.374,481.6,0.75,0.98,0.2562893731329966,481.6,2.6041666666666665,10.77,6.99,Very High
521009,Asodara,Dabhoi,22.048387,73.5033,665.0,0.0,19.1,80.45,0.0,0.3,0.15,93.46,0.414,11.7,190.4,Deep Black Cotton Soil,0.365,472.5,0.75,0.98,0.20278729535651246,472.5,2.6666666666666665,0.3,19.1,Very High
521008,Nagdol,Dabhoi,22.053618,73.516519,281.0,0.0,11.03,84.7,0.0,1.78,2.49,84.03,0.356,11.25,185.0,Deep Black Cotton Soil,0.378,473.1,0.75,0.98,0.19509032201612825,473.1,2.5773195876288657,1.78,11.03,Very High
521011,Ordi,Dabhoi,22.050937,73.459476,263.0,0.0,15.91,79.55,0.0,3.79,0.76,66.67,0.388,10.8,179.6,Deep Black Cotton Soil,0.365,475.1,0.75,0.98,0.18738131458572463,475.1,2.6666666666666665,3.79,15.91,Very High
521022,Paragam,Dabhoi,22.040225,73.47484,223.0,0.0,0.0,75.34,0.0,4.48,20.18,100.0,0.233,10.35,174.2,Deep Black Cotton Soil,0.37,477.1,0.75,0.98,0.17966074859319253,477.1,2.6315789473684212,4.48,0.0,Very High
521021,Rajpura,Dabhoi,22.034954,73.452827,293.0,0.0,10.54,85.37,0.0,3.4,0.68,100.0,0.356,10.8,179.6,Deep Black Cotton Soil,0.372,481.6,0.75,0.98,0.18738131458572463,481.6,2.6178010471204187,3.4,10.54,Very High
521026,Gumanpura,Dabhoi,22.027967,73.466711,204.0,0.0,22.55,70.59,0.0,6.86,0.0,100.0,0.425,11.7,190.4,Deep Black Cotton Soil,0.381,469.2,0.75,0.98,0.20278729535651246,469.2,2.557544757033248,6.86,22.55,Very High
521025,Bhumasiya,Dabhoi,22.029212,73.484929,107.0,0.0,0.0,11.21,0.0,88.79,0.0,100.0,0.167,12.15,195.8,Deep Black Cotton Soil,0.378,473.8,0.9,0.98,0.21047175982130567,473.8,2.5773195876288657,88.79,0.0,Very High
521024,Sompura,Dabhoi,22.025399,73.498561,213.0,2.35,2.82,90.14,0.0,3.29,1.41,100.0,0.301,12.15,195.8,Deep Black Cotton Soil,0.384,469.9,0.75,0.98,0.21047175982130567,469.9,2.5380710659898478,5.640000000000001,2.82,Very High
521030,Jesangpura,Dabhoi,22.019937,73.480743,297.0,11.78,0.0,41.41,0.0,46.46,0.34,100.0,0.196,12.15,195.8,Deep Black Cotton Soil,0.378,471.8,0.9,0.98,0.21047175982130567,471.8,2.5773195876288657,58.24,0.0,Very High
521027,Sanor,Dabhoi,22.01772,73.454152,638.0,0.0,12.09,87.13,0.0,0.78,0.0,100.0,0.371,15.3,233.6,Deep Black Cotton Soil,0.386,477.7,0.75,0.98,0.2638730499653729,477.7,2.525252525252525,0.78,12.09,Very High
521031,Bhalodra,Dabhoi,22.010556,73.493043,465.0,0.0,28.39,71.61,0.0,0.0,0.0,100.0,0.47,13.05,206.6,Deep Black Cotton Soil,0.381,468.6,0.75,0.98,0.2258012668691037,468.6,2.557544757033248,0.0,28.39,Very High
521028,Mandva,Dabhoi,22.001965,73.434328,1161.0,0.0,0.0,74.53,0.0,0.0,25.47,100.0,0.224,13.05,206.6,Deep Black Cotton Soil,0.381,476.4,0.75,0.98,0.2258012668691037,476.4,2.557544757033248,0.0,0.0,Very High
521033,Gamdi,Dabhoi,21.999967,73.472539,339.0,0.0,0.0,81.66,0.0,18.34,0.0,61.59,0.272,11.7,190.4,Deep Black Cotton Soil,0.386,472.5,0.75,0.98,0.20278729535651246,472.5,2.525252525252525,18.34,0.0,Very High
521029,Fulwadi,Dabhoi,22.007016,73.452339,429.0,0.0,24.53,50.47,0.0,21.03,3.97,100.0,0.404,13.5,212.0,Deep Black Cotton Soil,0.38,477.7,0.9,0.98,0.2334453638559054,477.7,2.564102564102564,21.03,24.53,Very High
521034,Chandod,Dabhoi,21.991799,73.460127,65.0,0.0,69.23,24.62,0.0,0.0,6.15,100.0,0.697,12.15,195.8,Deep Black Cotton Soil,0.376,473.1,0.9,0.98,0.21047175982130567,473.1,2.5906735751295336,0.0,69.23,Very High
521219,Nana Karala,Sinor,22.018617,73.417563,541.0,0.0,1.48,93.35,0.0,1.85,3.33,79.21,0.296,14.4,222.8,Deep Black Cotton Soil,0.387,477.1,0.75,0.98,0.2486898871648548,477.1,2.5188916876574305,1.85,1.48,Very High
521234,Satisana,Sinor,22.001769,73.406543,671.0,0.0,1.94,83.61,0.0,7.6,6.86,71.3,0.28,14.4,222.8,Deep Black Cotton Soil,0.385,477.7,0.75,0.98,0.2486898871648548,477.7,2.531645569620253,7.6,1.94,Very High
521032,Baglipura,Dabhoi,22.003732,73.504446,91.0,0.0,4.44,88.89,0.0,6.67,0.0,100.0,0.317,12.6,201.2,Deep Black Cotton Soil,0.39,470.5,0.75,0.98,0.21814324139654254,470.5,2.5,6.67,4.44,Very High
520985,Bhimpura Kukad,Dabhoi,22.139255,73.508042,665.0,0.0,15.34,73.68,0.0,5.86,5.11,81.63,0.368,11.25,185.0,Deep Black Cotton Soil,0.371,474.5,0.75,0.98,0.19509032201612825,474.5,2.6246719160104988,5.86,15.34,Very High
520984,Karnet,Dabhoi,22.114336,73.484308,766.0,0.65,7.04,75.88,0.0,5.22,11.21,85.91,0.299,11.25,185.0,Deep Black Cotton Soil,0.38,475.8,0.75,0.98,0.19509032201612825,475.8,2.564102564102564,5.87,7.04,Very High
520983,Boriyad,Dabhoi,22.120655,73.460479,325.0,1.23,9.2,64.11,0.0,3.68,21.78,52.15,0.281,12.15,195.8,Deep Black Cotton Soil,0.376,478.4,0.9,0.98,0.21047175982130567,478.4,2.5906735751295336,4.91,9.2,Very High
520988,Dharmpuri,Dabhoi,22.10525,73.445468,906.0,0.0,1.77,83.33,0.0,4.64,9.82,53.11,0.273,12.15,195.8,Deep Black Cotton Soil,0.369,484.3,0.75,0.98,0.21047175982130567,484.3,2.638522427440633,4.64,1.77,Very High
520986,Juni Mangrol,Dabhoi,22.104319,73.475881,222.0,0.0,4.5,63.51,0.0,0.9,9.01,100.0,0.232,12.15,195.8,Deep Black Cotton Soil,0.37,475.8,0.9,0.98,0.21047175982130567,475.8,2.6315789473684212,0.9,4.5,Very High
251213,Dabhoi,Dabhoi,22.132821,73.43051,0.0,0.0,2.8899999999999997,83.32,0.0,4.495,3.5549999999999997,69.87,0.0,12.15,195.8,Deep Black Cotton Soil,0.367,479.7,0.9,0.02,0.21047175982130567,479.7,2.6525198938992043,4.495,2.8899999999999997,Low
521017,Kayavarohan,Dabhoi,22.075851,73.250283,3361.0,1.67,2.98,91.46,0.0,3.9,0.0,100.0,0.307,12.6,201.2,Deep Black Cotton Soil,0.325,478.4,0.75,0.98,0.21814324139654254,478.4,2.9850746268656714,5.57,2.98,Very High
520995,Puniyad,Dabhoi,22.100616,73.213227,553.0,2.89,1.99,90.24,0.0,4.88,0.0,80.16,0.297,13.05,206.6,Deep Black Cotton Soil,0.32,482.9,0.75,0.98,0.2258012668691037,482.9,3.0303030303030303,7.77,1.99,Very High
520992,Kothara,Dabhoi,22.101065,73.306994,427.0,0.0,5.85,88.99,0.0,4.68,0.47,78.95,0.327,11.7,190.4,Deep Black Cotton Soil,0.356,471.2,0.75,0.98,0.20278729535651246,471.2,2.73224043715847,4.68,5.85,Very High
520990,Sathod,Dabhoi,22.088947,73.380113,1806.0,0.72,2.71,96.46,0.0,0.0,0.11,91.85,0.314,12.15,195.8,Deep Black Cotton Soil,0.35,474.5,0.75,0.98,0.21047175982130567,474.5,2.7777777777777777,0.72,2.71,Very High
520997,Sultanpura,Dabhoi,22.081722,73.275647,248.0,0.0,12.1,83.87,0.0,4.03,0.0,100.0,0.367,12.6,201.2,Deep Black Cotton Soil,0.315,473.8,0.75,0.98,0.21814324139654254,473.8,3.0769230769230766,4.03,12.1,Very High
520996,Fofaliya,Dabhoi,22.077858,73.207523,455.0,0.0,6.61,88.11,0.0,4.41,0.88,62.5,0.33,13.05,206.6,Deep Black Cotton Soil,0.318,487.5,0.75,0.98,0.2258012668691037,487.5,3.048780487804878,4.41,6.61,Very High
521015,Pisai,Dabhoi,22.065104,73.353468,680.0,0.0,7.49,87.22,0.0,5.29,0.0,100.0,0.337,12.6,201.2,Deep Black Cotton Soil,0.366,479.0,0.75,0.98,0.21814324139654254,479.0,2.6595744680851063,5.29,7.49,Very High
521014,Shirola,Dabhoi,22.056849,73.383541,616.0,0.0,0.0,87.34,0.0,12.66,0.0,100.0,0.281,13.5,212.0,Deep Black Cotton Soil,0.368,484.9,0.75,0.98,0.2334453638559054,484.9,2.6455026455026456,12.66,0.0,Very High
521016,Karmal,Dabhoi,22.058746,73.302368,459.0,0.0,7.19,87.58,0.0,5.23,0.0,100.0,0.335,12.15,195.8,Deep Black Cotton Soil,0.36,482.3,0.75,0.98,0.21047175982130567,482.3,2.7027027027027026,5.23,7.19,Very High
521018,Lingsthali,Dabhoi,22.042229,73.252039,862.0,0.0,7.19,89.56,0.0,3.25,0.0,90.67,0.338,13.95,217.4,Deep Black Cotton Soil,0.366,481.0,0.75,0.98,0.24107506083303862,481.0,2.6595744680851063,3.25,7.19,Very High
521019,Bananj,Dabhoi,22.024348,73.233382,418.0,0.0,2.63,83.05,0.0,14.32,0.0,100.0,0.294,13.05,206.6,Deep Black Cotton Soil,0.38,478.4,0.75,0.98,0.2258012668691037,478.4,2.564102564102564,14.32,2.63,Very High
521143,Dhanora,Karjan,22.081782,73.187754,322.0,0.0,0.61,84.55,4.85,4.55,3.03,71.68,0.295,12.6,201.2,Deep Black Cotton Soil,0.31,484.3,0.75,0.98,0.21814324139654254,484.3,3.125,4.55,5.46,Very High
521144,Gandhara,Karjan,22.053571,73.215055,780.0,0.0,8.97,85.64,0.0,4.1,1.28,90.57,0.344,13.95,217.4,Deep Black Cotton Soil,0.324,479.7,0.75,0.98,0.24107506083303862,479.7,2.994011976047904,4.1,8.97,Very High
521145,Ganpatpura,Karjan,22.055872,73.196843,798.0,0.0,4.01,89.35,0.0,3.76,2.51,91.16,0.31,13.95,217.4,Deep Black Cotton Soil,0.327,482.3,0.75,0.98,0.24107506083303862,482.3,2.9673590504451037,3.76,4.01,Very High
521156,Dhavat,Karjan,22.033506,73.18218,1272.0,0.0,0.94,86.56,0.0,4.01,8.18,81.83,0.274,13.5,212.0,Deep Black Cotton Soil,0.331,481.6,0.75,0.98,0.2334453638559054,481.6,2.9325513196480935,4.01,0.94,Very High
521157,Kurali,Karjan,22.024655,73.212051,591.0,0.0,0.34,90.52,0.0,4.74,4.4,100.0,0.282,13.95,217.4,Deep Black Cotton Soil,0.329,486.2,0.75,0.98,0.24107506083303862,486.2,2.949852507374631,4.74,0.34,Very High
521158,Vemar,Karjan,22.001203,73.236051,1045.0,0.0,2.3,86.12,0.0,4.5,7.08,100.0,0.286,12.15,195.8,Deep Black Cotton Soil,0.365,475.8,0.75,0.98,0.21047175982130567,475.8,2.6666666666666665,4.5,2.3,Very High
521160,Kasampur,Karjan,22.010784,73.197272,482.0,0.0,0.0,85.68,0.0,4.98,9.34,100.0,0.265,14.4,222.8,Deep Black Cotton Soil,0.323,484.9,0.75,0.98,0.2486898871648548,484.9,3.003003003003003,4.98,0.0,Very High
521159,Kothav,Karjan,22.000365,73.216065,505.0,0.0,6.92,87.94,0.0,4.15,0.99,100.0,0.332,14.85,228.2,Deep Black Cotton Soil,0.366,481.0,0.75,0.98,0.2562893731329966,481.0,2.6595744680851063,4.15,6.92,Very High
