village_code,village_name,subdistrict,latitude,longitude,total_population,surface_water_exposure,road_connectivity_score,drainage_quality_score,elevation_m_EXTERNAL_TOFILL,slope_deg_EXTERNAL_TOFILL,drainage_density_km_per_km2_EXTERNAL_TOFILL,rainfall_1hr_intensity_mm_EXTERNAL_TOFILL,rainfall_3hr_intensity_mm_EXTERNAL_TOFILL,rainfall_24hr_intensity_mm_EXTERNAL_TOFILL,antecedent_rainfall_7day_mm_EXTERNAL_TOFILL,distance_to_vishwamitri_river_km_EXTERNAL_TOFILL,historical_cloudburst_flag_EXTERNAL_TOFILL,cloudburst_exceedance_probability_TARGET
521162,Osalam,Karjan,21.991137,73.145019,1678.0,1,2,1,102.5,14.4,0.001,93.9,160.7,247.2,311.6,2.241,1,0.95
521112,Kotna,Padra,22.0948,72.981493,1214.0,1,2,1,95.0,12.6,0.0,93.3,159.6,245.6,307.6,0.706,1,0.936
521116,Kothwada,Padra,22.110103,73.07992,780.0,1,2,1,100.0,13.05,0.001,93.3,159.6,245.6,309.6,0.238,1,0.95
521113,Shahera,Padra,22.100724,73.017333,869.0,1,1,1,92.5,12.15,0.001,93.6,160.2,246.4,302.5,0.576,1,0.915
521117,Vasnaref,Padra,22.08068,72.97523,407.0,1,2,1,90.0,11.7,0.001,93.3,159.6,245.6,306.0,0.621,1,0.899
521119,Sokhdaraghu,Padra,22.064954,72.97663,2015.0,1,2,1,97.5,13.5,0.001,93.9,160.7,247.2,304.5,0.569,1,0.95
519899,Kashipura,Vadodara Rural,22.116365,73.166323,1117.0,1,2,2,95.0,12.6,0.001,93.6,160.2,246.4,305.0,2.125,1,0.935
519898,Sarar,Vadodara Rural,22.104863,73.149804,2480.0,1,2,2,95.0,12.6,0.001,93.6,160.2,246.4,308.1,0.991,1,0.938
251215,Karjan,Karjan,22.053736,73.127378,30405.0,0,0,0,25.0,0.2,0.0,45.6,78.0,120.0,238.0,1.909,0,0.388
520999,Mandala,Dabhoi,22.082633,73.328643,3427.0,1,3,2,90.0,11.7,0.001,93.0,159.1,244.8,303.5,0.407,1,0.895
520998,Parikha,Dabhoi,22.082741,73.291885,1131.0,1,2,2,90.0,0.2,0.001,45.6,78.0,120.0,238.0,1.065,0,0.391
520973,Nada,Dabhoi,22.131256,73.375066,1826.0,1,3,0,90.0,11.7,0.05,93.9,160.7,247.2,305.5,3.692,1,0.901
520979,Sejpura,Dabhoi,22.122262,73.298782,421.0,0,2,0,92.5,13.5,0.0,92.4,158.1,243.2,302.5,0.85,1,0.941
520982,Tharvasa,Dabhoi,22.112532,73.392616,731.0,1,3,0,92.5,11.7,0.0,93.9,160.7,247.2,307.0,2.08,1,0.909
520981,Baripura,Dabhoi,22.112979,73.33336,720.0,1,2,0,95.0,12.6,0.001,93.6,160.2,246.4,304.5,0.745,1,0.935
520980,Vakhatpura,Dabhoi,22.115875,73.315005,180.0,1,1,0,87.5,11.25,0.001,92.7,158.6,244.0,307.6,0.444,1,0.881
520991,Habipura,Dabhoi,22.106409,73.353946,1688.0,1,3,0,100.0,11.7,0.0,93.6,160.2,246.4,303.5,0.516,1,0.927
520978,Chhatral,Dabhoi,22.109304,73.290473,1170.0,1,2,2,92.5,12.15,0.0,93.3,159.6,245.6,300.5,0.123,1,0.912
520977,Khanpur,Dabhoi,22.11699,73.276368,918.0,1,2,1,97.5,13.05,0.0,93.3,159.6,245.6,303.0,1.494,1,0.95
520994,Menpura,Dabhoi,22.106381,73.232355,1048.0,0,2,2,100.0,13.5,0.001,94.2,161.2,248.0,312.6,1.938,1,0.95
520993,Kunvarpura,Dabhoi,22.102555,73.268697,482.0,1,0,1,92.5,12.6,0.001,93.6,160.2,246.4,305.5,1.298,1,0.928
521128,Bamangam,Karjan,22.103873,73.192831,1884.0,1,3,1,92.5,12.15,0.0,93.9,160.7,247.2,312.1,0.66,1,0.924
519905,Samsabad,Vadodara Rural,22.120986,73.265597,801.0,1,2,1,97.5,13.05,0.0,93.6,160.2,246.4,304.0,2.616,1,0.95
520987,Navi Mangrol,Dabhoi,22.095945,73.471121,394.0,1,2,0,85.0,10.8,0.001,93.6,160.2,246.4,303.5,0.615,1,0.864
521020,Manpur,Dabhoi,22.05,73.448552,371.0,0,2,0,87.5,11.25,0.0,93.9,160.7,247.2,311.6,0.109,1,0.889
521023,Akoti,Dabhoi,22.041523,73.490974,1091.0,1,3,0,97.5,13.05,0.002,93.9,160.7,247.2,303.5,1.888,1,0.95
521001,Sitpur,Dabhoi,22.08057,73.471272,1813.0,1,3,0,90.0,11.7,0.001,93.3,159.6,245.6,309.1,0.805,1,0.901
520989,Gamdi Kanayada,Dabhoi,22.095686,73.413239,981.0,1,2,0,92.5,12.15,0.001,93.6,160.2,246.4,307.6,0.214,1,0.919
521003,Dharmapura,Dabhoi,22.085604,73.534557,338.0,0,3,0,90.0,11.7,0.001,93.6,160.2,246.4,304.5,0.708,1,0.899
521012,Vadaj,Dabhoi,22.075049,73.438367,2266.0,0,2,2,97.5,13.05,0.0,93.6,160.2,246.4,308.6,1.769,1,0.95
521002,Bhilodiya,Dabhoi,22.079777,73.507412,1251.0,0,3,0,92.5,12.15,0.003,93.3,159.6,245.6,307.0,1.339,1,0.917
521000,Kanayada,Dabhoi,22.076657,73.405223,1421.0,0,2,0,100.0,13.5,0.001,92.7,158.6,244.0,311.1,1.893,1,0.95
521010,Chanwada,Dabhoi,22.064168,73.468113,1686.0,1,3,0,92.5,11.7,0.001,93.3,159.6,245.6,308.1,1.007,1,0.908
521004,Para,Dabhoi,22.072918,73.531128,211.0,0,2,0,90.0,11.7,0.002,93.3,159.6,245.6,305.5,0.009,1,0.898
521006,Asgol,Dabhoi,22.064052,73.533433,352.0,0,2,0,90.0,10.8,0.002,93.6,160.2,246.4,304.0,0.834,1,0.878
521007,Araniya,Dabhoi,22.058945,73.527337,417.0,1,2,0,87.5,11.25,0.002,93.9,160.7,247.2,303.5,0.537,1,0.882
521013,Ten Talav,Dabhoi,22.049604,73.413979,3013.0,1,2,2,105.0,14.85,0.0,93.3,159.6,245.6,310.6,1.94,1,0.95
521009,Asodara,Dabhoi,22.048387,73.5033,746.0,1,2,2,90.0,11.7,0.003,93.6,160.2,246.4,303.5,1.521,1,0.898
521008,Nagdol,Dabhoi,22.053618,73.516519,557.0,1,2,0,87.5,11.25,0.002,93.9,160.7,247.2,304.0,0.371,1,0.882
521011,Ordi,Dabhoi,22.050937,73.459476,742.0,1,2,0,85.0,10.8,0.001,93.3,159.6,245.6,305.5,0.614,1,0.865
521022,Paragam,Dabhoi,22.040225,73.47484,582.0,0,2,0,82.5,10.35,0.001,93.9,160.7,247.2,307.0,0.823,1,0.852
521021,Rajpura,Dabhoi,22.034954,73.452827,759.0,1,2,1,90.0,10.8,0.001,93.9,160.7,247.2,310.6,0.936,1,0.885
521026,Gumanpura,Dabhoi,22.027967,73.466711,365.0,1,1,0,90.0,11.7,0.001,93.6,160.2,246.4,301.0,0.641,1,0.896
521025,Bhumasiya,Dabhoi,22.029212,73.484929,427.0,0,2,0,92.5,12.15,0.001,93.3,159.6,245.6,304.5,0.439,1,0.915
521024,Sompura,Dabhoi,22.025399,73.498561,581.0,0,2,0,97.5,12.15,0.0,93.3,159.6,245.6,301.5,0.865,1,0.928
521030,Jesangpura,Dabhoi,22.019937,73.480743,102.0,0,2,0,92.5,12.15,0.0,93.6,160.2,246.4,303.0,0.578,1,0.915
521027,Sanor,Dabhoi,22.01772,73.454152,1258.0,1,2,0,110.0,15.3,0.001,93.3,159.6,245.6,307.6,1.511,1,0.95
521031,Bhalodra,Dabhoi,22.010556,73.493043,657.0,1,2,0,97.5,13.05,0.0,93.0,159.1,244.8,300.5,0.735,1,0.948
521028,Mandva,Dabhoi,22.001965,73.434328,2792.0,1,3,0,95.0,13.05,0.0,93.3,159.6,245.6,306.5,1.832,1,0.946
521033,Gamdi,Dabhoi,21.999967,73.472539,138.0,1,2,1,90.0,11.7,0.001,93.9,160.7,247.2,303.5,0.818,1,0.899
521029,Fulwadi,Dabhoi,22.007016,73.452339,593.0,0,3,0,102.5,13.5,0.001,93.3,159.6,245.6,307.6,2.135,1,0.95
521034,Chandod,Dabhoi,21.991799,73.460127,3019.0,1,3,1,92.5,12.15,0.001,93.9,160.7,247.2,304.0,1.168,1,0.917
521219,Nana Karala,Sinor,22.018617,73.417563,1173.0,1,1,2,107.5,14.4,0.05,93.6,160.2,246.4,307.0,3.755,1,0.95
521234,Satisana,Sinor,22.001769,73.406543,937.0,0,3,2,105.0,14.4,0.0,93.3,159.6,245.6,307.6,2.629,1,0.95
521032,Baglipura,Dabhoi,22.003732,73.504446,422.0,0,2,0,97.5,12.6,0.0,93.3,159.6,245.6,302.0,1.686,1,0.939
520985,Bhimpura Kukad,Dabhoi,22.139255,73.508042,1347.0,0,2,0,87.5,11.25,0.001,93.9,160.7,247.2,305.0,0.469,1,0.883
520984,Karnet,Dabhoi,22.114336,73.484308,2044.0,0,1,0,87.5,11.25,0.001,94.2,161.2,248.0,306.0,0.694,1,0.885
520983,Boriyad,Dabhoi,22.120655,73.460479,1024.0,1,2,2,95.0,12.15,0.001,93.3,159.6,245.6,308.1,2.601,1,0.926
520988,Dharmpuri,Dabhoi,22.10525,73.445468,1732.0,1,3,2,92.5,12.15,0.0,93.0,159.1,244.8,312.6,0.812,1,0.921
520986,Juni Mangrol,Dabhoi,22.104319,73.475881,475.0,1,2,0,90.0,12.15,0.001,93.9,160.7,247.2,306.0,0.574,1,0.911
251213,Dabhoi,Dabhoi,22.132821,73.43051,51240.0,0,0,0,92.5,12.15,0.0,93.6,160.2,246.4,309.1,2.806,1,0.92
521017,Kayavarohan,Dabhoi,22.075851,73.250283,8409.0,1,3,1,95.0,12.6,0.001,94.2,161.2,248.0,308.1,1.087,1,0.94
520995,Puniyad,Dabhoi,22.100616,73.213227,1544.0,1,2,2,97.5,13.05,0.001,94.2,161.2,248.0,311.6,0.73,1,0.95
520992,Kothara,Dabhoi,22.101065,73.306994,824.0,0,2,0,92.5,11.7,0.001,93.3,159.6,245.6,302.5,0.783,1,0.903
520990,Sathod,Dabhoi,22.088947,73.380113,3682.0,1,3,0,92.5,12.15,0.001,93.3,159.6,245.6,305.0,0.545,1,0.916
520997,Sultanpura,Dabhoi,22.081722,73.275647,559.0,0,2,0,95.0,12.6,0.001,94.2,161.2,248.0,304.5,0.556,1,0.937
520996,Fofaliya,Dabhoi,22.077858,73.207523,985.0,1,1,2,97.5,13.05,0.001,94.5,161.7,248.8,315.1,1.785,1,0.95
521015,Pisai,Dabhoi,22.065104,73.353468,1396.0,0,2,1,97.5,12.6,0.0,93.3,159.6,245.6,308.6,1.804,1,0.945
521014,Shirola,Dabhoi,22.056849,73.383541,1599.0,1,3,2,100.0,13.5,0.0,93.0,159.1,244.8,313.1,0.738,1,0.95
521016,Karmal,Dabhoi,22.058746,73.302368,1401.0,1,2,2,92.5,12.15,0.0,93.3,159.6,245.6,311.1,1.473,1,0.921
521018,Lingsthali,Dabhoi,22.042229,73.252039,1935.0,1,1,1,102.5,13.95,0.0,94.2,161.2,248.0,310.1,0.944,1,0.95
521019,Bananj,Dabhoi,22.024348,73.233382,835.0,1,2,0,97.5,13.05,0.0,94.2,161.2,248.0,308.1,2.609,1,0.95
521143,Dhanora,Karjan,22.081782,73.187754,741.0,1,2,1,95.0,12.6,0.001,93.6,160.2,246.4,312.6,1.787,1,0.942
521144,Gandhara,Karjan,22.053571,73.215055,1828.0,1,3,1,100.0,13.95,0.0,94.5,161.7,248.8,309.1,2.43,1,0.95
521145,Ganpatpura,Karjan,22.055872,73.196843,1466.0,0,3,1,102.5,13.95,0.0,94.5,161.7,248.8,311.1,1.483,1,0.95
521156,Dhavat,Karjan,22.033506,73.18218,2340.0,1,3,1,100.0,13.5,0.001,94.2,161.2,248.0,310.6,1.587,1,0.95
521157,Kurali,Karjan,22.024655,73.212051,1924.0,1,3,1,102.5,13.95,0.05,94.5,161.7,248.8,314.1,3.849,1,0.95
521158,Vemar,Karjan,22.001203,73.236051,2655.0,1,3,1,92.5,12.15,0.001,94.8,162.2,249.6,306.0,0.825,1,0.922
521160,Kasampur,Karjan,22.010784,73.197272,601.0,1,1,1,102.5,14.4,0.001,93.9,160.7,247.2,313.1,2.555,1,0.95
521159,Kothav,Karjan,22.000365,73.216065,998.0,0,2,1,107.5,14.85,0.001,93.9,160.7,247.2,310.1,1.8,1,0.95
521172,Nishaliya,Karjan,21.994476,73.203651,533.0,1,2,1,105.0,14.4,0.001,93.9,160.7,247.2,309.6,1.945,1,0.95
521171,Choranda,Karjan,21.988212,73.178437,3674.0,1,1,1,100.0,13.5,0.001,94.5,161.7,248.8,309.1,2.626,1,0.95
521217,Sandha,Sinor,22.051567,73.333742,714.0,0,1,2,97.5,13.05,0.0,93.6,160.2,246.4,306.5,2.664,1,0.95
521218,Damnagar,Sinor,22.048448,73.35436,587.0,1,2,0,90.0,11.7,0.05,93.3,159.6,245.6,306.0,3.085,1,0.899
521216,Garadi,Sinor,22.046886,73.313492,1223.0,0,2,2,97.5,13.05,0.0,93.3,159.6,245.6,310.6,2.705,1,0.95
521215,Nana Habipura,Sinor,22.045817,73.288605,771.0,1,2,2,92.5,12.15,0.0,94.5,161.7,248.8,309.1,2.197,1,0.924
521225,Achisara,Sinor,22.032329,73.319689,937.0,1,2,2,100.0,13.5,0.0,93.6,160.2,246.4,311.1,2.405,1,0.95
521222,Puniyad,Sinor,22.034808,73.362022,1426.0,1,1,2,92.5,12.15,0.0,93.9,160.7,247.2,309.1,1.594,1,0.922
521221,Anandi,Sinor,22.027457,73.377876,1470.0,1,2,2,97.5,13.5,0.0,93.3,159.6,245.6,307.0,2.147,1,0.95
521223,Bhekhada,Sinor,22.034538,73.340775,572.0,0,1,2,105.0,14.4,0.0,93.3,159.6,245.6,308.1,2.361,1,0.95
521214,Timbarva,Sinor,22.02638,73.271644,2047.0,1,2,2,102.5,13.5,0.05,93.9,160.7,247.2,310.1,3.403,1,0.95
521224,Chhanbhoi,Sinor,22.018022,73.343451,817.0,1,1,2,92.5,12.15,0.0,94.2,161.2,248.0,311.6,0.842,1,0.925
521231,Avakhal,Sinor,22.0029,73.3245,3162.0,0,3,2,92.5,12.15,0.001,93.6,160.2,246.4,310.6,0.371,1,0.922
521232,Malpur,Sinor,22.006701,73.353646,1179.0,1,3,2,102.5,13.95,0.0,93.0,159.1,244.8,312.6,0.713,1,0.95
521226,Tarva,Sinor,22.00933,73.267989,808.0,0,2,2,102.5,13.95,0.002,94.2,161.2,248.0,310.1,2.563,1,0.95
521233,Segva,Sinor,22.006763,73.374721,1414.0,0,3,2,100.0,13.5,0.0,93.6,160.2,246.4,311.1,2.3,1,0.95
521230,Sadhli,Sinor,21.990856,73.297683,6269.0,1,3,2,107.5,14.85,0.001,94.8,162.2,249.6,311.1,0.896,1,0.95
521108,Sampla,Padra,22.092733,72.917623,1449.0,1,2,1,92.5,12.15,0.001,93.9,160.7,247.2,307.6,1.565,1,0.92
521107,Shanpur,Padra,22.104415,72.950166,1367.0,0,2,1,92.5,12.15,0.0,93.0,159.1,244.8,305.0,0.232,1,0.914
521090,Kanzat,Padra,22.108455,72.889902,4659.0,1,3,1,95.0,12.6,0.001,93.9,160.7,247.2,306.0,0.487,1,0.937
521110,Bhanpur,Padra,22.090872,72.938779,801.0,1,2,1,95.0,12.6,0.001,93.3,159.6,245.6,308.6,0.787,1,0.937
521111,Vanchhara,Padra,22.075925,72.949723,1460.0,1,2,1,95.0,12.6,0.001,93.3,159.6,245.6,303.0,0.364,1,0.932
521109,Danoli,Padra,22.069706,72.919621,1017.0,1,2,1,92.5,12.15,0.001,93.3,159.6,245.6,308.1,2.303,1,0.918
521118,Nedra,Padra,22.052913,72.928131,1030.0,1,2,1,95.0,12.6,0.001,93.3,159.6,245.6,305.5,0.564,1,0.934
521227,Tinglod,Sinor,21.990449,73.25099,819.0,0,3,2,97.5,12.15,0.001,94.5,161.7,248.8,308.6,0.646,1,0.939
521122,Abhara,Karjan,22.088832,73.023087,1059.0,1,2,2,102.5,13.95,0.001,93.6,160.2,246.4,308.6,0.586,1,0.95
521142,Kandari,Karjan,22.080348,73.151713,4295.0,1,3,1,107.5,13.95,0.001,93.6,160.2,246.4,310.6,1.023,1,0.95
521132,Kurai,Karjan,22.077144,73.102052,1473.0,1,2,1,102.5,13.5,0.0,93.3,159.6,245.6,307.0,1.723,1,0.95
521134,Handod,Karjan,22.074506,73.054631,2095.0,0,2,0,92.5,12.15,0.0,93.6,160.2,246.4,309.6,1.707,1,0.921
521133,Khandha,Karjan,22.070567,73.073476,1362.0,1,2,0,92.5,12.6,0.0,93.0,159.1,244.8,306.0,1.451,1,0.926
521136,Chorbhuj,Karjan,22.061192,73.010019,1128.0,1,2,1,92.5,12.6,0.001,93.6,160.2,246.4,305.0,1.545,1,0.927
521123,Sambhoi,Karjan,22.107029,73.03894,1257.0,1,2,1,100.0,12.6,0.001,93.6,160.2,246.4,310.6,0.375,1,0.95
521124,Surwada,Karjan,22.107989,73.055006,1382.0,0,2,1,92.5,13.05,0.001,93.3,159.6,245.6,306.5,0.719,1,0.938
521121,Virjai,Karjan,22.100334,73.001793,1738.0,1,2,2,92.5,12.15,0.001,93.6,160.2,246.4,301.5,1.105,1,0.914
521126,Pingalwada,Karjan,22.108714,73.097279,1508.0,1,3,1,92.5,12.15,0.001,93.6,160.2,246.4,310.6,0.653,1,0.922
521127,Harsunda,Karjan,22.10727,73.123008,463.0,1,2,1,95.0,12.6,0.001,93.6,160.2,246.4,312.6,0.231,1,0.942
521125,Manpur,Karjan,22.098113,73.075975,1022.0,0,2,0,95.0,12.6,0.001,93.3,159.6,245.6,305.5,0.383,1,0.934
521131,Anastu,Karjan,22.086903,73.114773,1899.0,0,2,1,102.5,13.95,0.0,93.6,160.2,246.4,317.1,0.727,1,0.95
521129,Manglej,Karjan,22.094203,73.173107,1297.0,0,3,1,90.0,11.7,0.001,93.6,160.2,246.4,310.1,0.02,1,0.903
521130,Kherda,Karjan,22.092915,73.136272,1211.0,1,2,1,95.0,12.6,0.001,93.3,159.6,245.6,307.6,0.651,1,0.936
521137,Umaj,Karjan,22.055899,72.964382,1167.0,1,2,1,92.5,12.15,0.001,93.3,159.6,245.6,306.5,1.217,1,0.917
521146,Vemardi,Karjan,22.052172,73.172982,1212.0,0,3,1,105.0,14.4,0.0,93.6,160.2,246.4,314.6,1.006,1,0.95
521166,Mankan,Karjan,21.932658,73.069718,1792.0,1,2,1,100.0,13.5,0.001,93.3,159.6,245.6,304.5,1.228,1,0.95
521184,Sarupur Timbi,Karjan,21.929106,73.150558,768.0,1,2,1,102.5,13.95,0.001,94.2,161.2,248.0,308.1,0.274,1,0.95
521183,Saniyad,Karjan,21.923933,73.173165,1228.0,0,1,0,95.0,12.6,0.001,93.9,160.7,247.2,304.5,1.516,1,0.936
521163,Dethan,Karjan,21.977393,73.104835,2225.0,1,3,1,95.0,12.15,0.001,93.6,160.2,246.4,302.5,1.19,1,0.922
521164,Valan,Karjan,21.954884,73.075371,10182.0,0,3,1,95.0,12.15,0.001,93.9,160.7,247.2,307.0,0.656,1,0.927
521169,Atali,Karjan,21.963404,73.147394,1222.0,1,2,1,97.5,13.05,0.05,94.2,161.2,248.0,307.6,3.145,1,0.95
521170,Bachar,Karjan,21.962801,73.17002,1253.0,1,2,1,100.0,13.05,0.001,94.5,161.7,248.8,310.1,1.028,1,0.95
521168,Kiya,Karjan,21.957047,73.121666,1410.0,1,2,0,95.0,12.6,0.001,93.9,160.7,247.2,307.6,2.098,1,0.939
521176,Urad,Karjan,21.941814,73.159467,1073.0,1,2,1,97.5,13.05,0.001,94.2,161.2,248.0,309.6,0.87,1,0.95
521177,Koliyad,Karjan,21.927209,73.131173,2612.0,1,2,1,97.5,13.05,0.001,94.2,161.2,248.0,308.6,1.465,1,0.95
521167,Divi,Karjan,21.933756,73.116397,844.0,0,2,1,95.0,12.6,0.001,93.9,160.7,247.2,307.6,2.596,1,0.939
521165,Mesrad,Karjan,21.930546,73.021135,2174.0,1,2,1,102.5,13.95,0.0,93.3,159.6,245.6,310.6,0.757,1,0.95
521178,Sansrod,Karjan,21.912531,73.096947,5649.0,1,3,1,100.0,13.95,0.001,93.9,160.7,247.2,302.0,1.492,1,0.95
521182,Sanapura,Karjan,21.90548,73.145016,891.0,1,2,1,92.5,12.6,0.001,93.9,160.7,247.2,305.0,1.154,1,0.928
521181,Saring,Karjan,21.890801,73.129828,1731.0,1,2,1,97.5,13.05,0.001,93.9,160.7,247.2,308.6,1.773,1,0.95
521179,Haldarva,Karjan,21.896641,73.077939,2141.0,0,3,1,100.0,13.5,0.001,93.9,160.7,247.2,305.0,1.871,1,0.95
521195,Karan,Karjan,21.89618,73.168278,703.0,1,2,1,95.0,12.6,0.0,93.9,160.7,247.2,308.6,2.119,1,0.939
521180,Mantroj,Karjan,21.889077,73.10036,857.0,0,1,1,105.0,14.4,0.001,93.6,160.2,246.4,304.5,0.223,1,0.95
521196,Pachhiyapura,Karjan,21.894566,73.156396,1144.0,0,2,1,97.5,13.05,0.001,93.9,160.7,247.2,305.5,1.024,1,0.95
521197,Delvada,Karjan,21.877363,73.14759,504.0,1,2,1,97.5,13.05,0.0,94.5,161.7,248.8,308.6,0.584,1,0.95
521199,Arjanpura,Karjan,21.867865,73.164557,368.0,0,2,0,97.5,13.05,0.001,94.2,161.2,248.0,306.5,1.078,1,0.95
521198,Somaj,Karjan,21.868243,73.149303,230.0,1,2,1,95.0,12.6,0.001,93.9,160.7,247.2,311.1,1.083,1,0.942
521192,Samri,Karjan,21.935162,73.197469,1436.0,1,2,1,97.5,13.05,0.001,94.2,161.2,248.0,313.1,2.709,1,0.95
521173,Methi,Karjan,21.973103,73.221783,1076.0,0,2,0,97.5,13.05,0.001,95.2,162.8,250.4,308.6,0.844,1,0.95
521174,Chhanchhva,Karjan,21.973599,73.197097,727.0,1,2,1,97.5,13.05,0.001,94.5,161.7,248.8,308.6,0.113,1,0.95
521175,Kala,Karjan,21.949247,73.1791,1323.0,1,2,1,92.5,13.05,0.001,94.2,161.2,248.0,312.1,0.367,1,0.946
521187,Simli,Karjan,21.952537,73.220691,1682.0,1,2,1,97.5,13.05,0.002,93.9,160.7,247.2,308.6,1.488,1,0.95
521186,Kanthariya,Karjan,21.947104,73.19995,574.0,1,2,1,100.0,13.5,0.001,93.9,160.7,247.2,308.1,2.212,1,0.95
521188,Kothiya,Karjan,21.943,73.238991,1072.0,1,2,0,102.5,13.95,0.001,94.5,161.7,248.8,311.1,0.843,1,0.95
521190,Deroli,Karjan,21.935378,73.221769,581.0,1,2,0,107.5,14.85,0.001,94.8,162.2,249.6,304.5,1.034,1,0.95
521193,Samra,Karjan,21.918272,73.193568,936.0,1,2,0,97.5,13.05,0.05,93.9,160.7,247.2,305.5,3.06,1,0.95
521191,Fatepur,Karjan,21.918199,73.21762,668.0,1,2,0,97.5,13.95,0.001,94.8,162.2,249.6,305.5,0.678,1,0.95
521194,Sherpura,Karjan,21.905708,73.187584,238.0,0,2,0,92.5,12.15,0.05,94.8,162.2,249.6,307.6,3.651,1,0.924
521203,Kahona,Karjan,21.90302,73.210746,582.0,1,1,0,92.5,12.15,0.0,95.2,162.8,250.4,305.5,1.258,1,0.924
521140,Kambola,Karjan,22.040465,73.053253,1244.0,0,2,1,92.5,12.15,0.0,93.3,159.6,245.6,309.6,1.748,1,0.92
521202,Ropa,Karjan,21.890067,73.20414,729.0,1,2,0,100.0,13.5,0.0,94.5,161.7,248.8,305.0,1.983,1,0.95
521204,Hirjipura,Karjan,21.896063,73.215054,212.0,1,1,0,95.0,12.6,0.0,94.8,162.2,249.6,308.1,0.813,1,0.943
521201,Rarod,Karjan,21.873413,73.196423,1335.0,0,2,0,87.5,11.25,0.05,94.2,161.2,248.0,296.0,3.436,1,0.877
521200,Oz,Karjan,21.87564,73.180678,1616.0,0,2,1,95.0,12.6,0.0,94.2,161.2,248.0,306.0,2.402,1,0.938
521205,Bakapur,Karjan,21.890455,73.218039,114.0,1,1,1,100.0,13.5,0.0,91.5,156.5,240.8,306.5,0.622,1,0.95
