village_code,village_name,subdistrict,latitude,longitude,total_population,total_households,male_population,female_population,sc_st_population_share_pct,population_density_per_ha,surface_water_exposure,river_canal_present,tank_pond_lake_present,drainage_quality_score,road_connectivity_score,healthcare_access_score,nearest_town_dist_km,district_hq_dist_km,elevation_m_EXTERNAL_TOFILL,slope_deg_EXTERNAL_TOFILL,distance_to_river_km_EXTERNAL_TOFILL,drainage_density_km_per_km2_EXTERNAL_TOFILL,rainfall_annual_mm_EXTERNAL_TOFILL,rainfall_24hr_max_mm_EXTERNAL_TOFILL,historical_flood_inundation_pct_EXTERNAL_TOFILL,historical_flood_event_count_EXTERNAL_TOFILL,runoff_coefficient_EXTERNAL_TOFILL,building_footprint_density_EXTERNAL_TOFILL,flood_hazard_score_TARGET,flood_damage_estimate_TARGET,river_proximity_score,elevation_inverse,rainfall_density,flood_exposure,infrastructure_exposure,flood_vulnerability
519890,Meghakui,Vadodara Rural,22.138633,73.278804,1208.0,266.0,617.0,591.0,26.9,2.709,0,0.0,0.0,2,2,0,21.0,21.0,100.0,13.5,3.025,0.05,1080.4,244.8,29.2,2,0.53,0.22,0.34,56.4,0.32,0.009900990099009901,268.4223602484472,410.72,0.9210600000000001,0.09146
519858,Talsat,Vadodara Rural,22.238004,73.1711,1124.0,249.0,572.0,552.0,7.74,4.887,0,0.0,0.0,2,2,1,12.0,12.0,105.0,14.4,0.73,0.001,1107.4,246.4,46.1,3,0.6,0.39,0.512,90.0,1.2048192771084338,0.009433962264150943,640.1156069364163,575.488,2.502144,0.0396288
519835,Sisva,Vadodara Rural,22.397016,73.178636,2799.0,533.0,1448.0,1351.0,12.04,6.696,1,0.0,1.0,0,2,1,15.0,15.0,95.0,12.6,0.16,0.0,1089.4,245.6,48.4,3,0.65,0.54,0.559,271.1,3.846153846153846,0.010416666666666666,939.1379310344829,1564.641,3.7430640000000004,0.0673036
519884,Vadsala,Vadodara Rural,22.157934,73.174287,3156.0,758.0,1622.0,1534.0,36.72,4.541,1,0.0,1.0,1,1,0,18.0,18.0,97.5,13.05,1.727,0.001,1085.8,247.2,37.5,3,0.59,0.36,0.441,212.9,0.5473453749315818,0.01015228426395939,398.1664833149981,1391.796,2.002581,0.1619352
519876,Hansajipura,Vadodara Rural,22.205196,73.260987,223.0,47.0,117.0,106.0,17.94,0.878,1,0.0,1.0,1,2,0,15.0,15.0,102.5,13.95,2.424,0.001,1082.2,245.6,32.9,2,0.48,0.07,0.375,10.1,0.39619651347068147,0.00966183574879227,316.06308411214957,83.625,0.32925,0.067275
519861,Chikhodara,Vadodara Rural,22.233156,73.236326,1747.0,380.0,881.0,866.0,25.36,2.956,1,0.0,1.0,2,2,0,10.0,10.0,92.5,12.15,0.672,0.001,1105.6,246.4,44.8,3,0.54,0.24,0.507,123.6,1.2953367875647668,0.0106951871657754,661.2440191387559,885.729,1.498692,0.1285752
802597,Por Ramangamdi INA,Vadodara Rural,22.142991,73.180844,311.0,123.0,0.0,0.0,28.63,2.3600000000000003,0,0.0,1.0,0,0,0,0.0,35.0,92.5,12.15,0.027,0.001,1100.2,247.2,50.8,3,0.51,0.16,0.548,22.2,7.874015748031496,0.0106951871657754,1071.275559883155,170.42800000000003,1.2932800000000002,0.15689240000000002
519915,Sama OG,Vadodara Rural,22.347302,73.207008,0.0,0.0,0.0,0.0,28.63,2.3600000000000003,0,0.0,1.0,0,0,0,0.0,35.0,90.0,11.7,0.078,0.001,1102.0,248.8,49.6,3,0.51,0.16,0.55,0.0,5.617977528089888,0.01098901098901099,1022.2634508348793,0.0,1.2980000000000003,0.15746500000000002
521151,Dhamanja,Karjan,21.998056,73.080688,890.0,175.0,449.0,441.0,57.3,1.532,1,0.0,1.0,0,2,0,8.0,46.0,90.0,11.7,0.347,0.001,1084.0,247.2,48.0,3,0.5,0.12,0.529,59.3,2.237136465324385,0.01098901098901099,804.7512991833705,470.81,0.810428,0.30311699999999997
521152,Lakodara,Karjan,21.995859,73.111902,1947.0,389.0,1006.0,941.0,23.88,2.638,0,0.0,0.0,0,3,0,7.0,37.0,90.0,12.15,0.277,0.001,1091.2,247.2,48.0,3,0.53,0.21,0.538,142.6,2.6525198938992043,0.01098901098901099,854.502740798747,1047.486,1.419244,0.1284744
521162,Osalam,Karjan,21.991137,73.145019,1678.0,335.0,873.0,805.0,46.42,2.054,1,0.0,1.0,1,2,0,12.0,45.0,102.5,14.4,2.241,0.001,1112.8,247.2,35.1,3,0.51,0.16,0.393,86.1,0.4271678769756514,0.00966183574879227,343.3508176488738,659.4540000000001,0.807222,0.1824306
521112,Kotna,Padra,22.0948,72.981493,1214.0,257.0,638.0,576.0,30.56,1.623,1,1.0,1.0,1,2,0,15.0,40.0,95.0,12.6,0.706,0.0,1098.4,245.6,45.9,3,0.5,0.13,0.498,76.9,1.240694789081886,0.010416666666666666,643.8452520515827,604.572,0.808254,0.15218879999999999
521116,Kothwada,Padra,22.110103,73.07992,780.0,159.0,388.0,392.0,16.92,3.319,1,1.0,0.0,1,2,0,10.0,28.0,100.0,13.05,0.238,0.001,1105.6,245.6,48.6,3,0.55,0.27,0.539,60.1,2.958579881656805,0.009900990099009901,893.0533117932148,420.42,1.7889410000000001,0.09119880000000001
521113,Shahera,Padra,22.100724,73.017333,869.0,187.0,448.0,421.0,19.79,2.803,1,1.0,1.0,1,1,0,17.0,37.0,92.5,12.15,0.576,0.001,1080.4,246.4,46.5,3,0.53,0.22,0.512,61.1,1.4792899408284026,0.0106951871657754,685.5329949238579,444.928,1.435136,0.10132479999999999
521117,Vasnaref,Padra,22.08068,72.97523,407.0,88.0,211.0,196.0,15.97,0.938,1,1.0,0.0,1,2,0,16.0,51.0,90.0,11.7,0.621,0.001,1093.0,245.6,46.4,3,0.48,0.08,0.506,25.0,1.3869625520110958,0.01098901098901099,674.2751388032079,205.942,0.474628,0.08080820000000001
521119,Sokhdaraghu,Padra,22.064954,72.97663,2015.0,397.0,1028.0,987.0,18.46,5.741,1,1.0,1.0,1,2,0,15.0,51.0,97.5,13.5,0.569,0.001,1087.6,247.2,46.3,3,0.62,0.46,0.527,174.4,1.4947683109118088,0.01015228426395939,693.1803696622052,1061.905,3.025507,0.09728420000000002
519899,Kashipura,Vadodara Rural,22.116365,73.166323,1117.0,241.0,578.0,539.0,50.49,2.382,1,0.0,1.0,2,2,1,8.0,22.0,95.0,12.6,2.125,0.001,1089.4,246.4,34.3,2,0.52,0.19,0.402,60.1,0.449438202247191,0.010416666666666666,348.608,449.03400000000005,0.9575640000000001,0.2029698
519898,Sarar,Vadodara Rural,22.104863,73.149804,2480.0,518.0,1287.0,1193.0,28.59,2.248,1,0.0,1.0,2,2,0,8.0,20.0,95.0,12.6,0.991,0.001,1100.2,246.4,43.3,3,0.52,0.18,0.482,158.7,0.9165902841429882,0.010416666666666666,552.5866398794576,1195.36,1.083536,0.13780379999999998
251215,Karjan,Karjan,22.053736,73.127378,30405.0,6473.0,0.0,0.0,28.63,2.3600000000000003,0,0.0,0.0,0,0,0,0.0,35.0,25.0,0.2,1.909,0.0,850.0,120.0,53.3,3,0.51,0.16,0.651,2583.1,0.4977600796416128,0.038461538461538464,292.1966311447233,19793.655000000002,1.5363600000000002,0.1863813
520999,Mandala,Dabhoi,22.082633,73.328643,3427.0,794.0,1782.0,1645.0,53.02,1.824,1,0.0,1.0,2,3,1,10.0,30.0,90.0,11.7,0.407,0.001,1084.0,244.8,47.7,3,0.49,0.15,0.522,231.4,1.9723865877712032,0.01098901098901099,770.4335465529496,1788.894,0.9521280000000001,0.2767644
520998,Parikha,Dabhoi,22.082741,73.291885,1131.0,253.0,586.0,545.0,48.28,1.698,1,0.0,1.0,2,2,0,15.0,25.0,90.0,0.2,1.065,0.001,850.0,120.0,32.7,2,0.5,0.14,0.424,61.5,0.8583690987124464,0.01098901098901099,411.6222760290557,479.544,0.7199519999999999,0.2047072
520973,Nada,Dabhoi,22.131256,73.375066,1826.0,462.0,967.0,859.0,52.52,1.749,1,1.0,1.0,0,3,1,5.0,35.0,90.0,11.7,3.692,0.05,1091.2,247.2,24.2,2,0.49,0.14,0.293,68.6,0.26371308016877637,0.01098901098901099,232.56606990622336,535.0179999999999,0.512457,0.15388359999999998
520979,Sejpura,Dabhoi,22.122262,73.298782,421.0,97.0,217.0,204.0,83.37,1.807,0,0.0,0.0,0,2,0,12.0,30.0,92.5,13.5,0.85,0.0,1080.4,243.2,45.4,3,0.5,0.14,0.487,26.3,1.0526315789473684,0.0106951871657754,584.0,205.027,0.8800089999999999,0.4060119
520982,Tharvasa,Dabhoi,22.112532,73.392616,731.0,151.0,385.0,346.0,38.99,2.15,1,1.0,1.0,0,3,0,3.0,45.0,92.5,11.7,2.08,0.0,1096.6,247.2,35.4,2,0.51,0.17,0.404,38.9,0.4587155963302752,0.0106951871657754,356.038961038961,295.324,0.8686,0.1575196
520981,Baripura,Dabhoi,22.112979,73.33336,720.0,168.0,371.0,349.0,30.83,1.856,1,0.0,1.0,0,2,0,9.0,27.0,95.0,12.6,0.745,0.001,1087.6,246.4,44.6,3,0.51,0.15,0.497,46.3,1.183431952662722,0.010416666666666666,623.2664756446991,357.84,0.922432,0.15322509999999998
520980,Vakhatpura,Dabhoi,22.115875,73.315005,180.0,47.0,91.0,89.0,38.89,0.994,1,1.0,1.0,0,1,0,11.0,30.0,87.5,11.25,0.444,0.001,1098.4,244.0,48.1,3,0.48,0.08,0.528,11.5,1.838235294117647,0.011299435028248588,760.6648199445984,95.04,0.5248320000000001,0.20533920000000003
520991,Habipura,Dabhoi,22.106409,73.353946,1688.0,373.0,891.0,797.0,34.95,1.724,1,0.0,1.0,0,3,0,6.0,36.0,100.0,11.7,0.516,0.0,1084.0,246.4,46.5,3,0.5,0.14,0.512,110.8,1.6233766233766234,0.009900990099009901,715.0395778364116,864.256,0.882688,0.17894400000000002
520978,Chhatral,Dabhoi,22.109304,73.290473,1170.0,260.0,610.0,560.0,38.21,2.135,1,0.0,1.0,2,2,1,15.0,45.0,92.5,12.15,0.123,0.0,1073.2,245.6,48.9,3,0.51,0.17,0.541,83.3,4.484304932735426,0.0106951871657754,955.6544968833482,632.97,1.155035,0.2067161
520977,Khanpur,Dabhoi,22.11699,73.276368,918.0,192.0,463.0,455.0,35.19,2.155,1,1.0,1.0,1,2,0,19.0,25.0,97.5,13.05,1.494,0.0,1082.2,245.6,39.3,3,0.51,0.17,0.445,53.8,0.6273525721455457,0.01015228426395939,433.92141138732967,408.51,0.9589749999999999,0.1565955
520994,Menpura,Dabhoi,22.106381,73.232355,1048.0,241.0,543.0,505.0,57.25,2.345,0,0.0,0.0,2,2,0,22.0,29.0,100.0,13.5,1.938,0.001,1116.4,248.0,36.8,3,0.52,0.19,0.416,58.4,0.4906771344455349,0.009900990099009901,379.98638529611986,435.96799999999996,0.97552,0.23815999999999998
520993,Kunvarpura,Dabhoi,22.102555,73.268697,482.0,109.0,250.0,232.0,16.8,1.668,1,1.0,0.0,1,0,0,20.0,32.0,92.5,12.6,1.298,0.001,1091.2,246.4,40.7,3,0.5,0.13,0.457,28.0,0.7153075822603719,0.0106951871657754,474.84769364664925,220.274,0.762276,0.07677600000000001
521128,Bamangam,Karjan,22.103873,73.192831,1884.0,418.0,951.0,933.0,21.76,2.599,1,1.0,1.0,1,3,1,9.0,25.0,92.5,12.15,0.66,0.0,1114.6,247.2,45.9,3,0.53,0.21,0.507,130.0,1.3157894736842106,0.0106951871657754,671.44578313253,955.188,1.3176930000000002,0.11032320000000001
519905,Samsabad,Vadodara Rural,22.120986,73.265597,801.0,180.0,439.0,362.0,39.08,1.298,1,1.0,1.0,1,2,0,21.0,21.0,97.5,13.05,2.616,0.0,1085.8,246.4,31.4,2,0.49,0.1,0.363,36.0,0.3681885125184094,0.01015228426395939,300.2765486725664,290.763,0.471174,0.1418604
520987,Navi Mangrol,Dabhoi,22.095945,73.471121,394.0,94.0,212.0,182.0,52.79,1.677,1,1.0,1.0,0,2,0,8.0,36.0,85.0,10.8,0.615,0.001,1084.0,246.4,48.5,3,0.5,0.13,0.531,26.6,1.3986013986013988,0.011627906976744186,671.2074303405573,209.214,0.890487,0.28031490000000003
521020,Manpur,Dabhoi,22.05,73.448552,371.0,92.0,186.0,185.0,30.19,1.995,0,0.0,0.0,0,2,0,14.0,48.0,87.5,11.25,0.109,0.0,1112.8,247.2,51.3,3,0.51,0.16,0.558,27.0,4.78468899521531,0.011299435028248588,1003.4265103697024,207.01800000000003,1.1132100000000003,0.1684602
521023,Akoti,Dabhoi,22.041523,73.490974,1091.0,225.0,552.0,539.0,34.1,2.178,1,1.0,0.0,0,3,0,10.0,40.0,97.5,13.05,1.888,0.002,1084.0,247.2,36.5,2,0.5,0.17,0.416,59.7,0.5030181086519114,0.01015228426395939,375.34626038781164,453.856,0.906048,0.141856
521001,Sitpur,Dabhoi,22.08057,73.471272,1813.0,415.0,920.0,893.0,47.05,1.923,1,1.0,0.0,0,3,1,8.0,43.0,90.0,11.7,0.805,0.001,1103.8,245.6,44.9,3,0.51,0.15,0.497,116.6,1.1049723756906078,0.01098901098901099,611.5235457063711,901.061,0.955731,0.23383849999999998
520989,Gamdi Kanayada,Dabhoi,22.095686,73.413239,981.0,201.0,505.0,476.0,25.69,2.266,1,0.0,1.0,0,2,0,5.0,40.0,92.5,12.15,0.214,0.001,1098.4,246.4,48.2,3,0.52,0.18,0.536,69.8,3.1847133757961785,0.0106951871657754,904.7775947281714,525.816,1.214576,0.13769840000000003
521003,Dharmapura,Dabhoi,22.085604,73.534557,338.0,79.0,169.0,169.0,18.93,2.449,0,0.0,0.0,0,3,0,17.0,49.0,90.0,11.7,0.708,0.001,1087.6,246.4,45.7,3,0.52,0.2,0.506,23.1,1.2376237623762376,0.01098901098901099,636.7681498829039,171.028,1.239194,0.0957858
521012,Vadaj,Dabhoi,22.075049,73.438367,2266.0,493.0,1148.0,1118.0,64.34,1.634,0,0.0,0.0,2,2,1,7.0,45.0,97.5,13.05,1.769,0.0,1102.0,246.4,37.7,3,0.5,0.13,0.424,122.1,0.5350454788657036,0.01015228426395939,397.97760924521486,960.784,0.692816,0.27280160000000003
521002,Bhilodiya,Dabhoi,22.079777,73.507412,1251.0,321.0,631.0,620.0,28.54,2.005,0,0.0,0.0,0,3,1,15.0,50.0,92.5,12.15,1.339,0.003,1096.6,245.6,40.4,3,0.51,0.16,0.456,74.4,0.6949270326615705,0.0106951871657754,468.83283454467716,570.456,0.91428,0.1301424
521000,Kanayada,Dabhoi,22.076657,73.405223,1421.0,266.0,687.0,734.0,31.53,3.769,0,0.0,0.0,0,2,0,5.0,40.0,100.0,13.5,1.893,0.001,1111.0,244.0,36.3,2,0.56,0.3,0.424,88.1,0.5017561465127948,0.009900990099009901,384.0304182509506,602.504,1.598056,0.1336872
521010,Chanwada,Dabhoi,22.064168,73.468113,1686.0,361.0,888.0,798.0,30.66,3.587,1,1.0,0.0,0,3,1,11.0,41.0,92.5,11.7,1.007,0.001,1100.2,245.6,42.5,3,0.56,0.29,0.486,118.9,0.903342366757001,0.0106951871657754,548.181365221724,819.396,1.743282,0.1490076
521004,Para,Dabhoi,22.072918,73.531128,211.0,53.0,111.0,100.0,54.5,1.192,0,0.0,0.0,0,2,0,16.0,48.0,90.0,11.7,0.009,0.002,1091.2,245.6,50.4,3,0.48,0.1,0.549,14.3,9.174311926605505,0.01098901098901099,1081.4667988107037,115.83900000000001,0.654408,0.29920500000000005
521006,Asgol,Dabhoi,22.064052,73.533433,352.0,84.0,186.0,166.0,17.05,1.66,0,0.0,0.0,0,2,1,17.0,49.0,90.0,10.8,0.834,0.002,1085.8,246.4,45.1,3,0.5,0.13,0.494,22.1,1.0706638115631693,0.01098901098901099,592.0392584514722,173.888,0.82004,0.08422700000000001
521007,Araniya,Dabhoi,22.058945,73.527337,417.0,98.0,231.0,186.0,34.29,1.976,1,0.0,1.0,0,2,0,15.0,47.0,87.5,11.25,0.537,0.002,1084.0,247.2,48.8,3,0.51,0.16,0.528,28.7,1.5698587127158556,0.011299435028248588,705.270006506181,220.17600000000002,1.043328,0.1810512
521013,Ten Talav,Dabhoi,22.049604,73.413979,3013.0,658.0,1562.0,1451.0,47.93,2.151,1,0.0,1.0,2,2,1,12.0,42.0,105.0,14.85,1.94,0.0,1109.2,245.6,36.7,3,0.51,0.17,0.413,163.8,0.49019607843137253,0.009433962264150943,377.2789115646259,1244.369,0.8883629999999999,0.19795089999999999
521009,Asodara,Dabhoi,22.048387,73.5033,746.0,158.0,371.0,375.0,90.62,1.122,1,1.0,0.0,2,2,0,15.0,47.0,90.0,11.7,1.521,0.003,1084.0,246.4,39.9,3,0.48,0.09,0.443,40.5,0.6169031462060457,0.01098901098901099,429.9880999603332,330.478,0.49704600000000004,0.4014466
521008,Nagdol,Dabhoi,22.053618,73.516519,557.0,132.0,280.0,277.0,64.63,1.982,1,1.0,0.0,0,2,0,17.0,49.0,87.5,11.25,0.371,0.002,1085.8,247.2,49.8,3,0.51,0.16,0.539,39.2,2.1231422505307855,0.011299435028248588,791.9766593727206,300.223,1.068298,0.3483557
521011,Ordi,Dabhoi,22.050937,73.459476,742.0,145.0,384.0,358.0,29.78,2.821,1,1.0,1.0,0,2,0,13.0,43.0,85.0,10.8,0.614,0.001,1091.2,245.6,48.6,3,0.53,0.23,0.536,55.0,1.400560224089636,0.011627906976744186,676.0842627013632,397.71200000000005,1.5120560000000003,0.1596208
521022,Paragam,Dabhoi,22.040225,73.47484,582.0,126.0,305.0,277.0,31.96,2.61,0,0.0,0.0,0,2,0,10.0,40.0,82.5,10.35,0.823,0.001,1096.6,247.2,48.3,3,0.53,0.21,0.533,42.2,1.0834236186348862,0.011976047904191617,601.5359297860668,310.206,1.39113,0.17034680000000002
521021,Rajpura,Dabhoi,22.034954,73.452827,759.0,165.0,395.0,364.0,38.21,2.59,1,1.0,1.0,1,2,1,17.0,57.0,90.0,10.8,0.936,0.001,1109.2,247.2,44.0,3,0.53,0.21,0.492,50.8,0.9652509652509652,0.01098901098901099,572.9338842975206,373.428,1.2742799999999999,0.1879932
521026,Gumanpura,Dabhoi,22.027967,73.466711,365.0,75.0,178.0,187.0,15.62,1.789,1,1.0,1.0,0,1,0,14.0,40.0,90.0,11.7,0.641,0.001,1075.0,246.4,46.1,3,0.5,0.14,0.508,23.8,1.349527665317139,0.01098901098901099,655.0883607556368,185.42000000000002,0.908812,0.0793496
521025,Bhumasiya,Dabhoi,22.029212,73.484929,427.0,88.0,225.0,202.0,59.72,3.991,0,0.0,0.0,0,2,0,15.0,45.0,92.5,12.15,0.439,0.001,1087.6,245.6,47.1,3,0.57,0.32,0.528,33.5,1.8552875695732838,0.0106951871657754,755.802640722724,225.45600000000002,2.1072480000000002,0.3153216
521024,Sompura,Dabhoi,22.025399,73.498561,581.0,131.0,299.0,282.0,26.16,2.728,0,0.0,0.0,0,2,0,12.0,42.0,97.5,12.15,0.865,0.0,1076.8,245.6,43.9,3,0.53,0.22,0.492,39.2,1.0362694300518136,0.01015228426395939,577.372654155496,285.852,1.342176,0.1287072
521030,Jesangpura,Dabhoi,22.019937,73.480743,102.0,24.0,53.0,49.0,100.0,0.343,0,0.0,0.0,0,2,0,12.0,42.0,92.5,12.15,0.578,0.0,1082.2,246.4,46.0,3,0.44,0.05,0.499,6.0,1.4749262536873158,0.0106951871657754,685.8048162230673,50.898,0.171157,0.499
521027,Sanor,Dabhoi,22.01772,73.454152,1258.0,296.0,654.0,604.0,39.9,1.972,1,0.0,1.0,0,2,1,23.0,58.0,110.0,15.3,1.511,0.001,1098.4,245.6,39.3,3,0.51,0.16,0.443,72.7,0.6207324643078833,0.009009009009009009,437.43528474711275,557.294,0.873596,0.176757
521031,Bhalodra,Dabhoi,22.010556,73.493043,657.0,137.0,342.0,315.0,57.69,1.413,1,1.0,0.0,0,2,0,25.0,60.0,97.5,13.05,0.735,0.0,1073.2,244.8,45.1,3,0.49,0.11,0.494,40.5,1.1976047904191618,0.01015228426395939,618.5590778097984,324.558,0.698022,0.2849886
521028,Mandva,Dabhoi,22.001965,73.434328,2792.0,627.0,1460.0,1332.0,29.12,2.405,1,1.0,0.0,0,3,0,20.0,50.0,95.0,13.05,1.832,0.0,1094.8,245.6,37.4,3,0.52,0.19,0.423,158.1,0.5175983436853001,0.010416666666666666,386.5819209039548,1181.016,1.017315,0.1231776
521033,Gamdi,Dabhoi,21.999967,73.472539,138.0,29.0,74.0,64.0,92.03,0.407,1,1.0,0.0,1,2,0,23.0,43.0,90.0,11.7,0.818,0.001,1084.0,247.2,45.1,3,0.46,0.05,0.49,8.0,1.0893246187363834,0.01098901098901099,596.2596259625963,67.62,0.19943,0.450947
521029,Fulwadi,Dabhoi,22.007016,73.452339,593.0,125.0,311.0,282.0,61.55,1.382,0,0.0,0.0,0,3,0,20.0,50.0,102.5,13.5,2.135,0.001,1098.4,245.6,34.9,2,0.49,0.11,0.397,29.4,0.447427293064877,0.00966183574879227,350.3668261562999,235.42100000000002,0.548654,0.24435349999999997
521034,Chandod,Dabhoi,21.991799,73.460127,3019.0,742.0,1530.0,1489.0,14.87,46.446,1,1.0,1.0,1,3,1,20.0,50.0,92.5,12.15,1.168,0.001,1085.8,247.2,42.5,3,0.85,0.75,0.519,308.5,0.7886435331230284,0.0106951871657754,500.830258302583,1566.861,24.105474,0.0771753
521219,Nana Karala,Sinor,22.018617,73.417563,1173.0,244.0,599.0,574.0,41.77,2.168,1,0.0,1.0,2,1,1,14.0,50.0,107.5,14.4,3.755,0.05,1096.6,246.4,23.6,2,0.52,0.17,0.288,44.5,0.2594033722438392,0.009216589861751152,230.6203995793901,337.82399999999996,0.624384,0.12029759999999999
521234,Satisana,Sinor,22.001769,73.406543,937.0,208.0,470.0,467.0,49.63,1.396,0,0.0,0.0,2,3,0,16.0,52.0,105.0,14.4,2.629,0.0,1098.4,245.6,31.7,2,0.49,0.11,0.362,42.4,0.36643459142543056,0.009433962264150943,302.67291264811246,339.194,0.5053519999999999,0.1796606
521032,Baglipura,Dabhoi,22.003732,73.504446,422.0,82.0,221.0,201.0,6.16,4.637,0,0.0,0.0,0,2,1,20.0,53.0,97.5,12.6,1.686,0.0,1078.6,245.6,37.9,3,0.59,0.37,0.443,28.8,0.5599104143337066,0.01015228426395939,401.56366344005954,186.946,2.054191,0.027288800000000002
520985,Bhimpura Kukad,Dabhoi,22.139255,73.508042,1347.0,319.0,711.0,636.0,54.86,2.026,0,0.0,0.0,0,2,0,10.0,40.0,87.5,11.25,0.469,0.001,1089.4,247.2,48.8,3,0.51,0.16,0.532,93.5,1.7574692442882252,0.011299435028248588,741.5929203539824,716.604,1.077832,0.2918552
520984,Karnet,Dabhoi,22.114336,73.484308,2044.0,415.0,1029.0,1015.0,74.02,2.668,0,0.0,0.0,0,1,1,8.0,40.0,87.5,11.25,0.694,0.001,1093.0,248.0,46.9,3,0.53,0.21,0.52,144.7,1.2594458438287155,0.011299435028248588,645.2184179456907,1062.88,1.3873600000000001,0.384904
520983,Boriyad,Dabhoi,22.120655,73.460479,1024.0,226.0,525.0,499.0,70.7,3.151,1,0.0,1.0,2,2,0,3.0,30.0,95.0,12.15,2.601,0.001,1100.2,245.6,31.7,2,0.54,0.25,0.372,53.6,0.3702332469455757,0.010416666666666666,305.52624271035825,380.928,1.172172,0.263004
