village_code,village_name,subdistrict,latitude,longitude,geo_area_ha,pct_forest,pct_barren_uncultivable,pct_net_sown,pct_fallow,pct_pastures,pct_non_agri_builtup,irrigation_coverage_pct,cover_management_index_C_proxy,slope_deg_EXTERNAL_TOFILL,slope_length_m_EXTERNAL_TOFILL,soil_type_EXTERNAL_TOFILL,soil_erodibility_K_EXTERNAL_TOFILL,rainfall_erosivity_R_EXTERNAL_TOFILL,support_practice_P_EXTERNAL_TOFILL,erosion_risk_score_TARGET,distance_to_river_km_EXTERNAL_TOFILL
519890,Meghakui,Vadodara Rural,22.138633,73.278804,446.0,0.0,8.16,90.21,0.0,0.0,0.93,41.34,0.344,13.5,212.0,Alluvial Loamy Soil,0.309,471.2,0.75,0.6859999999999999,3.025
519858,Talsat,Vadodara Rural,22.238004,73.1711,230.0,0.0,0.44,76.42,0.0,4.8,12.23,34.29,0.24,14.4,222.8,Alluvial Loamy Soil,0.316,481.0,0.75,0.92,0.73
519835,Sisva,Vadodara Rural,22.397016,73.178636,418.0,0.0,4.07,73.98,0.0,1.63,7.32,54.95,0.261,12.6,201.2,Alluvial Loamy Soil,0.29,474.5,0.75,0.92,0.16
519884,Vadsala,Vadodara Rural,22.157934,73.174287,695.0,0.0,0.0,70.61,0.9,14.54,0.45,4.25,0.239,13.05,206.6,Alluvial Loamy Soil,0.306,473.1,0.75,0.92,1.727
519876,Hansajipura,Vadodara Rural,22.205196,73.260987,254.0,0.0,0.8,88.35,4.02,4.82,0.8,2.27,0.304,13.95,217.4,Alluvial Loamy Soil,0.312,471.8,0.75,0.92,2.424
519861,Chikhodara,Vadodara Rural,22.233156,73.236326,591.0,0.0,0.0,89.68,0.0,4.91,5.41,23.44,0.276,12.15,195.8,Alluvial Loamy Soil,0.302,480.3,0.75,0.92,0.672
802597,Por Ramangamdi INA,Vadodara Rural,22.142991,73.180844,0.0,,,,,,,,0.0,12.15,195.8,Alluvial Loamy Soil,0.31,478.4,0.9,0.02,0.027
519915,Sama OG,Vadodara Rural,22.347302,73.207008,0.0,,,,,,,,0.0,11.7,190.4,Alluvial Loamy Soil,0.31,479.0,0.9,0.02,0.078
521151,Dhamanja,Karjan,21.998056,73.080688,581.0,0.0,4.48,89.85,0.0,5.16,0.52,76.63,0.318,11.7,190.4,Deep Black Cotton Soil,0.3,472.5,0.75,0.92,0.347
521152,Lakodara,Karjan,21.995859,73.111902,738.0,0.0,2.68,79.11,11.97,4.97,1.27,100.0,0.341,12.15,195.8,Deep Black Cotton Soil,0.307,475.1,0.75,0.92,0.277
521162,Osalam,Karjan,21.991137,73.145019,817.0,0.0,3.92,90.45,0.0,4.65,0.98,100.0,0.314,14.4,222.8,Deep Black Cotton Soil,0.323,482.9,0.75,0.92,2.241
521112,Kotna,Padra,22.0948,72.981493,748.0,0.4,5.35,86.1,0.0,5.21,2.41,55.9,0.314,12.6,201.2,Alluvial Loamy Soil,0.306,477.7,0.75,0.92,0.706
521116,Kothwada,Padra,22.110103,73.07992,235.0,0.0,4.68,80.85,0.0,0.0,8.51,52.63,0.285,13.05,206.6,Alluvial Loamy Soil,0.305,480.3,0.75,0.92,0.238
521113,Shahera,Padra,22.100724,73.017333,310.0,0.32,4.84,81.94,0.0,7.1,5.81,39.37,0.3,12.15,195.8,Alluvial Loamy Soil,0.295,471.2,0.75,0.92,0.576
521117,Vasnaref,Padra,22.08068,72.97523,434.0,0.0,3.23,85.94,0.0,5.07,5.76,71.85,0.294,11.7,190.4,Alluvial Loamy Soil,0.302,475.8,0.75,0.92,0.621
521119,Sokhdaraghu,Padra,22.064954,72.97663,351.0,0.0,0.57,87.78,0.0,5.11,3.98,16.5,0.276,13.5,212.0,Alluvial Loamy Soil,0.295,473.8,0.75,0.92,0.569
519899,Kashipura,Vadodara Rural,22.116365,73.166323,469.0,0.0,0.84,84.63,12.63,1.47,0.42,55.97,0.339,12.6,201.2,Alluvial Loamy Soil,0.315,474.5,0.75,0.92,2.125
519898,Sarar,Vadodara Rural,22.104863,73.149804,1103.0,0.0,1.08,95.78,2.95,0.0,0.2,46.15,0.315,12.6,201.2,Alluvial Loamy Soil,0.313,478.4,0.75,0.92,0.991
251215,Karjan,Karjan,22.053736,73.127378,0.0,,,,,,,,0.0,0.2,52.4,Deep Black Cotton Soil,0.15,387.6,0.9,0.02,1.909
520999,Mandala,Dabhoi,22.082633,73.328643,1879.0,7.03,1.6,87.17,0.0,3.78,0.43,45.05,0.283,11.7,190.4,Deep Black Cotton Soil,0.349,472.5,0.75,0.92,0.407
520998,Parikha,Dabhoi,22.082741,73.291885,666.0,0.0,8.87,87.07,0.0,3.01,1.05,56.82,0.346,0.2,52.4,Deep Black Cotton Soil,0.15,387.6,0.75,0.044,1.065
520973,Nada,Dabhoi,22.131256,73.375066,1044.0,7.94,1.82,83.44,0.0,5.84,0.0,16.63,0.277,11.7,190.4,Deep Black Cotton Soil,0.351,475.1,0.75,0.6859999999999999,3.692
520979,Sejpura,Dabhoi,22.122262,73.298782,233.0,2.59,4.31,87.07,0.0,6.03,0.0,100.0,0.31,13.5,212.0,Deep Black Cotton Soil,0.312,471.2,0.75,0.92,0.85
520982,Tharvasa,Dabhoi,22.112532,73.392616,340.0,0.0,0.0,89.71,0.0,5.59,4.71,98.36,0.278,11.7,190.4,Deep Black Cotton Soil,0.348,477.1,0.75,0.92,2.08
520981,Baripura,Dabhoi,22.112979,73.33336,388.0,0.0,3.87,79.9,0.0,0.0,16.24,80.65,0.275,12.6,201.2,Deep Black Cotton Soil,0.34,473.8,0.75,0.92,0.745
520980,Vakhatpura,Dabhoi,22.115875,73.315005,181.0,0.0,0.0,73.48,0.0,0.0,13.26,75.19,0.22,11.25,185.0,Deep Black Cotton Soil,0.343,477.7,0.75,0.92,0.444
520991,Habipura,Dabhoi,22.106409,73.353946,979.0,0.0,8.69,87.93,0.0,3.07,0.31,93.02,0.347,11.7,190.4,Deep Black Cotton Soil,0.349,472.5,0.75,0.92,0.516
520978,Chhatral,Dabhoi,22.109304,73.290473,548.0,0.0,2.19,84.12,0.0,12.77,0.91,81.13,0.291,12.15,195.8,Deep Black Cotton Soil,0.308,468.6,0.75,0.92,0.123
520977,Khanpur,Dabhoi,22.11699,73.276368,426.0,0.0,19.01,76.06,0.0,4.93,0.0,61.73,0.407,13.05,206.6,Deep Black Cotton Soil,0.304,471.8,0.75,0.92,1.494
520994,Menpura,Dabhoi,22.106381,73.232355,447.0,0.0,0.0,84.56,0.0,0.0,10.51,79.37,0.254,13.5,212.0,Deep Black Cotton Soil,0.321,484.3,0.75,0.92,1.938
520993,Kunvarpura,Dabhoi,22.102555,73.268697,289.0,0.0,2.77,92.04,0.0,0.0,5.19,75.19,0.301,12.6,201.2,Deep Black Cotton Soil,0.309,475.1,0.75,0.92,1.298
521128,Bamangam,Karjan,22.103873,73.192831,725.0,0.0,3.98,45.38,44.09,0.0,6.56,100.0,0.436,12.15,195.8,Deep Black Cotton Soil,0.304,483.6,0.9,0.92,0.66
519905,Samsabad,Vadodara Rural,22.120986,73.265597,617.0,0.0,2.32,92.86,0.0,2.14,0.71,28.85,0.303,13.05,206.6,Alluvial Loamy Soil,0.304,473.1,0.75,0.92,2.616
520987,Navi Mangrol,Dabhoi,22.095945,73.471121,235.0,0.0,0.0,80.08,0.0,7.63,12.29,100.0,0.252,10.8,179.6,Deep Black Cotton Soil,0.368,472.5,0.75,0.92,0.615
521020,Manpur,Dabhoi,22.05,73.448552,186.0,0.0,11.83,76.34,0.0,11.83,0.0,100.0,0.353,11.25,185.0,Deep Black Cotton Soil,0.367,482.9,0.75,0.92,0.109
521023,Akoti,Dabhoi,22.041523,73.490974,501.0,5.79,8.18,80.64,0.0,5.19,0.0,100.0,0.324,13.05,206.6,Deep Black Cotton Soil,0.364,472.5,0.75,0.92,1.888
521001,Sitpur,Dabhoi,22.08057,73.471272,943.0,0.0,0.0,74.44,0.0,25.56,0.0,43.02,0.262,11.7,190.4,Deep Black Cotton Soil,0.371,479.7,0.75,0.92,0.805
520989,Gamdi Kanayada,Dabhoi,22.095686,73.413239,433.0,0.0,9.95,84.49,0.0,0.69,4.86,72.6,0.344,12.15,195.8,Deep Black Cotton Soil,0.369,477.7,0.75,0.92,0.214
521003,Dharmapura,Dabhoi,22.085604,73.534557,138.0,2.17,2.9,86.96,0.0,7.97,0.0,83.33,0.299,11.7,190.4,Deep Black Cotton Soil,0.377,473.8,0.75,0.92,0.708
521012,Vadaj,Dabhoi,22.075049,73.438367,1387.0,0.0,10.97,87.88,0.0,1.15,0.0,98.52,0.364,13.05,206.6,Deep Black Cotton Soil,0.386,479.0,0.75,0.92,1.769
521002,Bhilodiya,Dabhoi,22.079777,73.507412,624.0,0.0,13.62,86.38,0.0,0.0,0.0,92.76,0.382,12.15,195.8,Deep Black Cotton Soil,0.384,477.1,0.75,0.92,1.339
521000,Kanayada,Dabhoi,22.076657,73.405223,377.0,0.0,2.92,85.41,0.0,5.57,6.1,53.42,0.291,13.5,212.0,Deep Black Cotton Soil,0.366,482.3,0.75,0.92,1.893
521010,Chanwada,Dabhoi,22.064168,73.468113,470.0,0.0,0.0,76.6,0.0,21.28,2.13,83.33,0.262,11.7,190.4,Deep Black Cotton Soil,0.361,478.4,0.75,0.92,1.007
521004,Para,Dabhoi,22.072918,73.531128,177.0,0.56,2.26,90.96,0.0,6.21,0.0,62.11,0.303,11.7,190.4,Deep Black Cotton Soil,0.373,475.1,0.75,0.92,0.009
521006,Asgol,Dabhoi,22.064052,73.533433,212.0,0.0,4.69,89.2,0.0,5.16,0.94,94.74,0.318,10.8,179.6,Deep Black Cotton Soil,0.371,473.1,0.75,0.92,0.834
521007,Araniya,Dabhoi,22.058945,73.527337,211.0,1.42,4.72,87.74,0.0,6.13,0.0,46.24,0.315,11.25,185.0,Deep Black Cotton Soil,0.373,472.5,0.75,0.92,0.537
521013,Ten Talav,Dabhoi,22.049604,73.413979,1401.0,2.28,6.99,82.24,0.0,8.49,0.0,100.0,0.323,14.85,228.2,Deep Black Cotton Soil,0.374,481.6,0.75,0.92,1.94
521009,Asodara,Dabhoi,22.048387,73.5033,665.0,0.0,19.1,80.45,0.0,0.3,0.15,93.46,0.414,11.7,190.4,Deep Black Cotton Soil,0.365,472.5,0.75,0.92,1.521
521008,Nagdol,Dabhoi,22.053618,73.516519,281.0,0.0,11.03,84.7,0.0,1.78,2.49,84.03,0.356,11.25,185.0,Deep Black Cotton Soil,0.378,473.1,0.75,0.92,0.371
521011,Ordi,Dabhoi,22.050937,73.459476,263.0,0.0,15.91,79.55,0.0,3.79,0.76,66.67,0.388,10.8,179.6,Deep Black Cotton Soil,0.365,475.1,0.75,0.92,0.614
521022,Paragam,Dabhoi,22.040225,73.47484,223.0,0.0,0.0,75.34,0.0,4.48,20.18,100.0,0.233,10.35,174.2,Deep Black Cotton Soil,0.37,477.1,0.75,0.92,0.823
521021,Rajpura,Dabhoi,22.034954,73.452827,293.0,0.0,10.54,85.37,0.0,3.4,0.68,100.0,0.356,10.8,179.6,Deep Black Cotton Soil,0.372,481.6,0.75,0.92,0.936
521026,Gumanpura,Dabhoi,22.027967,73.466711,204.0,0.0,22.55,70.59,0.0,6.86,0.0,100.0,0.425,11.7,190.4,Deep Black Cotton Soil,0.381,469.2,0.75,0.92,0.641
521025,Bhumasiya,Dabhoi,22.029212,73.484929,107.0,0.0,0.0,11.21,0.0,88.79,0.0,100.0,0.167,12.15,195.8,Deep Black Cotton Soil,0.378,473.8,0.9,0.92,0.439
521024,Sompura,Dabhoi,22.025399,73.498561,213.0,2.35,2.82,90.14,0.0,3.29,1.41,100.0,0.301,12.15,195.8,Deep Black Cotton Soil,0.384,469.9,0.75,0.92,0.865
521030,Jesangpura,Dabhoi,22.019937,73.480743,297.0,11.78,0.0,41.41,0.0,46.46,0.34,100.0,0.196,12.15,195.8,Deep Black Cotton Soil,0.378,471.8,0.9,0.92,0.578
521027,Sanor,Dabhoi,22.01772,73.454152,638.0,0.0,12.09,87.13,0.0,0.78,0.0,100.0,0.371,15.3,233.6,Deep Black Cotton Soil,0.386,477.7,0.75,0.92,1.511
521031,Bhalodra,Dabhoi,22.010556,73.493043,465.0,0.0,28.39,71.61,0.0,0.0,0.0,100.0,0.47,13.05,206.6,Deep Black Cotton Soil,0.381,468.6,0.75,0.92,0.735
521028,Mandva,Dabhoi,22.001965,73.434328,1161.0,0.0,0.0,74.53,0.0,0.0,25.47,100.0,0.224,13.05,206.6,Deep Black Cotton Soil,0.381,476.4,0.75,0.92,1.832
521033,Gamdi,Dabhoi,21.999967,73.472539,339.0,0.0,0.0,81.66,0.0,18.34,0.0,61.59,0.272,11.7,190.4,Deep Black Cotton Soil,0.386,472.5,0.75,0.92,0.818
521029,Fulwadi,Dabhoi,22.007016,73.452339,429.0,0.0,24.53,50.47,0.0,21.03,3.97,100.0,0.404,13.5,212.0,Deep Black Cotton Soil,0.38,477.7,0.9,0.92,2.135
521034,Chandod,Dabhoi,21.991799,73.460127,65.0,0.0,69.23,24.62,0.0,0.0,6.15,100.0,0.697,12.15,195.8,Deep Black Cotton Soil,0.376,473.1,0.9,0.92,1.168
521219,Nana Karala,Sinor,22.018617,73.417563,541.0,0.0,1.48,93.35,0.0,1.85,3.33,79.21,0.296,14.4,222.8,Deep Black Cotton Soil,0.387,477.1,0.75,0.6859999999999999,3.755
521234,Satisana,Sinor,22.001769,73.406543,671.0,0.0,1.94,83.61,0.0,7.6,6.86,71.3,0.28,14.4,222.8,Deep Black Cotton Soil,0.385,477.7,0.75,0.92,2.629
521032,Baglipura,Dabhoi,22.003732,73.504446,91.0,0.0,4.44,88.89,0.0,6.67,0.0,100.0,0.317,12.6,201.2,Deep Black Cotton Soil,0.39,470.5,0.75,0.92,1.686
520985,Bhimpura Kukad,Dabhoi,22.139255,73.508042,665.0,0.0,15.34,73.68,0.0,5.86,5.11,81.63,0.368,11.25,185.0,Deep Black Cotton Soil,0.371,474.5,0.75,0.92,0.469
520984,Karnet,Dabhoi,22.114336,73.484308,766.0,0.65,7.04,75.88,0.0,5.22,11.21,85.91,0.299,11.25,185.0,Deep Black Cotton Soil,0.38,475.8,0.75,0.92,0.694
520983,Boriyad,Dabhoi,22.120655,73.460479,325.0,1.23,9.2,64.11,0.0,3.68,21.78,52.15,0.281,12.15,195.8,Deep Black Cotton Soil,0.376,478.4,0.9,0.92,2.601
520988,Dharmpuri,Dabhoi,22.10525,73.445468,906.0,0.0,1.77,83.33,0.0,4.64,9.82,53.11,0.273,12.15,195.8,Deep Black Cotton Soil,0.369,484.3,0.75,0.92,0.812
520986,Juni Mangrol,Dabhoi,22.104319,73.475881,222.0,0.0,4.5,63.51,0.0,0.9,9.01,100.0,0.232,12.15,195.8,Deep Black Cotton Soil,0.37,475.8,0.9,0.92,0.574
251213,Dabhoi,Dabhoi,22.132821,73.43051,0.0,,,,,,,,0.0,12.15,195.8,Deep Black Cotton Soil,0.367,479.7,0.9,0.02,2.806
521017,Kayavarohan,Dabhoi,22.075851,73.250283,3361.0,1.67,2.98,91.46,0.0,3.9,0.0,100.0,0.307,12.6,201.2,Deep Black Cotton Soil,0.325,478.4,0.75,0.92,1.087
520995,Puniyad,Dabhoi,22.100616,73.213227,553.0,2.89,1.99,90.24,0.0,4.88,0.0,80.16,0.297,13.05,206.6,Deep Black Cotton Soil,0.32,482.9,0.75,0.92,0.73
520992,Kothara,Dabhoi,22.101065,73.306994,427.0,0.0,5.85,88.99,0.0,4.68,0.47,78.95,0.327,11.7,190.4,Deep Black Cotton Soil,0.356,471.2,0.75,0.92,0.783
520990,Sathod,Dabhoi,22.088947,73.380113,1806.0,0.72,2.71,96.46,0.0,0.0,0.11,91.85,0.314,12.15,195.8,Deep Black Cotton Soil,0.35,474.5,0.75,0.92,0.545
520997,Sultanpura,Dabhoi,22.081722,73.275647,248.0,0.0,12.1,83.87,0.0,4.03,0.0,100.0,0.367,12.6,201.2,Deep Black Cotton Soil,0.315,473.8,0.75,0.92,0.556
520996,Fofaliya,Dabhoi,22.077858,73.207523,455.0,0.0,6.61,88.11,0.0,4.41,0.88,62.5,0.33,13.05,206.6,Deep Black Cotton Soil,0.318,487.5,0.75,0.92,1.785
521015,Pisai,Dabhoi,22.065104,73.353468,680.0,0.0,7.49,87.22,0.0,5.29,0.0,100.0,0.337,12.6,201.2,Deep Black Cotton Soil,0.366,479.0,0.75,0.92,1.804
521014,Shirola,Dabhoi,22.056849,73.383541,616.0,0.0,0.0,87.34,0.0,12.66,0.0,100.0,0.281,13.5,212.0,Deep Black Cotton Soil,0.368,484.9,0.75,0.92,0.738
521016,Karmal,Dabhoi,22.058746,73.302368,459.0,0.0,7.19,87.58,0.0,5.23,0.0,100.0,0.335,12.15,195.8,Deep Black Cotton Soil,0.36,482.3,0.75,0.92,1.473
521018,Lingsthali,Dabhoi,22.042229,73.252039,862.0,0.0,7.19,89.56,0.0,3.25,0.0,90.67,0.338,13.95,217.4,Deep Black Cotton Soil,0.366,481.0,0.75,0.92,0.944
521019,Bananj,Dabhoi,22.024348,73.233382,418.0,0.0,2.63,83.05,0.0,14.32,0.0,100.0,0.294,13.05,206.6,Deep Black Cotton Soil,0.38,478.4,0.75,0.92,2.609
521143,Dhanora,Karjan,22.081782,73.187754,322.0,0.0,0.61,84.55,4.85,4.55,3.03,71.68,0.295,12.6,201.2,Deep Black Cotton Soil,0.31,484.3,0.75,0.92,1.787
521144,Gandhara,Karjan,22.053571,73.215055,780.0,0.0,8.97,85.64,0.0,4.1,1.28,90.57,0.344,13.95,217.4,Deep Black Cotton Soil,0.324,479.7,0.75,0.92,2.43
521145,Ganpatpura,Karjan,22.055872,73.196843,798.0,0.0,4.01,89.35,0.0,3.76,2.51,91.16,0.31,13.95,217.4,Deep Black Cotton Soil,0.327,482.3,0.75,0.92,1.483
521156,Dhavat,Karjan,22.033506,73.18218,1272.0,0.0,0.94,86.56,0.0,4.01,8.18,81.83,0.274,13.5,212.0,Deep Black Cotton Soil,0.331,481.6,0.75,0.92,1.587
521157,Kurali,Karjan,22.024655,73.212051,591.0,0.0,0.34,90.52,0.0,4.74,4.4,100.0,0.282,13.95,217.4,Deep Black Cotton Soil,0.329,486.2,0.75,0.6859999999999999,3.849
521158,Vemar,Karjan,22.001203,73.236051,1045.0,0.0,2.3,86.12,0.0,4.5,7.08,100.0,0.286,12.15,195.8,Deep Black Cotton Soil,0.365,475.8,0.75,0.92,0.825
521160,Kasampur,Karjan,22.010784,73.197272,482.0,0.0,0.0,85.68,0.0,4.98,9.34,100.0,0.265,14.4,222.8,Deep Black Cotton Soil,0.323,484.9,0.75,0.92,2.555
521159,Kothav,Karjan,22.000365,73.216065,505.0,0.0,6.92,87.94,0.0,4.15,0.99,100.0,0.332,14.85,228.2,Deep Black Cotton Soil,0.366,481.0,0.75,0.92,1.8
521172,Nishaliya,Karjan,21.994476,73.203651,282.0,0.0,14.89,80.14,0.0,4.96,0.0,100.0,0.382,14.4,222.8,Deep Black Cotton Soil,0.368,480.3,0.75,0.92,1.945
521171,Choranda,Karjan,21.988212,73.178437,1218.0,0.0,1.2,74.88,5.12,4.96,12.88,93.48,0.274,13.5,212.0,Deep Black Cotton Soil,0.372,479.7,0.75,0.92,2.626
521217,Sandha,Sinor,22.051567,73.333742,290.0,0.0,0.34,84.48,0.0,5.17,10.0,78.37,0.264,13.05,206.6,Deep Black Cotton Soil,0.365,476.4,0.75,0.92,2.664
521218,Damnagar,Sinor,22.048448,73.35436,329.0,0.0,0.0,87.5,0.0,4.88,7.62,89.86,0.27,11.7,190.4,Deep Black Cotton Soil,0.367,475.8,0.75,0.6859999999999999,3.085
521216,Garadi,Sinor,22.046886,73.313492,379.0,0.0,0.79,87.11,0.0,5.79,6.32,90.94,0.277,13.05,206.6,Deep Black Cotton Soil,0.356,481.6,0.75,0.92,2.705
521215,Nana Habipura,Sinor,22.045817,73.288605,322.0,0.0,1.66,89.4,0.0,7.62,1.32,100.0,0.295,12.15,195.8,Deep Black Cotton Soil,0.357,479.7,0.75,0.92,2.197
521225,Achisara,Sinor,22.032329,73.319689,732.0,0.0,8.06,86.89,0.0,3.69,1.37,81.45,0.339,13.5,212.0,Deep Black Cotton Soil,0.359,482.3,0.75,0.92,2.405
521222,Puniyad,Sinor,22.034808,73.362022,683.0,0.0,2.2,82.87,0.0,4.69,10.25,87.46,0.275,12.15,195.8,Deep Black Cotton Soil,0.38,479.7,0.75,0.92,1.594
521221,Anandi,Sinor,22.027457,73.377876,758.0,0.0,14.78,81.79,0.0,3.17,0.26,80.0,0.383,13.5,212.0,Deep Black Cotton Soil,0.382,477.1,0.75,0.92,2.147
521223,Bhekhada,Sinor,22.034538,73.340775,201.0,0.0,0.0,81.5,0.0,6.0,12.5,89.57,0.253,14.4,222.8,Deep Black Cotton Soil,0.373,478.4,0.75,0.92,2.361
521214,Timbarva,Sinor,22.02638,73.271644,1551.0,0.0,0.71,87.43,0.0,4.38,7.48,73.75,0.275,13.5,212.0,Deep Black Cotton Soil,0.368,481.0,0.75,0.6859999999999999,3.403
521224,Chhanbhoi,Sinor,22.018022,73.343451,524.0,0.0,3.82,78.82,0.0,5.15,12.21,92.01,0.279,12.15,195.8,Deep Black Cotton Soil,0.387,482.9,0.75,0.92,0.842
521231,Avakhal,Sinor,22.0029,73.3245,1344.0,0.0,2.31,83.1,0.0,4.02,10.57,94.18,0.276,12.15,195.8,Deep Black Cotton Soil,0.391,481.6,0.75,0.92,0.371
521232,Malpur,Sinor,22.006701,73.353646,461.0,0.0,1.74,88.94,0.0,2.6,6.72,79.27,0.286,13.95,217.4,Deep Black Cotton Soil,0.388,484.3,0.75,0.92,0.713
521226,Tarva,Sinor,22.00933,73.267989,522.0,0.0,0.57,83.52,0.0,4.79,11.11,100.0,0.263,13.95,217.4,Deep Black Cotton Soil,0.375,481.0,0.75,0.92,2.563
521233,Segva,Sinor,22.006763,73.374721,453.0,0.0,0.79,72.64,21.26,4.33,0.98,86.72,0.359,13.5,212.0,Deep Black Cotton Soil,0.382,482.3,0.75,0.92,2.3
521230,Sadhli,Sinor,21.990856,73.297683,1133.0,0.0,0.88,89.4,0.0,4.15,5.57,95.55,0.282,14.85,228.2,Deep Black Cotton Soil,0.381,482.3,0.75,0.92,0.896
521108,Sampla,Padra,22.092733,72.917623,871.0,0.0,3.1,85.65,0.0,3.44,7.81,46.92,0.29,12.15,195.8,Alluvial Loamy Soil,0.306,477.7,0.75,0.92,1.565
521107,Shanpur,Padra,22.104415,72.950166,518.0,0.0,2.12,85.33,0.0,4.05,8.49,11.31,0.281,12.15,195.8,Alluvial Loamy Soil,0.307,474.5,0.75,0.92,0.232
521090,Kanzat,Padra,22.108455,72.889902,731.0,8.48,1.78,87.55,0.0,0.0,1.09,62.5,0.28,12.6,201.2,Alluvial Loamy Soil,0.304,475.8,0.75,0.92,0.487
521110,Bhanpur,Padra,22.090872,72.938779,315.0,0.0,0.64,89.49,0.0,4.46,5.41,60.85,0.281,12.6,201.2,Alluvial Loamy Soil,0.314,479.0,0.75,0.92,0.787
521111,Vanchhara,Padra,22.075925,72.949723,859.0,0.0,3.61,84.63,0.0,5.36,5.36,13.76,0.294,12.6,201.2,Alluvial Loamy Soil,0.295,471.8,0.75,0.92,0.364
521109,Danoli,Padra,22.069706,72.919621,482.0,0.0,2.9,82.16,0.0,4.36,10.58,30.38,0.279,12.15,195.8,Alluvial Loamy Soil,0.308,478.4,0.75,0.92,2.303
521118,Nedra,Padra,22.052913,72.928131,549.0,0.0,7.28,87.16,0.0,5.56,0.0,78.02,0.335,12.6,201.2,Alluvial Loamy Soil,0.306,475.1,0.75,0.92,0.564
521227,Tinglod,Sinor,21.990449,73.25099,467.0,0.0,0.43,87.15,0.0,1.93,10.49,100.0,0.268,12.15,195.8,Deep Black Cotton Soil,0.362,479.0,0.75,0.92,0.646
521122,Abhara,Karjan,22.088832,73.023087,650.0,0.0,4.55,85.58,2.73,4.86,2.28,88.65,0.321,13.95,217.4,Deep Black Cotton Soil,0.294,479.0,0.75,0.92,0.586
521142,Kandari,Karjan,22.080348,73.151713,1598.0,0.0,7.0,87.0,0.0,5.24,0.76,100.0,0.332,13.95,217.4,Deep Black Cotton Soil,0.332,481.6,0.75,0.92,1.023
521132,Kurai,Karjan,22.077144,73.102052,820.0,0.0,0.0,77.87,15.73,4.94,1.46,85.57,0.335,13.5,212.0,Deep Black Cotton Soil,0.327,477.1,0.75,0.92,1.723
521134,Handod,Karjan,22.074506,73.054631,1020.0,0.0,2.36,87.03,5.11,4.03,1.47,80.14,0.319,12.15,195.8,Deep Black Cotton Soil,0.318,480.3,0.75,0.92,1.707
521133,Khandha,Karjan,22.070567,73.073476,804.0,0.0,2.2,81.48,13.89,1.74,0.69,71.02,0.35,12.6,201.2,Deep Black Cotton Soil,0.323,475.8,0.75,0.92,1.451
521136,Chorbhuj,Karjan,22.061192,73.010019,847.0,0.0,4.96,87.89,0.0,5.21,1.94,81.27,0.316,12.6,201.2,Deep Black Cotton Soil,0.3,474.5,0.75,0.92,1.545
