village_code,village_name,subdistrict,latitude,longitude,total_population,total_households,male_population,female_population,sc_st_population_share_pct,population_density_per_ha,surface_water_exposure,river_canal_present,tank_pond_lake_present,drainage_quality_score,road_connectivity_score,healthcare_access_score,nearest_town_dist_km,district_hq_dist_km,elevation_m_EXTERNAL_TOFILL,slope_deg_EXTERNAL_TOFILL,distance_to_river_km_EXTERNAL_TOFILL,drainage_density_km_per_km2_EXTERNAL_TOFILL,rainfall_annual_mm_EXTERNAL_TOFILL,rainfall_24hr_max_mm_EXTERNAL_TOFILL,historical_flood_inundation_pct_EXTERNAL_TOFILL,historical_flood_event_count_EXTERNAL_TOFILL,runoff_coefficient_EXTERNAL_TOFILL,building_footprint_density_EXTERNAL_TOFILL,flood_hazard_score_TARGET,flood_damage_estimate_TARGET
519890,Meghakui,Vadodara Rural,22.138633,73.278804,1208.0,266.0,617.0,591.0,26.9,2.709,0,0.0,0.0,2,2,0,21.0,21.0,100.0,13.5,3.025,0.05,1080.4,244.8,29.2,2,0.53,0.22,0.34,56.4
519858,Talsat,Vadodara Rural,22.238004,73.1711,1124.0,249.0,572.0,552.0,7.74,4.887,0,0.0,0.0,2,2,1,12.0,12.0,105.0,14.4,0.73,0.001,1107.4,246.4,46.1,3,0.6,0.39,0.512,90.0
519835,Sisva,Vadodara Rural,22.397016,73.178636,2799.0,533.0,1448.0,1351.0,12.04,6.696,1,0.0,1.0,0,2,1,15.0,15.0,95.0,12.6,0.16,0.0,1089.4,245.6,48.4,3,0.65,0.54,0.559,271.1
519884,Vadsala,Vadodara Rural,22.157934,73.174287,3156.0,758.0,1622.0,1534.0,36.72,4.541,1,0.0,1.0,1,1,0,18.0,18.0,97.5,13.05,1.727,0.001,1085.8,247.2,37.5,3,0.59,0.36,0.441,212.9
519876,Hansajipura,Vadodara Rural,22.205196,73.260987,223.0,47.0,117.0,106.0,17.94,0.878,1,0.0,1.0,1,2,0,15.0,15.0,102.5,13.95,2.424,0.001,1082.2,245.6,32.9,2,0.48,0.07,0.375,10.1
519861,Chikhodara,Vadodara Rural,22.233156,73.236326,1747.0,380.0,881.0,866.0,25.36,2.956,1,0.0,1.0,2,2,0,10.0,10.0,92.5,12.15,0.672,0.001,1105.6,246.4,44.8,3,0.54,0.24,0.507,123.6
802597,Por Ramangamdi INA,Vadodara Rural,22.142991,73.180844,311.0,123.0,0.0,0.0,,,0,,,0,0,0,0.0,,92.5,12.15,0.027,0.001,1100.2,247.2,50.8,3,0.51,0.16,0.548,22.2
519915,Sama OG,Vadodara Rural,22.347302,73.207008,0.0,0.0,0.0,0.0,,,0,,,0,0,0,0.0,,90.0,11.7,0.078,0.001,1102.0,248.8,49.6,3,0.51,0.16,0.55,0.0
521151,Dhamanja,Karjan,21.998056,73.080688,890.0,175.0,449.0,441.0,57.3,1.532,1,0.0,1.0,0,2,0,8.0,46.0,90.0,11.7,0.347,0.001,1084.0,247.2,48.0,3,0.5,0.12,0.529,59.3
521152,Lakodara,Karjan,21.995859,73.111902,1947.0,389.0,1006.0,941.0,23.88,2.638,0,0.0,0.0,0,3,0,7.0,37.0,90.0,12.15,0.277,0.001,1091.2,247.2,48.0,3,0.53,0.21,0.538,142.6
521162,Osalam,Karjan,21.991137,73.145019,1678.0,335.0,873.0,805.0,46.42,2.054,1,0.0,1.0,1,2,0,12.0,45.0,102.5,14.4,2.241,0.001,1112.8,247.2,35.1,3,0.51,0.16,0.393,86.1
521112,Kotna,Padra,22.0948,72.981493,1214.0,257.0,638.0,576.0,30.56,1.623,1,1.0,1.0,1,2,0,15.0,40.0,95.0,12.6,0.706,0.0,1098.4,245.6,45.9,3,0.5,0.13,0.498,76.9
521116,Kothwada,Padra,22.110103,73.07992,780.0,159.0,388.0,392.0,16.92,3.319,1,1.0,0.0,1,2,0,10.0,28.0,100.0,13.05,0.238,0.001,1105.6,245.6,48.6,3,0.55,0.27,0.539,60.1
521113,Shahera,Padra,22.100724,73.017333,869.0,187.0,448.0,421.0,19.79,2.803,1,1.0,1.0,1,1,0,17.0,37.0,92.5,12.15,0.576,0.001,1080.4,246.4,46.5,3,0.53,0.22,0.512,61.1
521117,Vasnaref,Padra,22.08068,72.97523,407.0,88.0,211.0,196.0,15.97,0.938,1,1.0,0.0,1,2,0,16.0,51.0,90.0,11.7,0.621,0.001,1093.0,245.6,46.4,3,0.48,0.08,0.506,25.0
521119,Sokhdaraghu,Padra,22.064954,72.97663,2015.0,397.0,1028.0,987.0,18.46,5.741,1,1.0,1.0,1,2,0,15.0,51.0,97.5,13.5,0.569,0.001,1087.6,247.2,46.3,3,0.62,0.46,0.527,174.4
519899,Kashipura,Vadodara Rural,22.116365,73.166323,1117.0,241.0,578.0,539.0,50.49,2.382,1,0.0,1.0,2,2,1,8.0,22.0,95.0,12.6,2.125,0.001,1089.4,246.4,34.3,2,0.52,0.19,0.402,60.1
519898,Sarar,Vadodara Rural,22.104863,73.149804,2480.0,518.0,1287.0,1193.0,28.59,2.248,1,0.0,1.0,2,2,0,8.0,20.0,95.0,12.6,0.991,0.001,1100.2,246.4,43.3,3,0.52,0.18,0.482,158.7
251215,Karjan,Karjan,22.053736,73.127378,30405.0,6473.0,0.0,0.0,,,0,0.0,0.0,0,0,0,0.0,,25.0,0.2,1.909,0.0,850.0,120.0,53.3,3,0.51,0.16,0.651,2583.1
520999,Mandala,Dabhoi,22.082633,73.328643,3427.0,794.0,1782.0,1645.0,53.02,1.824,1,0.0,1.0,2,3,1,10.0,30.0,90.0,11.7,0.407,0.001,1084.0,244.8,47.7,3,0.49,0.15,0.522,231.4
520998,Parikha,Dabhoi,22.082741,73.291885,1131.0,253.0,586.0,545.0,48.28,1.698,1,0.0,1.0,2,2,0,15.0,25.0,90.0,0.2,1.065,0.001,850.0,120.0,32.7,2,0.5,0.14,0.424,61.5
520973,Nada,Dabhoi,22.131256,73.375066,1826.0,462.0,967.0,859.0,52.52,1.749,1,1.0,1.0,0,3,1,5.0,35.0,90.0,11.7,3.692,0.05,1091.2,247.2,24.2,2,0.49,0.14,0.293,68.6
520979,Sejpura,Dabhoi,22.122262,73.298782,421.0,97.0,217.0,204.0,83.37,1.807,0,0.0,0.0,0,2,0,12.0,30.0,92.5,13.5,0.85,0.0,1080.4,243.2,45.4,3,0.5,0.14,0.487,26.3
520982,Tharvasa,Dabhoi,22.112532,73.392616,731.0,151.0,385.0,346.0,38.99,2.15,1,1.0,1.0,0,3,0,3.0,45.0,92.5,11.7,2.08,0.0,1096.6,247.2,35.4,2,0.51,0.17,0.404,38.9
520981,Baripura,Dabhoi,22.112979,73.33336,720.0,168.0,371.0,349.0,30.83,1.856,1,0.0,1.0,0,2,0,9.0,27.0,95.0,12.6,0.745,0.001,1087.6,246.4,44.6,3,0.51,0.15,0.497,46.3
520980,Vakhatpura,Dabhoi,22.115875,73.315005,180.0,47.0,91.0,89.0,38.89,0.994,1,1.0,1.0,0,1,0,11.0,30.0,87.5,11.25,0.444,0.001,1098.4,244.0,48.1,3,0.48,0.08,0.528,11.5
520991,Habipura,Dabhoi,22.106409,73.353946,1688.0,373.0,891.0,797.0,34.95,1.724,1,0.0,1.0,0,3,0,6.0,36.0,100.0,11.7,0.516,0.0,1084.0,246.4,46.5,3,0.5,0.14,0.512,110.8
520978,Chhatral,Dabhoi,22.109304,73.290473,1170.0,260.0,610.0,560.0,38.21,2.135,1,0.0,1.0,2,2,1,15.0,45.0,92.5,12.15,0.123,0.0,1073.2,245.6,48.9,3,0.51,0.17,0.541,83.3
520977,Khanpur,Dabhoi,22.11699,73.276368,918.0,192.0,463.0,455.0,35.19,2.155,1,1.0,1.0,1,2,0,19.0,25.0,97.5,13.05,1.494,0.0,1082.2,245.6,39.3,3,0.51,0.17,0.445,53.8
520994,Menpura,Dabhoi,22.106381,73.232355,1048.0,241.0,543.0,505.0,57.25,2.345,0,0.0,0.0,2,2,0,22.0,29.0,100.0,13.5,1.938,0.001,1116.4,248.0,36.8,3,0.52,0.19,0.416,58.4
520993,Kunvarpura,Dabhoi,22.102555,73.268697,482.0,109.0,250.0,232.0,16.8,1.668,1,1.0,0.0,1,0,0,20.0,32.0,92.5,12.6,1.298,0.001,1091.2,246.4,40.7,3,0.5,0.13,0.457,28.0
521128,Bamangam,Karjan,22.103873,73.192831,1884.0,418.0,951.0,933.0,21.76,2.599,1,1.0,1.0,1,3,1,9.0,25.0,92.5,12.15,0.66,0.0,1114.6,247.2,45.9,3,0.53,0.21,0.507,130.0
519905,Samsabad,Vadodara Rural,22.120986,73.265597,801.0,180.0,439.0,362.0,39.08,1.298,1,1.0,1.0,1,2,0,21.0,21.0,97.5,13.05,2.616,0.0,1085.8,246.4,31.4,2,0.49,0.1,0.363,36.0
520987,Navi Mangrol,Dabhoi,22.095945,73.471121,394.0,94.0,212.0,182.0,52.79,1.677,1,1.0,1.0,0,2,0,8.0,36.0,85.0,10.8,0.615,0.001,1084.0,246.4,48.5,3,0.5,0.13,0.531,26.6
521020,Manpur,Dabhoi,22.05,73.448552,371.0,92.0,186.0,185.0,30.19,1.995,0,0.0,0.0,0,2,0,14.0,48.0,87.5,11.25,0.109,0.0,1112.8,247.2,51.3,3,0.51,0.16,0.558,27.0
521023,Akoti,Dabhoi,22.041523,73.490974,1091.0,225.0,552.0,539.0,34.1,2.178,1,1.0,0.0,0,3,0,10.0,40.0,97.5,13.05,1.888,0.002,1084.0,247.2,36.5,2,0.5,0.17,0.416,59.7
521001,Sitpur,Dabhoi,22.08057,73.471272,1813.0,415.0,920.0,893.0,47.05,1.923,1,1.0,0.0,0,3,1,8.0,43.0,90.0,11.7,0.805,0.001,1103.8,245.6,44.9,3,0.51,0.15,0.497,116.6
520989,Gamdi Kanayada,Dabhoi,22.095686,73.413239,981.0,201.0,505.0,476.0,25.69,2.266,1,0.0,1.0,0,2,0,5.0,40.0,92.5,12.15,0.214,0.001,1098.4,246.4,48.2,3,0.52,0.18,0.536,69.8
521003,Dharmapura,Dabhoi,22.085604,73.534557,338.0,79.0,169.0,169.0,18.93,2.449,0,0.0,0.0,0,3,0,17.0,49.0,90.0,11.7,0.708,0.001,1087.6,246.4,45.7,3,0.52,0.2,0.506,23.1
521012,Vadaj,Dabhoi,22.075049,73.438367,2266.0,493.0,1148.0,1118.0,64.34,1.634,0,0.0,0.0,2,2,1,7.0,45.0,97.5,13.05,1.769,0.0,1102.0,246.4,37.7,3,0.5,0.13,0.424,122.1
521002,Bhilodiya,Dabhoi,22.079777,73.507412,1251.0,321.0,631.0,620.0,28.54,2.005,0,0.0,0.0,0,3,1,15.0,50.0,92.5,12.15,1.339,0.003,1096.6,245.6,40.4,3,0.51,0.16,0.456,74.4
521000,Kanayada,Dabhoi,22.076657,73.405223,1421.0,266.0,687.0,734.0,31.53,3.769,0,0.0,0.0,0,2,0,5.0,40.0,100.0,13.5,1.893,0.001,1111.0,244.0,36.3,2,0.56,0.3,0.424,88.1
521010,Chanwada,Dabhoi,22.064168,73.468113,1686.0,361.0,888.0,798.0,30.66,3.587,1,1.0,0.0,0,3,1,11.0,41.0,92.5,11.7,1.007,0.001,1100.2,245.6,42.5,3,0.56,0.29,0.486,118.9
521004,Para,Dabhoi,22.072918,73.531128,211.0,53.0,111.0,100.0,54.5,1.192,0,0.0,0.0,0,2,0,16.0,48.0,90.0,11.7,0.009,0.002,1091.2,245.6,50.4,3,0.48,0.1,0.549,14.3
521006,Asgol,Dabhoi,22.064052,73.533433,352.0,84.0,186.0,166.0,17.05,1.66,0,0.0,0.0,0,2,1,17.0,49.0,90.0,10.8,0.834,0.002,1085.8,246.4,45.1,3,0.5,0.13,0.494,22.1
521007,Araniya,Dabhoi,22.058945,73.527337,417.0,98.0,231.0,186.0,34.29,1.976,1,0.0,1.0,0,2,0,15.0,47.0,87.5,11.25,0.537,0.002,1084.0,247.2,48.8,3,0.51,0.16,0.528,28.7
521013,Ten Talav,Dabhoi,22.049604,73.413979,3013.0,658.0,1562.0,1451.0,47.93,2.151,1,0.0,1.0,2,2,1,12.0,42.0,105.0,14.85,1.94,0.0,1109.2,245.6,36.7,3,0.51,0.17,0.413,163.8
521009,Asodara,Dabhoi,22.048387,73.5033,746.0,158.0,371.0,375.0,90.62,1.122,1,1.0,0.0,2,2,0,15.0,47.0,90.0,11.7,1.521,0.003,1084.0,246.4,39.9,3,0.48,0.09,0.443,40.5
521008,Nagdol,Dabhoi,22.053618,73.516519,557.0,132.0,280.0,277.0,64.63,1.982,1,1.0,0.0,0,2,0,17.0,49.0,87.5,11.25,0.371,0.002,1085.8,247.2,49.8,3,0.51,0.16,0.539,39.2
521011,Ordi,Dabhoi,22.050937,73.459476,742.0,145.0,384.0,358.0,29.78,2.821,1,1.0,1.0,0,2,0,13.0,43.0,85.0,10.8,0.614,0.001,1091.2,245.6,48.6,3,0.53,0.23,0.536,55.0
521022,Paragam,Dabhoi,22.040225,73.47484,582.0,126.0,305.0,277.0,31.96,2.61,0,0.0,0.0,0,2,0,10.0,40.0,82.5,10.35,0.823,0.001,1096.6,247.2,48.3,3,0.53,0.21,0.533,42.2
521021,Rajpura,Dabhoi,22.034954,73.452827,759.0,165.0,395.0,364.0,38.21,2.59,1,1.0,1.0,1,2,1,17.0,57.0,90.0,10.8,0.936,0.001,1109.2,247.2,44.0,3,0.53,0.21,0.492,50.8
521026,Gumanpura,Dabhoi,22.027967,73.466711,365.0,75.0,178.0,187.0,15.62,1.789,1,1.0,1.0,0,1,0,14.0,40.0,90.0,11.7,0.641,0.001,1075.0,246.4,46.1,3,0.5,0.14,0.508,23.8
521025,Bhumasiya,Dabhoi,22.029212,73.484929,427.0,88.0,225.0,202.0,59.72,3.991,0,0.0,0.0,0,2,0,15.0,45.0,92.5,12.15,0.439,0.001,1087.6,245.6,47.1,3,0.57,0.32,0.528,33.5
521024,Sompura,Dabhoi,22.025399,73.498561,581.0,131.0,299.0,282.0,26.16,2.728,0,0.0,0.0,0,2,0,12.0,42.0,97.5,12.15,0.865,0.0,1076.8,245.6,43.9,3,0.53,0.22,0.492,39.2
521030,Jesangpura,Dabhoi,22.019937,73.480743,102.0,24.0,53.0,49.0,100.0,0.343,0,0.0,0.0,0,2,0,12.0,42.0,92.5,12.15,0.578,0.0,1082.2,246.4,46.0,3,0.44,0.05,0.499,6.0
521027,Sanor,Dabhoi,22.01772,73.454152,1258.0,296.0,654.0,604.0,39.9,1.972,1,0.0,1.0,0,2,1,23.0,58.0,110.0,15.3,1.511,0.001,1098.4,245.6,39.3,3,0.51,0.16,0.443,72.7
521031,Bhalodra,Dabhoi,22.010556,73.493043,657.0,137.0,342.0,315.0,57.69,1.413,1,1.0,0.0,0,2,0,25.0,60.0,97.5,13.05,0.735,0.0,1073.2,244.8,45.1,3,0.49,0.11,0.494,40.5
521028,Mandva,Dabhoi,22.001965,73.434328,2792.0,627.0,1460.0,1332.0,29.12,2.405,1,1.0,0.0,0,3,0,20.0,50.0,95.0,13.05,1.832,0.0,1094.8,245.6,37.4,3,0.52,0.19,0.423,158.1
521033,Gamdi,Dabhoi,21.999967,73.472539,138.0,29.0,74.0,64.0,92.03,0.407,1,1.0,0.0,1,2,0,23.0,43.0,90.0,11.7,0.818,0.001,1084.0,247.2,45.1,3,0.46,0.05,0.49,8.0
521029,Fulwadi,Dabhoi,22.007016,73.452339,593.0,125.0,311.0,282.0,61.55,1.382,0,0.0,0.0,0,3,0,20.0,50.0,102.5,13.5,2.135,0.001,1098.4,245.6,34.9,2,0.49,0.11,0.397,29.4
521034,Chandod,Dabhoi,21.991799,73.460127,3019.0,742.0,1530.0,1489.0,14.87,46.446,1,1.0,1.0,1,3,1,20.0,50.0,92.5,12.15,1.168,0.001,1085.8,247.2,42.5,3,0.85,0.75,0.519,308.5
521219,Nana Karala,Sinor,22.018617,73.417563,1173.0,244.0,599.0,574.0,41.77,2.168,1,0.0,1.0,2,1,1,14.0,50.0,107.5,14.4,3.755,0.05,1096.6,246.4,23.6,2,0.52,0.17,0.288,44.5
521234,Satisana,Sinor,22.001769,73.406543,937.0,208.0,470.0,467.0,49.63,1.396,0,0.0,0.0,2,3,0,16.0,52.0,105.0,14.4,2.629,0.0,1098.4,245.6,31.7,2,0.49,0.11,0.362,42.4
521032,Baglipura,Dabhoi,22.003732,73.504446,422.0,82.0,221.0,201.0,6.16,4.637,0,0.0,0.0,0,2,1,20.0,53.0,97.5,12.6,1.686,0.0,1078.6,245.6,37.9,3,0.59,0.37,0.443,28.8
520985,Bhimpura Kukad,Dabhoi,22.139255,73.508042,1347.0,319.0,711.0,636.0,54.86,2.026,0,0.0,0.0,0,2,0,10.0,40.0,87.5,11.25,0.469,0.001,1089.4,247.2,48.8,3,0.51,0.16,0.532,93.5
520984,Karnet,Dabhoi,22.114336,73.484308,2044.0,415.0,1029.0,1015.0,74.02,2.668,0,0.0,0.0,0,1,1,8.0,40.0,87.5,11.25,0.694,0.001,1093.0,248.0,46.9,3,0.53,0.21,0.52,144.7
520983,Boriyad,Dabhoi,22.120655,73.460479,1024.0,226.0,525.0,499.0,70.7,3.151,1,0.0,1.0,2,2,0,3.0,30.0,95.0,12.15,2.601,0.001,1100.2,245.6,31.7,2,0.54,0.25,0.372,53.6
520988,Dharmpuri,Dabhoi,22.10525,73.445468,1732.0,390.0,876.0,856.0,57.45,1.912,1,1.0,1.0,2,3,0,4.0,35.0,92.5,12.15,0.812,0.0,1116.4,244.8,44.5,3,0.51,0.15,0.492,110.2
520986,Juni Mangrol,Dabhoi,22.104319,73.475881,475.0,102.0,249.0,226.0,23.79,2.14,1,1.0,0.0,0,2,0,7.0,38.0,90.0,12.15,0.574,0.001,1093.0,247.2,46.5,3,0.51,0.17,0.514,32.1
251213,Dabhoi,Dabhoi,22.132821,73.43051,51240.0,10259.0,0.0,0.0,,,0,0.0,0.0,0,0,0,0.0,,92.5,12.15,2.806,0.0,1103.8,246.4,30.4,2,0.51,0.16,0.353,2360.4
521017,Kayavarohan,Dabhoi,22.075851,73.250283,8409.0,1899.0,4370.0,4039.0,34.37,2.502,1,0.0,1.0,1,3,1,18.0,30.0,95.0,12.6,1.087,0.001,1100.2,248.0,43.1,3,0.52,0.2,0.476,540.4
520995,Puniyad,Dabhoi,22.100616,73.213227,1544.0,322.0,806.0,738.0,34.72,2.792,1,1.0,1.0,2,2,1,13.0,22.0,97.5,13.05,0.73,0.001,1112.8,248.0,45.5,3,0.53,0.22,0.502,106.4
520992,Kothara,Dabhoi,22.101065,73.306994,824.0,185.0,427.0,397.0,60.44,1.93,0,0.0,0.0,0,2,0,15.0,32.0,92.5,11.7,0.783,0.001,1080.4,245.6,44.6,3,0.51,0.15,0.494,52.7
520990,Sathod,Dabhoi,22.088947,73.380113,3682.0,788.0,1898.0,1784.0,46.44,2.039,1,0.0,1.0,0,3,1,5.0,35.0,92.5,12.15,0.545,0.001,1089.4,245.6,45.6,3,0.51,0.16,0.511,245.5
520997,Sultanpura,Dabhoi,22.081722,73.275647,559.0,111.0,288.0,271.0,48.48,2.254,0,0.0,0.0,0,2,0,18.0,21.0,95.0,12.6,0.556,0.001,1087.6,248.0,46.1,3,0.52,0.18,0.513,38.1
520996,Fofaliya,Dabhoi,22.077858,73.207523,985.0,199.0,516.0,469.0,37.56,2.165,1,0.0,1.0,2,1,0,13.0,22.0,97.5,13.05,1.785,0.001,1125.4,248.8,38.4,3,0.51,0.17,0.426,55.2
521015,Pisai,Dabhoi,22.065104,73.353468,1396.0,326.0,710.0,686.0,44.48,2.053,0,0.0,0.0,1,2,0,12.0,44.0,97.5,12.6,1.804,0.0,1102.0,245.6,37.4,3,0.51,0.16,0.423,77.1
521014,Shirola,Dabhoi,22.056849,73.383541,1599.0,356.0,845.0,754.0,23.7,2.596,1,1.0,0.0,2,3,0,9.0,42.0,100.0,13.5,0.738,0.0,1118.2,244.8,45.2,3,0.53,0.21,0.5,108.8
521016,Karmal,Dabhoi,22.058746,73.302368,1401.0,333.0,745.0,656.0,47.39,3.052,1,0.0,1.0,2,2,1,14.0,40.0,92.5,12.15,1.473,0.0,1111.0,245.6,39.6,3,0.54,0.24,0.451,88.1
521018,Lingsthali,Dabhoi,22.042229,73.252039,1935.0,447.0,1036.0,899.0,43.93,2.245,1,1.0,1.0,1,1,1,26.0,36.0,102.5,13.95,0.944,0.0,1107.4,248.0,44.5,3,0.52,0.18,0.486,124.8
521019,Bananj,Dabhoi,22.024348,73.233382,835.0,197.0,438.0,397.0,62.87,1.998,1,1.0,1.0,0,2,0,14.0,34.0,97.5,13.05,2.609,0.0,1100.2,248.0,32.5,2,0.51,0.16,0.368,40.1
521143,Dhanora,Karjan,22.081782,73.187754,741.0,162.0,365.0,376.0,29.28,2.301,1,1.0,0.0,1,2,0,8.0,34.0,95.0,12.6,1.787,0.001,1116.4,246.4,37.9,3,0.52,0.18,0.426,41.9
521144,Gandhara,Karjan,22.053571,73.215055,1828.0,413.0,953.0,875.0,33.04,2.344,1,1.0,1.0,1,3,0,9.0,35.0,100.0,13.95,2.43,0.0,1103.8,248.8,33.5,2,0.52,0.19,0.382,93.5
521145,Ganpatpura,Karjan,22.055872,73.196843,1466.0,304.0,778.0,688.0,50.82,1.837,0,0.0,0.0,1,3,1,7.0,30.0,102.5,13.95,1.483,0.0,1111.0,248.8,40.3,3,0.51,0.15,0.447,84.8
521156,Dhavat,Karjan,22.033506,73.18218,2340.0,539.0,1232.0,1108.0,47.44,1.84,1,1.0,0.0,1,3,0,6.0,40.0,100.0,13.5,1.587,0.001,1109.2,248.0,39.4,3,0.51,0.15,0.439,132.9
521157,Kurali,Karjan,22.024655,73.212051,1924.0,459.0,1005.0,919.0,59.56,3.255,1,1.0,1.0,1,3,1,10.0,40.0,102.5,13.95,3.849,0.05,1121.8,248.8,23.5,2,0.55,0.26,0.287,78.3
521158,Vemar,Karjan,22.001203,73.236051,2655.0,570.0,1348.0,1307.0,52.32,2.541,1,1.0,1.0,1,3,1,11.0,42.0,92.5,12.15,0.825,0.001,1093.0,249.6,44.6,3,0.53,0.2,0.496,177.8
521160,Kasampur,Karjan,22.010784,73.197272,601.0,143.0,319.0,282.0,56.41,1.247,1,1.0,0.0,1,1,0,12.0,40.0,102.5,14.4,2.555,0.001,1118.2,247.2,32.4,2,0.49,0.1,0.368,27.4
521159,Kothav,Karjan,22.000365,73.216065,998.0,198.0,518.0,480.0,33.07,1.976,0,0.0,0.0,1,2,0,10.0,39.0,107.5,14.85,1.8,0.001,1107.4,247.2,38.2,3,0.51,0.16,0.424,55.2
521172,Nishaliya,Karjan,21.994476,73.203651,533.0,114.0,278.0,255.0,51.59,1.89,1,0.0,1.0,1,2,0,12.0,41.0,105.0,14.4,1.945,0.001,1105.6,247.2,36.9,3,0.51,0.15,0.414,28.5
521171,Choranda,Karjan,21.988212,73.178437,3674.0,731.0,1901.0,1773.0,23.84,3.016,1,1.0,0.0,1,1,1,10.0,35.0,100.0,13.5,2.626,0.001,1103.8,248.8,31.9,2,0.54,0.24,0.371,190.1
521217,Sandha,Sinor,22.051567,73.333742,714.0,165.0,395.0,319.0,41.88,2.462,0,0.0,0.0,2,1,0,12.0,45.0,97.5,13.05,2.664,0.0,1094.8,246.4,31.4,2,0.52,0.2,0.365,35.2
521218,Damnagar,Sinor,22.048448,73.35436,587.0,134.0,311.0,276.0,42.25,1.784,1,0.0,1.0,0,2,0,12.0,44.0,90.0,11.7,3.085,0.05,1093.0,245.6,28.3,2,0.5,0.14,0.336,25.3
521216,Garadi,Sinor,22.046886,73.313492,1223.0,242.0,642.0,581.0,12.76,3.227,0,0.0,0.0,2,2,0,10.0,45.0,97.5,13.05,2.705,0.0,1109.2,245.6,30.9,2,0.55,0.26,0.366,63.4
521215,Nana Habipura,Sinor,22.045817,73.288605,771.0,171.0,399.0,372.0,43.06,2.394,1,0.0,1.0,2,2,0,20.0,40.0,92.5,12.15,2.197,0.0,1103.8,248.8,34.9,2,0.52,0.19,0.398,41.1
521225,Achisara,Sinor,22.032329,73.319689,937.0,212.0,466.0,471.0,45.57,1.28,1,0.0,1.0,2,2,0,20.0,5.0,100.0,13.5,2.405,0.0,1111.0,246.4,33.1,2,0.49,0.1,0.378,43.8
521222,Puniyad,Sinor,22.034808,73.362022,1426.0,343.0,731.0,695.0,45.65,2.088,1,0.0,1.0,2,1,0,13.0,45.0,92.5,12.15,1.594,0.0,1103.8,247.2,39.3,3,0.51,0.17,0.438,82.2
521221,Anandi,Sinor,22.027457,73.377876,1470.0,332.0,744.0,726.0,42.86,1.939,1,0.0,1.0,2,2,1,12.0,44.0,97.5,13.5,2.147,0.0,1096.6,245.6,35.2,2,0.51,0.16,0.399,76.5
