village_code,village_name,subdistrict,latitude,longitude,pct_forest,pct_barren_uncultivable,pct_pastures,elevation_m_EXTERNAL_TOFILL,slope_deg_EXTERNAL_TOFILL,aspect_deg_EXTERNAL_TOFILL,geology_lithology_EXTERNAL_TOFILL,soil_type_EXTERNAL_TOFILL,lineament_density_EXTERNAL_TOFILL,geomorphology_class_EXTERNAL_TOFILL,rainfall_annual_mm_EXTERNAL_TOFILL,drainage_density_km_per_km2_EXTERNAL_TOFILL,historical_landslide_present_EXTERNAL_TOFILL,landslide_susceptibility_score_TARGET
519890,Meghakui,Vadodara Rural,22.138633,73.278804,0.0,8.16,0.0,100.0,13.5,156.0,Deccan Trap Basalt,Alluvial Loamy Soil,1.18,Alluvial Plain / Valley Fill,1080.4,0.05,0,0.625
519858,Talsat,Vadodara Rural,22.238004,73.1711,0.0,0.44,4.8,105.0,14.4,166.4,Deccan Trap Basalt,Alluvial Loamy Soil,1.25,Alluvial Plain / Valley Fill,1107.4,0.001,0,0.649
519835,Sisva,Vadodara Rural,22.397016,73.178636,0.0,4.07,1.63,95.0,12.6,145.6,Deccan Trap Basalt,Alluvial Loamy Soil,1.11,Alluvial Plain / Valley Fill,1089.4,0.0,0,0.606
519884,Vadsala,Vadodara Rural,22.157934,73.174287,0.0,0.0,14.54,97.5,13.05,150.8,Deccan Trap Basalt,Alluvial Loamy Soil,1.14,Alluvial Plain / Valley Fill,1085.8,0.001,0,0.615
519876,Hansajipura,Vadodara Rural,22.205196,73.260987,0.0,0.8,4.82,102.5,13.95,161.2,Deccan Trap Basalt,Alluvial Loamy Soil,1.22,Alluvial Plain / Valley Fill,1082.2,0.001,0,0.636
519861,Chikhodara,Vadodara Rural,22.233156,73.236326,0.0,0.0,4.91,92.5,12.15,140.4,Deccan Trap Basalt,Alluvial Loamy Soil,1.07,Alluvial Plain / Valley Fill,1105.6,0.001,0,0.597
802597,Por Ramangamdi INA,Vadodara Rural,22.142991,73.180844,,,,92.5,12.15,140.4,Deccan Trap Basalt,Alluvial Loamy Soil,1.07,Alluvial Plain / Valley Fill,1100.2,0.001,0,0.596
519915,Sama OG,Vadodara Rural,22.347302,73.207008,,,,90.0,11.7,135.2,Quaternary Alluvium,Alluvial Loamy Soil,1.04,Alluvial Plain / Valley Fill,1102.0,0.001,0,0.587
521151,Dhamanja,Karjan,21.998056,73.080688,0.0,4.48,5.16,90.0,11.7,135.2,Quaternary Alluvium,Deep Black Cotton Soil,1.04,Alluvial Plain / Valley Fill,1084.0,0.001,0,0.584
521152,Lakodara,Karjan,21.995859,73.111902,0.0,2.68,4.97,90.0,12.15,140.4,Deccan Trap Basalt,Deep Black Cotton Soil,1.07,Alluvial Plain / Valley Fill,1091.2,0.001,0,0.595
521162,Osalam,Karjan,21.991137,73.145019,0.0,3.92,4.65,102.5,14.4,166.4,Deccan Trap Basalt,Deep Black Cotton Soil,1.25,Alluvial Plain / Valley Fill,1112.8,0.001,0,0.65
521112,Kotna,Padra,22.0948,72.981493,0.4,5.35,5.21,95.0,12.6,145.6,Deccan Trap Basalt,Alluvial Loamy Soil,1.11,Alluvial Plain / Valley Fill,1098.4,0.0,0,0.606
521116,Kothwada,Padra,22.110103,73.07992,0.0,4.68,0.0,100.0,13.05,150.8,Deccan Trap Basalt,Alluvial Loamy Soil,1.14,Alluvial Plain / Valley Fill,1105.6,0.001,0,0.618
521113,Shahera,Padra,22.100724,73.017333,0.32,4.84,7.1,92.5,12.15,140.4,Deccan Trap Basalt,Alluvial Loamy Soil,1.07,Alluvial Plain / Valley Fill,1080.4,0.001,0,0.593
521117,Vasnaref,Padra,22.08068,72.97523,0.0,3.23,5.07,90.0,11.7,135.2,Quaternary Alluvium,Alluvial Loamy Soil,1.04,Alluvial Plain / Valley Fill,1093.0,0.001,0,0.586
521119,Sokhdaraghu,Padra,22.064954,72.97663,0.0,0.57,5.11,97.5,13.5,156.0,Deccan Trap Basalt,Alluvial Loamy Soil,1.18,Alluvial Plain / Valley Fill,1087.6,0.001,0,0.626
519899,Kashipura,Vadodara Rural,22.116365,73.166323,0.0,0.84,1.47,95.0,12.6,145.6,Deccan Trap Basalt,Alluvial Loamy Soil,1.11,Alluvial Plain / Valley Fill,1089.4,0.001,0,0.606
519898,Sarar,Vadodara Rural,22.104863,73.149804,0.0,1.08,0.0,95.0,12.6,145.6,Deccan Trap Basalt,Alluvial Loamy Soil,1.11,Alluvial Plain / Valley Fill,1100.2,0.001,0,0.607
251215,Karjan,Karjan,22.053736,73.127378,,,,25.0,0.2,0.0,Quaternary Alluvium,Deep Black Cotton Soil,0.12,Alluvial Plain / Valley Fill,850.0,0.0,0,0.286
520999,Mandala,Dabhoi,22.082633,73.328643,7.03,1.6,3.78,90.0,11.7,135.2,Quaternary Alluvium,Deep Black Cotton Soil,1.04,Alluvial Plain / Valley Fill,1084.0,0.001,0,0.574
520998,Parikha,Dabhoi,22.082741,73.291885,0.0,8.87,3.01,90.0,0.2,0.0,Quaternary Alluvium,Deep Black Cotton Soil,0.12,Alluvial Plain / Valley Fill,850.0,0.001,0,0.286
520973,Nada,Dabhoi,22.131256,73.375066,7.94,1.82,5.84,90.0,11.7,135.2,Quaternary Alluvium,Deep Black Cotton Soil,1.04,Alluvial Plain / Valley Fill,1091.2,0.05,0,0.573
520979,Sejpura,Dabhoi,22.122262,73.298782,2.59,4.31,6.03,92.5,13.5,156.0,Deccan Trap Basalt,Deep Black Cotton Soil,1.18,Alluvial Plain / Valley Fill,1080.4,0.0,0,0.621
520982,Tharvasa,Dabhoi,22.112532,73.392616,0.0,0.0,5.59,92.5,11.7,135.2,Quaternary Alluvium,Deep Black Cotton Soil,1.04,Alluvial Plain / Valley Fill,1096.6,0.0,0,0.586
520981,Baripura,Dabhoi,22.112979,73.33336,0.0,3.87,0.0,95.0,12.6,145.6,Deccan Trap Basalt,Deep Black Cotton Soil,1.11,Alluvial Plain / Valley Fill,1087.6,0.001,0,0.605
520980,Vakhatpura,Dabhoi,22.115875,73.315005,0.0,0.0,0.0,87.5,11.25,130.0,Quaternary Alluvium,Deep Black Cotton Soil,1.0,Alluvial Plain / Valley Fill,1098.4,0.001,0,0.576
520991,Habipura,Dabhoi,22.106409,73.353946,0.0,8.69,3.07,100.0,11.7,135.2,Quaternary Alluvium,Deep Black Cotton Soil,1.04,Alluvial Plain / Valley Fill,1084.0,0.0,0,0.584
520978,Chhatral,Dabhoi,22.109304,73.290473,0.0,2.19,12.77,92.5,12.15,140.4,Deccan Trap Basalt,Deep Black Cotton Soil,1.07,Alluvial Plain / Valley Fill,1073.2,0.0,0,0.593
520977,Khanpur,Dabhoi,22.11699,73.276368,0.0,19.01,4.93,97.5,13.05,150.8,Deccan Trap Basalt,Deep Black Cotton Soil,1.14,Alluvial Plain / Valley Fill,1082.2,0.0,0,0.614
520994,Menpura,Dabhoi,22.106381,73.232355,0.0,0.0,0.0,100.0,13.5,156.0,Deccan Trap Basalt,Deep Black Cotton Soil,1.18,Alluvial Plain / Valley Fill,1116.4,0.001,0,0.63
520993,Kunvarpura,Dabhoi,22.102555,73.268697,0.0,2.77,0.0,92.5,12.6,145.6,Deccan Trap Basalt,Deep Black Cotton Soil,1.11,Alluvial Plain / Valley Fill,1091.2,0.001,0,0.606
521128,Bamangam,Karjan,22.103873,73.192831,0.0,3.98,0.0,92.5,12.15,140.4,Deccan Trap Basalt,Deep Black Cotton Soil,1.07,Alluvial Plain / Valley Fill,1114.6,0.0,0,0.598
519905,Samsabad,Vadodara Rural,22.120986,73.265597,0.0,2.32,2.14,97.5,13.05,150.8,Deccan Trap Basalt,Alluvial Loamy Soil,1.14,Alluvial Plain / Valley Fill,1085.8,0.0,0,0.615
520987,Navi Mangrol,Dabhoi,22.095945,73.471121,0.0,0.0,7.63,85.0,10.8,124.8,Quaternary Alluvium,Deep Black Cotton Soil,0.96,Alluvial Plain / Valley Fill,1084.0,0.001,0,0.563
521020,Manpur,Dabhoi,22.05,73.448552,0.0,11.83,11.83,87.5,11.25,130.0,Quaternary Alluvium,Deep Black Cotton Soil,1.0,Alluvial Plain / Valley Fill,1112.8,0.0,0,0.578
521023,Akoti,Dabhoi,22.041523,73.490974,5.79,8.18,5.19,97.5,13.05,150.8,Deccan Trap Basalt,Deep Black Cotton Soil,1.14,Alluvial Plain / Valley Fill,1084.0,0.002,0,0.606
521001,Sitpur,Dabhoi,22.08057,73.471272,0.0,0.0,25.56,90.0,11.7,135.2,Quaternary Alluvium,Deep Black Cotton Soil,1.04,Alluvial Plain / Valley Fill,1103.8,0.001,0,0.587
520989,Gamdi Kanayada,Dabhoi,22.095686,73.413239,0.0,9.95,0.69,92.5,12.15,140.4,Deccan Trap Basalt,Deep Black Cotton Soil,1.07,Alluvial Plain / Valley Fill,1098.4,0.001,0,0.596
521003,Dharmapura,Dabhoi,22.085604,73.534557,2.17,2.9,7.97,90.0,11.7,135.2,Quaternary Alluvium,Deep Black Cotton Soil,1.04,Alluvial Plain / Valley Fill,1087.6,0.001,0,0.582
521012,Vadaj,Dabhoi,22.075049,73.438367,0.0,10.97,1.15,97.5,13.05,150.8,Deccan Trap Basalt,Deep Black Cotton Soil,1.14,Alluvial Plain / Valley Fill,1102.0,0.0,0,0.617
521002,Bhilodiya,Dabhoi,22.079777,73.507412,0.0,13.62,0.0,92.5,12.15,140.4,Deccan Trap Basalt,Deep Black Cotton Soil,1.07,Alluvial Plain / Valley Fill,1096.6,0.003,0,0.596
521000,Kanayada,Dabhoi,22.076657,73.405223,0.0,2.92,5.57,100.0,13.5,156.0,Deccan Trap Basalt,Deep Black Cotton Soil,1.18,Alluvial Plain / Valley Fill,1111.0,0.001,0,0.629
521010,Chanwada,Dabhoi,22.064168,73.468113,0.0,0.0,21.28,92.5,11.7,135.2,Quaternary Alluvium,Deep Black Cotton Soil,1.04,Alluvial Plain / Valley Fill,1100.2,0.001,0,0.587
521004,Para,Dabhoi,22.072918,73.531128,0.56,2.26,6.21,90.0,11.7,135.2,Quaternary Alluvium,Deep Black Cotton Soil,1.04,Alluvial Plain / Valley Fill,1091.2,0.002,0,0.585
521006,Asgol,Dabhoi,22.064052,73.533433,0.0,4.69,5.16,90.0,10.8,124.8,Quaternary Alluvium,Deep Black Cotton Soil,0.96,Alluvial Plain / Valley Fill,1085.8,0.002,0,0.563
521007,Araniya,Dabhoi,22.058945,73.527337,1.42,4.72,6.13,87.5,11.25,130.0,Quaternary Alluvium,Deep Black Cotton Soil,1.0,Alluvial Plain / Valley Fill,1084.0,0.002,0,0.571
521013,Ten Talav,Dabhoi,22.049604,73.413979,2.28,6.99,8.49,105.0,14.85,171.6,Deccan Trap Basalt,Deep Black Cotton Soil,1.29,Alluvial Plain / Valley Fill,1109.2,0.0,0,0.657
521009,Asodara,Dabhoi,22.048387,73.5033,0.0,19.1,0.3,90.0,11.7,135.2,Quaternary Alluvium,Deep Black Cotton Soil,1.04,Alluvial Plain / Valley Fill,1084.0,0.003,0,0.584
521008,Nagdol,Dabhoi,22.053618,73.516519,0.0,11.03,1.78,87.5,11.25,130.0,Quaternary Alluvium,Deep Black Cotton Soil,1.0,Alluvial Plain / Valley Fill,1085.8,0.002,0,0.574
521011,Ordi,Dabhoi,22.050937,73.459476,0.0,15.91,3.79,85.0,10.8,124.8,Quaternary Alluvium,Deep Black Cotton Soil,0.96,Alluvial Plain / Valley Fill,1091.2,0.001,0,0.564
521022,Paragam,Dabhoi,22.040225,73.47484,0.0,0.0,4.48,82.5,10.35,119.6,Quaternary Alluvium,Deep Black Cotton Soil,0.93,Alluvial Plain / Valley Fill,1096.6,0.001,0,0.555
521021,Rajpura,Dabhoi,22.034954,73.452827,0.0,10.54,3.4,90.0,10.8,124.8,Quaternary Alluvium,Deep Black Cotton Soil,0.96,Alluvial Plain / Valley Fill,1109.2,0.001,0,0.566
521026,Gumanpura,Dabhoi,22.027967,73.466711,0.0,22.55,6.86,90.0,11.7,135.2,Quaternary Alluvium,Deep Black Cotton Soil,1.04,Alluvial Plain / Valley Fill,1075.0,0.001,0,0.583
521025,Bhumasiya,Dabhoi,22.029212,73.484929,0.0,0.0,88.79,92.5,12.15,140.4,Deccan Trap Basalt,Deep Black Cotton Soil,1.07,Alluvial Plain / Valley Fill,1087.6,0.001,0,0.595
521024,Sompura,Dabhoi,22.025399,73.498561,2.35,2.82,3.29,97.5,12.15,140.4,Deccan Trap Basalt,Deep Black Cotton Soil,1.07,Alluvial Plain / Valley Fill,1076.8,0.0,0,0.59
521030,Jesangpura,Dabhoi,22.019937,73.480743,11.78,0.0,46.46,92.5,12.15,140.4,Deccan Trap Basalt,Deep Black Cotton Soil,1.07,Alluvial Plain / Valley Fill,1082.2,0.0,0,0.576
521027,Sanor,Dabhoi,22.01772,73.454152,0.0,12.09,0.78,110.0,15.3,176.8,Deccan Trap Basalt,Deep Black Cotton Soil,1.32,Structural/Denudational Hill,1098.4,0.001,0,0.668
521031,Bhalodra,Dabhoi,22.010556,73.493043,0.0,28.39,0.0,97.5,13.05,150.8,Deccan Trap Basalt,Deep Black Cotton Soil,1.14,Alluvial Plain / Valley Fill,1073.2,0.0,0,0.613
521028,Mandva,Dabhoi,22.001965,73.434328,0.0,0.0,0.0,95.0,13.05,150.8,Deccan Trap Basalt,Deep Black Cotton Soil,1.14,Alluvial Plain / Valley Fill,1094.8,0.0,0,0.616
521033,Gamdi,Dabhoi,21.999967,73.472539,0.0,0.0,18.34,90.0,11.7,135.2,Quaternary Alluvium,Deep Black Cotton Soil,1.04,Alluvial Plain / Valley Fill,1084.0,0.001,0,0.584
521029,Fulwadi,Dabhoi,22.007016,73.452339,0.0,24.53,21.03,102.5,13.5,156.0,Deccan Trap Basalt,Deep Black Cotton Soil,1.18,Alluvial Plain / Valley Fill,1098.4,0.001,0,0.627
521034,Chandod,Dabhoi,21.991799,73.460127,0.0,69.23,0.0,92.5,12.15,140.4,Deccan Trap Basalt,Deep Black Cotton Soil,1.07,Alluvial Plain / Valley Fill,1085.8,0.001,0,0.594
521219,Nana Karala,Sinor,22.018617,73.417563,0.0,1.48,1.85,107.5,14.4,166.4,Deccan Trap Basalt,Deep Black Cotton Soil,1.25,Alluvial Plain / Valley Fill,1096.6,0.05,0,0.648
521234,Satisana,Sinor,22.001769,73.406543,0.0,1.94,7.6,105.0,14.4,166.4,Deccan Trap Basalt,Deep Black Cotton Soil,1.25,Alluvial Plain / Valley Fill,1098.4,0.0,0,0.648
521032,Baglipura,Dabhoi,22.003732,73.504446,0.0,4.44,6.67,97.5,12.6,145.6,Deccan Trap Basalt,Deep Black Cotton Soil,1.11,Alluvial Plain / Valley Fill,1078.6,0.0,0,0.604
520985,Bhimpura Kukad,Dabhoi,22.139255,73.508042,0.0,15.34,5.86,87.5,11.25,130.0,Quaternary Alluvium,Deep Black Cotton Soil,1.0,Alluvial Plain / Valley Fill,1089.4,0.001,0,0.574
520984,Karnet,Dabhoi,22.114336,73.484308,0.65,7.04,5.22,87.5,11.25,130.0,Quaternary Alluvium,Deep Black Cotton Soil,1.0,Alluvial Plain / Valley Fill,1093.0,0.001,0,0.574
520983,Boriyad,Dabhoi,22.120655,73.460479,1.23,9.2,3.68,95.0,12.15,140.4,Deccan Trap Basalt,Deep Black Cotton Soil,1.07,Alluvial Plain / Valley Fill,1100.2,0.001,0,0.595
520988,Dharmpuri,Dabhoi,22.10525,73.445468,0.0,1.77,4.64,92.5,12.15,140.4,Deccan Trap Basalt,Deep Black Cotton Soil,1.07,Alluvial Plain / Valley Fill,1116.4,0.0,0,0.599
520986,Juni Mangrol,Dabhoi,22.104319,73.475881,0.0,4.5,0.9,90.0,12.15,140.4,Deccan Trap Basalt,Deep Black Cotton Soil,1.07,Alluvial Plain / Valley Fill,1093.0,0.001,0,0.595
251213,Dabhoi,Dabhoi,22.132821,73.43051,,,,92.5,12.15,140.4,Deccan Trap Basalt,Deep Black Cotton Soil,1.07,Alluvial Plain / Valley Fill,1103.8,0.0,0,0.597
521017,Kayavarohan,Dabhoi,22.075851,73.250283,1.67,2.98,3.9,95.0,12.6,145.6,Deccan Trap Basalt,Deep Black Cotton Soil,1.11,Alluvial Plain / Valley Fill,1100.2,0.001,0,0.605
520995,Puniyad,Dabhoi,22.100616,73.213227,2.89,1.99,4.88,97.5,13.05,150.8,Deccan Trap Basalt,Deep Black Cotton Soil,1.14,Alluvial Plain / Valley Fill,1112.8,0.001,0,0.614
520992,Kothara,Dabhoi,22.101065,73.306994,0.0,5.85,4.68,92.5,11.7,135.2,Quaternary Alluvium,Deep Black Cotton Soil,1.04,Alluvial Plain / Valley Fill,1080.4,0.001,0,0.584
520990,Sathod,Dabhoi,22.088947,73.380113,0.72,2.71,0.0,92.5,12.15,140.4,Deccan Trap Basalt,Deep Black Cotton Soil,1.07,Alluvial Plain / Valley Fill,1089.4,0.001,0,0.594
520997,Sultanpura,Dabhoi,22.081722,73.275647,0.0,12.1,4.03,95.0,12.6,145.6,Deccan Trap Basalt,Deep Black Cotton Soil,1.11,Alluvial Plain / Valley Fill,1087.6,0.001,0,0.605
520996,Fofaliya,Dabhoi,22.077858,73.207523,0.0,6.61,4.41,97.5,13.05,150.8,Deccan Trap Basalt,Deep Black Cotton Soil,1.14,Alluvial Plain / Valley Fill,1125.4,0.001,0,0.621
521015,Pisai,Dabhoi,22.065104,73.353468,0.0,7.49,5.29,97.5,12.6,145.6,Deccan Trap Basalt,Deep Black Cotton Soil,1.11,Alluvial Plain / Valley Fill,1102.0,0.0,0,0.607
521014,Shirola,Dabhoi,22.056849,73.383541,0.0,0.0,12.66,100.0,13.5,156.0,Deccan Trap Basalt,Deep Black Cotton Soil,1.18,Alluvial Plain / Valley Fill,1118.2,0.0,0,0.63
521016,Karmal,Dabhoi,22.058746,73.302368,0.0,7.19,5.23,92.5,12.15,140.4,Deccan Trap Basalt,Deep Black Cotton Soil,1.07,Alluvial Plain / Valley Fill,1111.0,0.0,0,0.598
521018,Lingsthali,Dabhoi,22.042229,73.252039,0.0,7.19,3.25,102.5,13.95,161.2,Deccan Trap Basalt,Deep Black Cotton Soil,1.22,Alluvial Plain / Valley Fill,1107.4,0.0,0,0.639
521019,Bananj,Dabhoi,22.024348,73.233382,0.0,2.63,14.32,97.5,13.05,150.8,Deccan Trap Basalt,Deep Black Cotton Soil,1.14,Alluvial Plain / Valley Fill,1100.2,0.0,0,0.617
521143,Dhanora,Karjan,22.081782,73.187754,0.0,0.61,4.55,95.0,12.6,145.6,Deccan Trap Basalt,Deep Black Cotton Soil,1.11,Alluvial Plain / Valley Fill,1116.4,0.001,0,0.609
521144,Gandhara,Karjan,22.053571,73.215055,0.0,8.97,4.1,100.0,13.95,161.2,Deccan Trap Basalt,Deep Black Cotton Soil,1.22,Alluvial Plain / Valley Fill,1103.8,0.0,0,0.639
521145,Ganpatpura,Karjan,22.055872,73.196843,0.0,4.01,3.76,102.5,13.95,161.2,Deccan Trap Basalt,Deep Black Cotton Soil,1.22,Alluvial Plain / Valley Fill,1111.0,0.0,0,0.64
521156,Dhavat,Karjan,22.033506,73.18218,0.0,0.94,4.01,100.0,13.5,156.0,Deccan Trap Basalt,Deep Black Cotton Soil,1.18,Alluvial Plain / Valley Fill,1109.2,0.001,0,0.629
521157,Kurali,Karjan,22.024655,73.212051,0.0,0.34,4.74,102.5,13.95,161.2,Deccan Trap Basalt,Deep Black Cotton Soil,1.22,Alluvial Plain / Valley Fill,1121.8,0.05,0,0.642
521158,Vemar,Karjan,22.001203,73.236051,0.0,2.3,4.5,92.5,12.15,140.4,Deccan Trap Basalt,Deep Black Cotton Soil,1.07,Alluvial Plain / Valley Fill,1093.0,0.001,0,0.595
521160,Kasampur,Karjan,22.010784,73.197272,0.0,0.0,4.98,102.5,14.4,166.4,Deccan Trap Basalt,Deep Black Cotton Soil,1.25,Alluvial Plain / Valley Fill,1118.2,0.001,0,0.651
521159,Kothav,Karjan,22.000365,73.216065,0.0,6.92,4.15,107.5,14.85,171.6,Deccan Trap Basalt,Deep Black Cotton Soil,1.29,Alluvial Plain / Valley Fill,1107.4,0.001,0,0.66
521172,Nishaliya,Karjan,21.994476,73.203651,0.0,14.89,4.96,105.0,14.4,166.4,Deccan Trap Basalt,Deep Black Cotton Soil,1.25,Alluvial Plain / Valley Fill,1105.6,0.001,0,0.649
521171,Choranda,Karjan,21.988212,73.178437,0.0,1.2,4.96,100.0,13.5,156.0,Deccan Trap Basalt,Deep Black Cotton Soil,1.18,Alluvial Plain / Valley Fill,1103.8,0.001,0,0.628
521217,Sandha,Sinor,22.051567,73.333742,0.0,0.34,5.17,97.5,13.05,150.8,Deccan Trap Basalt,Deep Black Cotton Soil,1.14,Alluvial Plain / Valley Fill,1094.8,0.0,0,0.616
521218,Damnagar,Sinor,22.048448,73.35436,0.0,0.0,4.88,90.0,11.7,135.2,Quaternary Alluvium,Deep Black Cotton Soil,1.04,Alluvial Plain / Valley Fill,1093.0,0.05,0,0.586
521216,Garadi,Sinor,22.046886,73.313492,0.0,0.79,5.79,97.5,13.05,150.8,Deccan Trap Basalt,Deep Black Cotton Soil,1.14,Alluvial Plain / Valley Fill,1109.2,0.0,0,0.618
521215,Nana Habipura,Sinor,22.045817,73.288605,0.0,1.66,7.62,92.5,12.15,140.4,Deccan Trap Basalt,Deep Black Cotton Soil,1.07,Alluvial Plain / Valley Fill,1103.8,0.0,0,0.597
521225,Achisara,Sinor,22.032329,73.319689,0.0,8.06,3.69,100.0,13.5,156.0,Deccan Trap Basalt,Deep Black Cotton Soil,1.18,Alluvial Plain / Valley Fill,1111.0,0.0,0,0.629
521222,Puniyad,Sinor,22.034808,73.362022,0.0,2.2,4.69,92.5,12.15,140.4,Deccan Trap Basalt,Deep Black Cotton Soil,1.07,Alluvial Plain / Valley Fill,1103.8,0.0,0,0.597
521221,Anandi,Sinor,22.027457,73.377876,0.0,14.78,3.17,97.5,13.5,156.0,Deccan Trap Basalt,Deep Black Cotton Soil,1.18,Alluvial Plain / Valley Fill,1096.6,0.0,0,0.627
521223,Bhekhada,Sinor,22.034538,73.340775,0.0,0.0,6.0,105.0,14.4,166.4,Deccan Trap Basalt,Deep Black Cotton Soil,1.25,Alluvial Plain / Valley Fill,1100.2,0.0,0,0.648
521214,Timbarva,Sinor,22.02638,73.271644,0.0,0.71,4.38,102.5,13.5,156.0,Deccan Trap Basalt,Deep Black Cotton Soil,1.18,Alluvial Plain / Valley Fill,1107.4,0.05,0,0.629
521224,Chhanbhoi,Sinor,22.018022,73.343451,0.0,3.82,5.15,92.5,12.15,140.4,Deccan Trap Basalt,Deep Black Cotton Soil,1.07,Alluvial Plain / Valley Fill,1112.8,0.0,0,0.598
521231,Avakhal,Sinor,22.0029,73.3245,0.0,2.31,4.02,92.5,12.15,140.4,Deccan Trap Basalt,Deep Black Cotton Soil,1.07,Alluvial Plain / Valley Fill,1109.2,0.001,0,0.598
521232,Malpur,Sinor,22.006701,73.353646,0.0,1.74,2.6,102.5,13.95,161.2,Deccan Trap Basalt,Deep Black Cotton Soil,1.22,Alluvial Plain / Valley Fill,1116.4,0.0,0,0.641
521226,Tarva,Sinor,22.00933,73.267989,0.0,0.57,4.79,102.5,13.95,161.2,Deccan Trap Basalt,Deep Black Cotton Soil,1.22,Alluvial Plain / Valley Fill,1107.4,0.002,0,0.639
521233,Segva,Sinor,22.006763,73.374721,0.0,0.79,4.33,100.0,13.5,156.0,Deccan Trap Basalt,Deep Black Cotton Soil,1.18,Alluvial Plain / Valley Fill,1111.0,0.0,0,0.629
521230,Sadhli,Sinor,21.990856,73.297683,0.0,0.88,4.15,107.5,14.85,171.6,Deccan Trap Basalt,Deep Black Cotton Soil,1.29,Alluvial Plain / Valley Fill,1111.0,0.001,0,0.66
521108,Sampla,Padra,22.092733,72.917623,0.0,3.1,3.44,92.5,12.15,140.4,Deccan Trap Basalt,Alluvial Loamy Soil,1.07,Alluvial Plain / Valley Fill,1098.4,0.001,0,0.596
521107,Shanpur,Padra,22.104415,72.950166,0.0,2.12,4.05,92.5,12.15,140.4,Deccan Trap Basalt,Alluvial Loamy Soil,1.07,Alluvial Plain / Valley Fill,1089.4,0.0,0,0.595
521090,Kanzat,Padra,22.108455,72.889902,8.48,1.78,0.0,95.0,12.6,145.6,Deccan Trap Basalt,Alluvial Loamy Soil,1.11,Alluvial Plain / Valley Fill,1093.0,0.001,0,0.593
521110,Bhanpur,Padra,22.090872,72.938779,0.0,0.64,4.46,95.0,12.6,145.6,Deccan Trap Basalt,Alluvial Loamy Soil,1.11,Alluvial Plain / Valley Fill,1102.0,0.001,0,0.607
521111,Vanchhara,Padra,22.075925,72.949723,0.0,3.61,5.36,95.0,12.6,145.6,Deccan Trap Basalt,Alluvial Loamy Soil,1.11,Alluvial Plain / Valley Fill,1082.2,0.001,0,0.605
521109,Danoli,Padra,22.069706,72.919621,0.0,2.9,4.36,92.5,12.15,140.4,Deccan Trap Basalt,Alluvial Loamy Soil,1.07,Alluvial Plain / Valley Fill,1100.2,0.001,0,0.596
