village_code,village_name,subdistrict,latitude,longitude,total_population,surface_water_exposure,road_connectivity_score,drainage_quality_score,elevation_m_EXTERNAL_TOFILL,slope_deg_EXTERNAL_TOFILL,drainage_density_km_per_km2_EXTERNAL_TOFILL,rainfall_1hr_intensity_mm_EXTERNAL_TOFILL,rainfall_3hr_intensity_mm_EXTERNAL_TOFILL,rainfall_24hr_intensity_mm_EXTERNAL_TOFILL,antecedent_rainfall_7day_mm_EXTERNAL_TOFILL,distance_to_vishwamitri_river_km_EXTERNAL_TOFILL,historical_cloudburst_flag_EXTERNAL_TOFILL,cloudburst_exceedance_probability_TARGET,intensity_3hr,topography_rainfall,cloudburst_exposure,drainage_vulnerability
519890,Meghakui,Vadodara Rural,22.138633,73.278804,1208.0,0,2,2,100.0,13.5,0.05,93.0,159.1,244.8,302.5,3.025,1,0.95,232.5,93.0,1147.6,0.3166666666666667
519858,Talsat,Vadodara Rural,22.238004,73.1711,1124.0,0,2,2,105.0,14.4,0.001,93.6,160.2,246.4,310.1,0.73,1,0.95,234.0,98.28,1067.8,0.3166666666666667
519835,Sisva,Vadodara Rural,22.397016,73.178636,2799.0,1,2,0,95.0,12.6,0.0,93.3,159.6,245.6,305.0,0.16,1,0.934,233.25,88.635,2614.266,0.934
519884,Vadsala,Vadodara Rural,22.157934,73.174287,3156.0,1,1,1,97.5,13.05,0.001,93.9,160.7,247.2,304.0,1.727,1,0.95,234.75,91.5525,2998.2,0.6333333333333334
519876,Hansajipura,Vadodara Rural,22.205196,73.260987,223.0,1,2,1,102.5,13.95,0.001,93.3,159.6,245.6,303.0,2.424,1,0.95,233.25,95.6325,211.85,0.6333333333333334
519861,Chikhodara,Vadodara Rural,22.233156,73.236326,1747.0,1,2,2,92.5,12.15,0.001,93.6,160.2,246.4,309.6,0.672,1,0.921,234.0,86.58,1608.987,0.30700000000000005
802597,Por Ramangamdi INA,Vadodara Rural,22.142991,73.180844,311.0,0,0,0,92.5,12.15,0.001,93.9,160.7,247.2,308.1,0.027,1,0.921,234.75,86.8575,286.43100000000004,0.921
519915,Sama OG,Vadodara Rural,22.347302,73.207008,0.0,0,0,0,90.0,11.7,0.001,94.5,161.7,248.8,308.6,0.078,1,0.906,236.25,85.05,0.0,0.906
521151,Dhamanja,Karjan,21.998056,73.080688,890.0,1,2,0,90.0,11.7,0.001,93.9,160.7,247.2,303.5,0.347,1,0.899,234.75,84.51,800.11,0.899
521152,Lakodara,Karjan,21.995859,73.111902,1947.0,0,3,0,90.0,12.15,0.001,93.9,160.7,247.2,305.5,0.277,1,0.911,234.75,84.51,1773.717,0.911
521162,Osalam,Karjan,21.991137,73.145019,1678.0,1,2,1,102.5,14.4,0.001,93.9,160.7,247.2,311.6,2.241,1,0.95,234.75,96.2475,1594.1,0.6333333333333334
521112,Kotna,Padra,22.0948,72.981493,1214.0,1,2,1,95.0,12.6,0.0,93.3,159.6,245.6,307.6,0.706,1,0.936,233.25,88.635,1136.304,0.6240000000000001
521116,Kothwada,Padra,22.110103,73.07992,780.0,1,2,1,100.0,13.05,0.001,93.3,159.6,245.6,309.6,0.238,1,0.95,233.25,93.3,741.0,0.6333333333333334
521113,Shahera,Padra,22.100724,73.017333,869.0,1,1,1,92.5,12.15,0.001,93.6,160.2,246.4,302.5,0.576,1,0.915,234.0,86.58,795.135,0.6100000000000001
521117,Vasnaref,Padra,22.08068,72.97523,407.0,1,2,1,90.0,11.7,0.001,93.3,159.6,245.6,306.0,0.621,1,0.899,233.25,83.97,365.89300000000003,0.5993333333333334
521119,Sokhdaraghu,Padra,22.064954,72.97663,2015.0,1,2,1,97.5,13.5,0.001,93.9,160.7,247.2,304.5,0.569,1,0.95,234.75,91.5525,1914.25,0.6333333333333334
519899,Kashipura,Vadodara Rural,22.116365,73.166323,1117.0,1,2,2,95.0,12.6,0.001,93.6,160.2,246.4,305.0,2.125,1,0.935,234.0,88.92,1044.395,0.3116666666666667
519898,Sarar,Vadodara Rural,22.104863,73.149804,2480.0,1,2,2,95.0,12.6,0.001,93.6,160.2,246.4,308.1,0.991,1,0.938,234.0,88.92,2326.24,0.3126666666666667
251215,Karjan,Karjan,22.053736,73.127378,30405.0,0,0,0,25.0,0.2,0.0,45.6,78.0,120.0,238.0,1.909,0,0.388,114.0,11.4,11797.140000000001,0.388
520999,Mandala,Dabhoi,22.082633,73.328643,3427.0,1,3,2,90.0,11.7,0.001,93.0,159.1,244.8,303.5,0.407,1,0.895,232.5,83.7,3067.165,0.2983333333333334
520998,Parikha,Dabhoi,22.082741,73.291885,1131.0,1,2,2,90.0,0.2,0.001,45.6,78.0,120.0,238.0,1.065,0,0.391,114.0,41.04,442.221,0.13033333333333336
520973,Nada,Dabhoi,22.131256,73.375066,1826.0,1,3,0,90.0,11.7,0.05,93.9,160.7,247.2,305.5,3.692,1,0.901,234.75,84.51,1645.226,0.901
520979,Sejpura,Dabhoi,22.122262,73.298782,421.0,0,2,0,92.5,13.5,0.0,92.4,158.1,243.2,302.5,0.85,1,0.941,231.0,85.47,396.161,0.941
520982,Tharvasa,Dabhoi,22.112532,73.392616,731.0,1,3,0,92.5,11.7,0.0,93.9,160.7,247.2,307.0,2.08,1,0.909,234.75,86.8575,664.479,0.909
520981,Baripura,Dabhoi,22.112979,73.33336,720.0,1,2,0,95.0,12.6,0.001,93.6,160.2,246.4,304.5,0.745,1,0.935,234.0,88.92,673.2,0.935
520980,Vakhatpura,Dabhoi,22.115875,73.315005,180.0,1,1,0,87.5,11.25,0.001,92.7,158.6,244.0,307.6,0.444,1,0.881,231.75,81.1125,158.58,0.881
520991,Habipura,Dabhoi,22.106409,73.353946,1688.0,1,3,0,100.0,11.7,0.0,93.6,160.2,246.4,303.5,0.516,1,0.927,234.0,93.6,1564.776,0.927
520978,Chhatral,Dabhoi,22.109304,73.290473,1170.0,1,2,2,92.5,12.15,0.0,93.3,159.6,245.6,300.5,0.123,1,0.912,233.25,86.3025,1067.04,0.30400000000000005
520977,Khanpur,Dabhoi,22.11699,73.276368,918.0,1,2,1,97.5,13.05,0.0,93.3,159.6,245.6,303.0,1.494,1,0.95,233.25,90.9675,872.0999999999999,0.6333333333333334
520994,Menpura,Dabhoi,22.106381,73.232355,1048.0,0,2,2,100.0,13.5,0.001,94.2,161.2,248.0,312.6,1.938,1,0.95,235.5,94.2,995.5999999999999,0.3166666666666667
520993,Kunvarpura,Dabhoi,22.102555,73.268697,482.0,1,0,1,92.5,12.6,0.001,93.6,160.2,246.4,305.5,1.298,1,0.928,234.0,86.58,447.29600000000005,0.6186666666666668
521128,Bamangam,Karjan,22.103873,73.192831,1884.0,1,3,1,92.5,12.15,0.0,93.9,160.7,247.2,312.1,0.66,1,0.924,234.75,86.8575,1740.816,0.6160000000000001
519905,Samsabad,Vadodara Rural,22.120986,73.265597,801.0,1,2,1,97.5,13.05,0.0,93.6,160.2,246.4,304.0,2.616,1,0.95,234.0,91.26,760.9499999999999,0.6333333333333334
520987,Navi Mangrol,Dabhoi,22.095945,73.471121,394.0,1,2,0,85.0,10.8,0.001,93.6,160.2,246.4,303.5,0.615,1,0.864,234.0,79.55999999999999,340.416,0.864
521020,Manpur,Dabhoi,22.05,73.448552,371.0,0,2,0,87.5,11.25,0.0,93.9,160.7,247.2,311.6,0.109,1,0.889,234.75,82.1625,329.819,0.889
521023,Akoti,Dabhoi,22.041523,73.490974,1091.0,1,3,0,97.5,13.05,0.002,93.9,160.7,247.2,303.5,1.888,1,0.95,234.75,91.5525,1036.45,0.95
521001,Sitpur,Dabhoi,22.08057,73.471272,1813.0,1,3,0,90.0,11.7,0.001,93.3,159.6,245.6,309.1,0.805,1,0.901,233.25,83.97,1633.5130000000001,0.901
520989,Gamdi Kanayada,Dabhoi,22.095686,73.413239,981.0,1,2,0,92.5,12.15,0.001,93.6,160.2,246.4,307.6,0.214,1,0.919,234.0,86.58,901.539,0.919
521003,Dharmapura,Dabhoi,22.085604,73.534557,338.0,0,3,0,90.0,11.7,0.001,93.6,160.2,246.4,304.5,0.708,1,0.899,234.0,84.24,303.862,0.899
521012,Vadaj,Dabhoi,22.075049,73.438367,2266.0,0,2,2,97.5,13.05,0.0,93.6,160.2,246.4,308.6,1.769,1,0.95,234.0,91.26,2152.7,0.3166666666666667
521002,Bhilodiya,Dabhoi,22.079777,73.507412,1251.0,0,3,0,92.5,12.15,0.003,93.3,159.6,245.6,307.0,1.339,1,0.917,233.25,86.3025,1147.1670000000001,0.917
521000,Kanayada,Dabhoi,22.076657,73.405223,1421.0,0,2,0,100.0,13.5,0.001,92.7,158.6,244.0,311.1,1.893,1,0.95,231.75,92.7,1349.95,0.95
521010,Chanwada,Dabhoi,22.064168,73.468113,1686.0,1,3,0,92.5,11.7,0.001,93.3,159.6,245.6,308.1,1.007,1,0.908,233.25,86.3025,1530.8880000000001,0.908
521004,Para,Dabhoi,22.072918,73.531128,211.0,0,2,0,90.0,11.7,0.002,93.3,159.6,245.6,305.5,0.009,1,0.898,233.25,83.97,189.478,0.898
521006,Asgol,Dabhoi,22.064052,73.533433,352.0,0,2,0,90.0,10.8,0.002,93.6,160.2,246.4,304.0,0.834,1,0.878,234.0,84.24,309.056,0.878
521007,Araniya,Dabhoi,22.058945,73.527337,417.0,1,2,0,87.5,11.25,0.002,93.9,160.7,247.2,303.5,0.537,1,0.882,234.75,82.1625,367.794,0.882
521013,Ten Talav,Dabhoi,22.049604,73.413979,3013.0,1,2,2,105.0,14.85,0.0,93.3,159.6,245.6,310.6,1.94,1,0.95,233.25,97.965,2862.35,0.3166666666666667
521009,Asodara,Dabhoi,22.048387,73.5033,746.0,1,2,2,90.0,11.7,0.003,93.6,160.2,246.4,303.5,1.521,1,0.898,234.0,84.24,669.908,0.2993333333333334
521008,Nagdol,Dabhoi,22.053618,73.516519,557.0,1,2,0,87.5,11.25,0.002,93.9,160.7,247.2,304.0,0.371,1,0.882,234.75,82.1625,491.274,0.882
521011,Ordi,Dabhoi,22.050937,73.459476,742.0,1,2,0,85.0,10.8,0.001,93.3,159.6,245.6,305.5,0.614,1,0.865,233.25,79.305,641.83,0.865
521022,Paragam,Dabhoi,22.040225,73.47484,582.0,0,2,0,82.5,10.35,0.001,93.9,160.7,247.2,307.0,0.823,1,0.852,234.75,77.46750000000002,495.864,0.852
521021,Rajpura,Dabhoi,22.034954,73.452827,759.0,1,2,1,90.0,10.8,0.001,93.9,160.7,247.2,310.6,0.936,1,0.885,234.75,84.51,671.715,0.5900000000000001
521026,Gumanpura,Dabhoi,22.027967,73.466711,365.0,1,1,0,90.0,11.7,0.001,93.6,160.2,246.4,301.0,0.641,1,0.896,234.0,84.24,327.04,0.896
521025,Bhumasiya,Dabhoi,22.029212,73.484929,427.0,0,2,0,92.5,12.15,0.001,93.3,159.6,245.6,304.5,0.439,1,0.915,233.25,86.3025,390.70500000000004,0.915
521024,Sompura,Dabhoi,22.025399,73.498561,581.0,0,2,0,97.5,12.15,0.0,93.3,159.6,245.6,301.5,0.865,1,0.928,233.25,90.9675,539.168,0.928
521030,Jesangpura,Dabhoi,22.019937,73.480743,102.0,0,2,0,92.5,12.15,0.0,93.6,160.2,246.4,303.0,0.578,1,0.915,234.0,86.58,93.33,0.915
521027,Sanor,Dabhoi,22.01772,73.454152,1258.0,1,2,0,110.0,15.3,0.001,93.3,159.6,245.6,307.6,1.511,1,0.95,233.25,102.63,1195.1,0.95
521031,Bhalodra,Dabhoi,22.010556,73.493043,657.0,1,2,0,97.5,13.05,0.0,93.0,159.1,244.8,300.5,0.735,1,0.948,232.5,90.675,622.836,0.948
521028,Mandva,Dabhoi,22.001965,73.434328,2792.0,1,3,0,95.0,13.05,0.0,93.3,159.6,245.6,306.5,1.832,1,0.946,233.25,88.635,2641.232,0.946
521033,Gamdi,Dabhoi,21.999967,73.472539,138.0,1,2,1,90.0,11.7,0.001,93.9,160.7,247.2,303.5,0.818,1,0.899,234.75,84.51,124.062,0.5993333333333334
521029,Fulwadi,Dabhoi,22.007016,73.452339,593.0,0,3,0,102.5,13.5,0.001,93.3,159.6,245.6,307.6,2.135,1,0.95,233.25,95.6325,563.35,0.95
521034,Chandod,Dabhoi,21.991799,73.460127,3019.0,1,3,1,92.5,12.15,0.001,93.9,160.7,247.2,304.0,1.168,1,0.917,234.75,86.8575,2768.4230000000002,0.6113333333333334
521219,Nana Karala,Sinor,22.018617,73.417563,1173.0,1,1,2,107.5,14.4,0.05,93.6,160.2,246.4,307.0,3.755,1,0.95,234.0,100.62,1114.35,0.3166666666666667
521234,Satisana,Sinor,22.001769,73.406543,937.0,0,3,2,105.0,14.4,0.0,93.3,159.6,245.6,307.6,2.629,1,0.95,233.25,97.965,890.15,0.3166666666666667
521032,Baglipura,Dabhoi,22.003732,73.504446,422.0,0,2,0,97.5,12.6,0.0,93.3,159.6,245.6,302.0,1.686,1,0.939,233.25,90.9675,396.258,0.939
520985,Bhimpura Kukad,Dabhoi,22.139255,73.508042,1347.0,0,2,0,87.5,11.25,0.001,93.9,160.7,247.2,305.0,0.469,1,0.883,234.75,82.1625,1189.401,0.883
520984,Karnet,Dabhoi,22.114336,73.484308,2044.0,0,1,0,87.5,11.25,0.001,94.2,161.2,248.0,306.0,0.694,1,0.885,235.5,82.425,1808.94,0.885
520983,Boriyad,Dabhoi,22.120655,73.460479,1024.0,1,2,2,95.0,12.15,0.001,93.3,159.6,245.6,308.1,2.601,1,0.926,233.25,88.635,948.224,0.3086666666666667
520988,Dharmpuri,Dabhoi,22.10525,73.445468,1732.0,1,3,2,92.5,12.15,0.0,93.0,159.1,244.8,312.6,0.812,1,0.921,232.5,86.025,1595.172,0.30700000000000005
520986,Juni Mangrol,Dabhoi,22.104319,73.475881,475.0,1,2,0,90.0,12.15,0.001,93.9,160.7,247.2,306.0,0.574,1,0.911,234.75,84.51,432.725,0.911
251213,Dabhoi,Dabhoi,22.132821,73.43051,51240.0,0,0,0,92.5,12.15,0.0,93.6,160.2,246.4,309.1,2.806,1,0.92,234.0,86.58,47140.8,0.92
521017,Kayavarohan,Dabhoi,22.075851,73.250283,8409.0,1,3,1,95.0,12.6,0.001,94.2,161.2,248.0,308.1,1.087,1,0.94,235.5,89.49,7904.459999999999,0.6266666666666667
520995,Puniyad,Dabhoi,22.100616,73.213227,1544.0,1,2,2,97.5,13.05,0.001,94.2,161.2,248.0,311.6,0.73,1,0.95,235.5,91.845,1466.8,0.3166666666666667
520992,Kothara,Dabhoi,22.101065,73.306994,824.0,0,2,0,92.5,11.7,0.001,93.3,159.6,245.6,302.5,0.783,1,0.903,233.25,86.3025,744.072,0.903
520990,Sathod,Dabhoi,22.088947,73.380113,3682.0,1,3,0,92.5,12.15,0.001,93.3,159.6,245.6,305.0,0.545,1,0.916,233.25,86.3025,3372.712,0.916
520997,Sultanpura,Dabhoi,22.081722,73.275647,559.0,0,2,0,95.0,12.6,0.001,94.2,161.2,248.0,304.5,0.556,1,0.937,235.5,89.49,523.783,0.937
520996,Fofaliya,Dabhoi,22.077858,73.207523,985.0,1,1,2,97.5,13.05,0.001,94.5,161.7,248.8,315.1,1.785,1,0.95,236.25,92.1375,935.75,0.3166666666666667
521015,Pisai,Dabhoi,22.065104,73.353468,1396.0,0,2,1,97.5,12.6,0.0,93.3,159.6,245.6,308.6,1.804,1,0.945,233.25,90.9675,1319.22,0.63
521014,Shirola,Dabhoi,22.056849,73.383541,1599.0,1,3,2,100.0,13.5,0.0,93.0,159.1,244.8,313.1,0.738,1,0.95,232.5,93.0,1519.05,0.3166666666666667
521016,Karmal,Dabhoi,22.058746,73.302368,1401.0,1,2,2,92.5,12.15,0.0,93.3,159.6,245.6,311.1,1.473,1,0.921,233.25,86.3025,1290.3210000000001,0.30700000000000005
521018,Lingsthali,Dabhoi,22.042229,73.252039,1935.0,1,1,1,102.5,13.95,0.0,94.2,161.2,248.0,310.1,0.944,1,0.95,235.5,96.555,1838.25,0.6333333333333334
521019,Bananj,Dabhoi,22.024348,73.233382,835.0,1,2,0,97.5,13.05,0.0,94.2,161.2,248.0,308.1,2.609,1,0.95,235.5,91.845,793.25,0.95
521143,Dhanora,Karjan,22.081782,73.187754,741.0,1,2,1,95.0,12.6,0.001,93.6,160.2,246.4,312.6,1.787,1,0.942,234.0,88.92,698.0219999999999,0.628
521144,Gandhara,Karjan,22.053571,73.215055,1828.0,1,3,1,100.0,13.95,0.0,94.5,161.7,248.8,309.1,2.43,1,0.95,236.25,94.5,1736.6,0.6333333333333334
521145,Ganpatpura,Karjan,22.055872,73.196843,1466.0,0,3,1,102.5,13.95,0.0,94.5,161.7,248.8,311.1,1.483,1,0.95,236.25,96.8625,1392.7,0.6333333333333334
521156,Dhavat,Karjan,22.033506,73.18218,2340.0,1,3,1,100.0,13.5,0.001,94.2,161.2,248.0,310.6,1.587,1,0.95,235.5,94.2,2223.0,0.6333333333333334
521157,Kurali,Karjan,22.024655,73.212051,1924.0,1,3,1,102.5,13.95,0.05,94.5,161.7,248.8,314.1,3.849,1,0.95,236.25,96.8625,1827.8,0.6333333333333334
521158,Vemar,Karjan,22.001203,73.236051,2655.0,1,3,1,92.5,12.15,0.001,94.8,162.2,249.6,306.0,0.825,1,0.922,237.0,87.69,2447.9100000000003,0.6146666666666668
521160,Kasampur,Karjan,22.010784,73.197272,601.0,1,1,1,102.5,14.4,0.001,93.9,160.7,247.2,313.1,2.555,1,0.95,234.75,96.2475,570.9499999999999,0.6333333333333334
521159,Kothav,Karjan,22.000365,73.216065,998.0,0,2,1,107.5,14.85,0.001,93.9,160.7,247.2,310.1,1.8,1,0.95,234.75,100.9425,948.0999999999999,0.6333333333333334
521172,Nishaliya,Karjan,21.994476,73.203651,533.0,1,2,1,105.0,14.4,0.001,93.9,160.7,247.2,309.6,1.945,1,0.95,234.75,98.595,506.34999999999997,0.6333333333333334
521171,Choranda,Karjan,21.988212,73.178437,3674.0,1,1,1,100.0,13.5,0.001,94.5,161.7,248.8,309.1,2.626,1,0.95,236.25,94.5,3490.2999999999997,0.6333333333333334
521217,Sandha,Sinor,22.051567,73.333742,714.0,0,1,2,97.5,13.05,0.0,93.6,160.2,246.4,306.5,2.664,1,0.95,234.0,91.26,678.3,0.3166666666666667
521218,Damnagar,Sinor,22.048448,73.35436,587.0,1,2,0,90.0,11.7,0.05,93.3,159.6,245.6,306.0,3.085,1,0.899,233.25,83.97,527.713,0.899
521216,Garadi,Sinor,22.046886,73.313492,1223.0,0,2,2,97.5,13.05,0.0,93.3,159.6,245.6,310.6,2.705,1,0.95,233.25,90.9675,1161.85,0.3166666666666667
521215,Nana Habipura,Sinor,22.045817,73.288605,771.0,1,2,2,92.5,12.15,0.0,94.5,161.7,248.8,309.1,2.197,1,0.924,236.25,87.4125,712.404,0.30800000000000005
521225,Achisara,Sinor,22.032329,73.319689,937.0,1,2,2,100.0,13.5,0.0,93.6,160.2,246.4,311.1,2.405,1,0.95,234.0,93.6,890.15,0.3166666666666667
521222,Puniyad,Sinor,22.034808,73.362022,1426.0,1,1,2,92.5,12.15,0.0,93.9,160.7,247.2,309.1,1.594,1,0.922,234.75,86.8575,1314.7720000000002,0.3073333333333334
521221,Anandi,Sinor,22.027457,73.377876,1470.0,1,2,2,97.5,13.5,0.0,93.3,159.6,245.6,307.0,2.147,1,0.95,233.25,90.9675,1396.5,0.3166666666666667
521223,Bhekhada,Sinor,22.034538,73.340775,572.0,0,1,2,105.0,14.4,0.0,93.3,159.6,245.6,308.1,2.361,1,0.95,233.25,97.965,543.4,0.3166666666666667
521214,Timbarva,Sinor,22.02638,73.271644,2047.0,1,2,2,102.5,13.5,0.05,93.9,160.7,247.2,310.1,3.403,1,0.95,234.75,96.2475,1944.6499999999999,0.3166666666666667
521224,Chhanbhoi,Sinor,22.018022,73.343451,817.0,1,1,2,92.5,12.15,0.0,94.2,161.2,248.0,311.6,0.842,1,0.925,235.5,87.135,755.725,0.3083333333333334
521231,Avakhal,Sinor,22.0029,73.3245,3162.0,0,3,2,92.5,12.15,0.001,93.6,160.2,246.4,310.6,0.371,1,0.922,234.0,86.58,2915.364,0.3073333333333334
521232,Malpur,Sinor,22.006701,73.353646,1179.0,1,3,2,102.5,13.95,0.0,93.0,159.1,244.8,312.6,0.713,1,0.95,232.5,95.325,1120.05,0.3166666666666667
521226,Tarva,Sinor,22.00933,73.267989,808.0,0,2,2,102.5,13.95,0.002,94.2,161.2,248.0,310.1,2.563,1,0.95,235.5,96.555,767.5999999999999,0.3166666666666667
521233,Segva,Sinor,22.006763,73.374721,1414.0,0,3,2,100.0,13.5,0.0,93.6,160.2,246.4,311.1,2.3,1,0.95,234.0,93.6,1343.3,0.3166666666666667
521230,Sadhli,Sinor,21.990856,73.297683,6269.0,1,3,2,107.5,14.85,0.001,94.8,162.2,249.6,311.1,0.896,1,0.95,237.0,101.91,5955.549999999999,0.3166666666666667
521108,Sampla,Padra,22.092733,72.917623,1449.0,1,2,1,92.5,12.15,0.001,93.9,160.7,247.2,307.6,1.565,1,0.92,234.75,86.8575,1333.0800000000002,0.6133333333333334
521107,Shanpur,Padra,22.104415,72.950166,1367.0,0,2,1,92.5,12.15,0.0,93.0,159.1,244.8,305.0,0.232,1,0.914,232.5,86.025,1249.438,0.6093333333333334
521090,Kanzat,Padra,22.108455,72.889902,4659.0,1,3,1,95.0,12.6,0.001,93.9,160.7,247.2,306.0,0.487,1,0.937,234.75,89.205,4365.483,0.6246666666666668
521110,Bhanpur,Padra,22.090872,72.938779,801.0,1,2,1,95.0,12.6,0.001,93.3,159.6,245.6,308.6,0.787,1,0.937,233.25,88.635,750.537,0.6246666666666668
521111,Vanchhara,Padra,22.075925,72.949723,1460.0,1,2,1,95.0,12.6,0.001,93.3,159.6,245.6,303.0,0.364,1,0.932,233.25,88.635,1360.72,0.6213333333333334
521109,Danoli,Padra,22.069706,72.919621,1017.0,1,2,1,92.5,12.15,0.001,93.3,159.6,245.6,308.1,2.303,1,0.918,233.25,86.3025,933.606,0.6120000000000001
521118,Nedra,Padra,22.052913,72.928131,1030.0,1,2,1,95.0,12.6,0.001,93.3,159.6,245.6,305.5,0.564,1,0.934,233.25,88.635,962.0200000000001,0.6226666666666668
521227,Tinglod,Sinor,21.990449,73.25099,819.0,0,3,2,97.5,12.15,0.001,94.5,161.7,248.8,308.6,0.646,1,0.939,236.25,92.1375,769.0409999999999,0.313
521122,Abhara,Karjan,22.088832,73.023087,1059.0,1,2,2,102.5,13.95,0.001,93.6,160.2,246.4,308.6,0.586,1,0.95,234.0,95.94,1006.05,0.3166666666666667
521142,Kandari,Karjan,22.080348,73.151713,4295.0,1,3,1,107.5,13.95,0.001,93.6,160.2,246.4,310.6,1.023,1,0.95,234.0,100.62,4080.25,0.6333333333333334
521132,Kurai,Karjan,22.077144,73.102052,1473.0,1,2,1,102.5,13.5,0.0,93.3,159.6,245.6,307.0,1.723,1,0.95,233.25,95.6325,1399.35,0.6333333333333334
521134,Handod,Karjan,22.074506,73.054631,2095.0,0,2,0,92.5,12.15,0.0,93.6,160.2,246.4,309.6,1.707,1,0.921,234.0,86.58,1929.4950000000001,0.921
521133,Khandha,Karjan,22.070567,73.073476,1362.0,1,2,0,92.5,12.6,0.0,93.0,159.1,244.8,306.0,1.451,1,0.926,232.5,86.025,1261.212,0.926
521136,Chorbhuj,Karjan,22.061192,73.010019,1128.0,1,2,1,92.5,12.6,0.001,93.6,160.2,246.4,305.0,1.545,1,0.927,234.0,86.58,1045.656,0.6180000000000001
521123,Sambhoi,Karjan,22.107029,73.03894,1257.0,1,2,1,100.0,12.6,0.001,93.6,160.2,246.4,310.6,0.375,1,0.95,234.0,93.6,1194.1499999999999,0.6333333333333334
521124,Surwada,Karjan,22.107989,73.055006,1382.0,0,2,1,92.5,13.05,0.001,93.3,159.6,245.6,306.5,0.719,1,0.938,233.25,86.3025,1296.316,0.6253333333333334
521121,Virjai,Karjan,22.100334,73.001793,1738.0,1,2,2,92.5,12.15,0.001,93.6,160.2,246.4,301.5,1.105,1,0.914,234.0,86.58,1588.5320000000002,0.3046666666666667
521126,Pingalwada,Karjan,22.108714,73.097279,1508.0,1,3,1,92.5,12.15,0.001,93.6,160.2,246.4,310.6,0.653,1,0.922,234.0,86.58,1390.376,0.6146666666666668
521127,Harsunda,Karjan,22.10727,73.123008,463.0,1,2,1,95.0,12.6,0.001,93.6,160.2,246.4,312.6,0.231,1,0.942,234.0,88.92,436.14599999999996,0.628
521125,Manpur,Karjan,22.098113,73.075975,1022.0,0,2,0,95.0,12.6,0.001,93.3,159.6,245.6,305.5,0.383,1,0.934,233.25,88.635,954.548,0.934
521131,Anastu,Karjan,22.086903,73.114773,1899.0,0,2,1,102.5,13.95,0.0,93.6,160.2,246.4,317.1,0.727,1,0.95,234.0,95.94,1804.05,0.6333333333333334
521129,Manglej,Karjan,22.094203,73.173107,1297.0,0,3,1,90.0,11.7,0.001,93.6,160.2,246.4,310.1,0.02,1,0.903,234.0,84.24,1171.191,0.6020000000000001
521130,Kherda,Karjan,22.092915,73.136272,1211.0,1,2,1,95.0,12.6,0.001,93.3,159.6,245.6,307.6,0.651,1,0.936,233.25,88.635,1133.496,0.6240000000000001
