village_code,village_name,subdistrict,latitude,longitude,total_population,total_households,sc_st_population_share_pct,population_density_per_ha,drainage_quality_score,road_connectivity_score,healthcare_access_score,surface_water_exposure,flood_hazard_score_FROM_MODEL1,erosion_risk_score_FROM_MODEL2,cloudburst_exceedance_probability_FROM_MODEL3,landslide_susceptibility_score_FROM_MODEL4,exposure_score_TARGET,vulnerability_score_TARGET,composite_risk_score_TARGET,priority_category_TARGET
521018,Lingsthali,Dabhoi,22.042229,73.252039,1935.0,447.0,43.93,2.245,1,1,1,1,0.486,0.98,0.95,0.639,0.64,0.476,0.621,Medium (Mitigation)
521019,Bananj,Dabhoi,22.024348,73.233382,835.0,197.0,62.87,1.998,0,2,0,1,0.368,0.98,0.95,0.617,0.625,0.551,0.612,Medium (Mitigation)
521143,Dhanora,Karjan,22.081782,73.187754,741.0,162.0,29.28,2.301,1,2,0,1,0.426,0.98,0.942,0.609,0.644,0.417,0.588,Medium (Mitigation)
521144,Gandhara,Karjan,22.053571,73.215055,1828.0,413.0,33.04,2.344,1,3,0,1,0.382,0.98,0.95,0.639,0.646,0.282,0.541,Medium (Mitigation)
521145,Ganpatpura,Karjan,22.055872,73.196843,1466.0,304.0,50.82,1.837,1,3,1,0,0.447,0.98,0.95,0.64,0.115,0.203,0.425,Medium (Mitigation)
521156,Dhavat,Karjan,22.033506,73.18218,2340.0,539.0,47.44,1.84,1,3,0,1,0.439,0.98,0.95,0.629,0.615,0.34,0.564,Medium (Mitigation)
521157,Kurali,Karjan,22.024655,73.212051,1924.0,459.0,59.56,3.255,1,3,1,1,0.287,0.98,0.95,0.642,0.703,0.238,0.518,Medium (Mitigation)
521158,Vemar,Karjan,22.001203,73.236051,2655.0,570.0,52.32,2.541,1,3,1,1,0.496,0.98,0.922,0.595,0.659,0.209,0.541,Medium (Mitigation)
521160,Kasampur,Karjan,22.010784,73.197272,601.0,143.0,56.41,1.247,1,1,0,1,0.368,0.98,0.95,0.651,0.578,0.676,0.643,Medium (Mitigation)
521159,Kothav,Karjan,22.000365,73.216065,998.0,198.0,33.07,1.976,1,2,0,0,0.424,0.98,0.95,0.66,0.124,0.432,0.492,Medium (Mitigation)
521172,Nishaliya,Karjan,21.994476,73.203651,533.0,114.0,51.59,1.89,1,2,0,1,0.414,0.98,0.95,0.649,0.618,0.506,0.61,Medium (Mitigation)
521171,Choranda,Karjan,21.988212,73.178437,3674.0,731.0,23.84,3.016,1,1,1,1,0.371,0.98,0.95,0.628,0.688,0.395,0.58,Medium (Mitigation)
521217,Sandha,Sinor,22.051567,73.333742,714.0,165.0,41.88,2.462,2,1,0,0,0.365,0.98,0.95,0.616,0.154,0.618,0.538,Medium (Mitigation)
521218,Damnagar,Sinor,22.048448,73.35436,587.0,134.0,42.25,1.784,0,2,0,1,0.336,0.98,0.899,0.586,0.612,0.469,0.571,Medium (Mitigation)
521216,Garadi,Sinor,22.046886,73.313492,1223.0,242.0,12.76,3.227,2,2,0,0,0.366,0.98,0.95,0.618,0.202,0.351,0.467,Medium (Mitigation)
521215,Nana Habipura,Sinor,22.045817,73.288605,771.0,171.0,43.06,2.394,2,2,0,1,0.398,0.98,0.924,0.597,0.65,0.472,0.596,Medium (Mitigation)
521225,Achisara,Sinor,22.032329,73.319689,937.0,212.0,45.57,1.28,2,2,0,1,0.378,0.98,0.95,0.629,0.58,0.482,0.586,Medium (Mitigation)
521222,Puniyad,Sinor,22.034808,73.362022,1426.0,343.0,45.65,2.088,2,1,0,1,0.438,0.98,0.922,0.597,0.631,0.633,0.65,Medium (Mitigation)
521221,Anandi,Sinor,22.027457,73.377876,1470.0,332.0,42.86,1.939,2,2,1,1,0.399,0.98,0.95,0.627,0.621,0.321,0.55,Medium (Mitigation)
521223,Bhekhada,Sinor,22.034538,73.340775,572.0,139.0,53.15,2.846,2,1,1,0,0.388,0.98,0.95,0.648,0.178,0.513,0.518,Medium (Mitigation)
521214,Timbarva,Sinor,22.02638,73.271644,2047.0,504.0,47.19,1.32,2,2,1,1,0.309,0.98,0.95,0.629,0.582,0.339,0.528,Medium (Mitigation)
521224,Chhanbhoi,Sinor,22.018022,73.343451,817.0,203.0,62.79,1.559,2,1,0,1,0.49,0.98,0.925,0.598,0.597,0.701,0.675,High (Relocation Priority)
521231,Avakhal,Sinor,22.0029,73.3245,3162.0,753.0,45.51,2.353,2,3,1,0,0.525,0.98,0.922,0.598,0.147,0.182,0.437,Medium (Mitigation)
521232,Malpur,Sinor,22.006701,73.353646,1179.0,246.0,46.99,2.557,2,3,0,1,0.502,0.98,0.95,0.641,0.66,0.338,0.587,Medium (Mitigation)
521226,Tarva,Sinor,22.00933,73.267989,808.0,179.0,68.32,1.548,2,2,0,0,0.369,0.98,0.95,0.639,0.097,0.573,0.515,Medium (Mitigation)
521233,Segva,Sinor,22.006763,73.374721,1414.0,308.0,48.16,3.121,2,3,1,0,0.393,0.98,0.95,0.629,0.195,0.193,0.426,Medium (Mitigation)
521230,Sadhli,Sinor,21.990856,73.297683,6269.0,1284.0,23.91,5.533,2,3,1,1,0.505,0.98,0.95,0.66,0.846,0.096,0.554,Medium (Mitigation)
521108,Sampla,Padra,22.092733,72.917623,1449.0,310.0,16.7,1.664,1,2,0,1,0.439,0.98,0.92,0.596,0.604,0.367,0.564,Medium (Mitigation)
521107,Shanpur,Padra,22.104415,72.950166,1367.0,277.0,11.85,2.639,1,2,0,0,0.536,0.98,0.914,0.595,0.165,0.347,0.492,Medium (Mitigation)
521090,Kanzat,Padra,22.108455,72.889902,4659.0,1005.0,6.48,6.373,1,3,1,1,0.532,0.98,0.937,0.593,0.898,0.05,0.55,Medium (Mitigation)
521110,Bhanpur,Padra,22.090872,72.938779,801.0,164.0,2.12,2.543,1,2,0,1,0.497,0.98,0.937,0.607,0.659,0.308,0.573,Medium (Mitigation)
521111,Vanchhara,Padra,22.075925,72.949723,1460.0,315.0,34.86,1.7,1,2,1,1,0.522,0.98,0.932,0.605,0.606,0.289,0.562,Medium (Mitigation)
521109,Danoli,Padra,22.069706,72.919621,1017.0,232.0,9.14,2.11,1,2,0,1,0.388,0.98,0.918,0.596,0.632,0.337,0.549,Medium (Mitigation)
521118,Nedra,Padra,22.052913,72.928131,1030.0,226.0,39.42,1.876,1,2,0,1,0.51,0.98,0.934,0.606,0.617,0.458,0.612,Medium (Mitigation)
521227,Tinglod,Sinor,21.990449,73.25099,819.0,194.0,44.2,1.754,2,3,0,0,0.504,0.98,0.939,0.597,0.11,0.327,0.47,Medium (Mitigation)
521122,Abhara,Karjan,22.088832,73.023087,1059.0,245.0,61.66,1.629,2,2,0,1,0.507,0.98,0.95,0.639,0.602,0.547,0.64,Medium (Mitigation)
521142,Kandari,Karjan,22.080348,73.151713,4295.0,973.0,46.87,2.688,1,3,1,1,0.481,0.98,0.95,0.64,0.668,0.187,0.539,Medium (Mitigation)
521132,Kurai,Karjan,22.077144,73.102052,1473.0,344.0,60.9,1.796,1,2,1,1,0.427,0.98,0.95,0.627,0.612,0.394,0.577,Medium (Mitigation)
521134,Handod,Karjan,22.074506,73.054631,2095.0,466.0,30.69,2.054,0,2,1,0,0.43,0.98,0.921,0.597,0.128,0.273,0.439,Medium (Mitigation)
521133,Khandha,Karjan,22.070567,73.073476,1362.0,259.0,23.42,1.694,0,2,0,1,0.446,0.98,0.926,0.606,0.606,0.394,0.576,Medium (Mitigation)
521136,Chorbhuj,Karjan,22.061192,73.010019,1128.0,254.0,28.99,1.332,1,2,0,1,0.438,0.98,0.927,0.606,0.583,0.416,0.576,Medium (Mitigation)
521123,Sambhoi,Karjan,22.107029,73.03894,1257.0,253.0,32.22,1.765,1,2,0,1,0.522,0.98,0.95,0.608,0.61,0.429,0.607,Medium (Mitigation)
521124,Surwada,Karjan,22.107989,73.055006,1382.0,299.0,23.44,2.838,1,2,0,0,0.503,0.98,0.938,0.616,0.177,0.394,0.505,Medium (Mitigation)
521121,Virjai,Karjan,22.100334,73.001793,1738.0,397.0,29.92,1.647,2,2,1,1,0.471,0.98,0.914,0.593,0.603,0.27,0.541,Medium (Mitigation)
521126,Pingalwada,Karjan,22.108714,73.097279,1508.0,359.0,31.83,1.926,1,3,1,1,0.504,0.98,0.922,0.598,0.62,0.127,0.511,Medium (Mitigation)
521127,Harsunda,Karjan,22.10727,73.123008,463.0,105.0,58.53,2.74,1,2,0,1,0.536,0.98,0.942,0.609,0.671,0.534,0.653,High (Relocation Priority)
521125,Manpur,Karjan,22.098113,73.075975,1022.0,210.0,41.1,2.094,0,2,0,0,0.522,0.98,0.934,0.606,0.131,0.464,0.52,Medium (Mitigation)
521131,Anastu,Karjan,22.086903,73.114773,1899.0,420.0,44.13,2.208,1,2,1,0,0.5,0.98,0.95,0.643,0.138,0.327,0.479,Medium (Mitigation)
521129,Manglej,Karjan,22.094203,73.173107,1297.0,276.0,45.1,2.362,1,3,0,0,0.554,0.98,0.903,0.588,0.148,0.33,0.486,Medium (Mitigation)
521130,Kherda,Karjan,22.092915,73.136272,1211.0,221.0,17.34,2.533,1,2,0,1,0.507,0.98,0.936,0.607,0.658,0.369,0.594,Medium (Mitigation)
521137,Umaj,Karjan,22.055899,72.964382,1167.0,245.0,34.53,2.185,1,2,1,1,0.466,0.98,0.917,0.596,0.637,0.288,0.553,Medium (Mitigation)
521146,Vemardi,Karjan,22.052172,73.172982,1212.0,256.0,51.4,2.344,1,3,0,0,0.481,0.98,0.95,0.652,0.146,0.356,0.486,Medium (Mitigation)
521166,Mankan,Karjan,21.932658,73.069718,1792.0,335.0,25.22,4.87,1,2,0,1,0.477,0.98,0.95,0.626,0.804,0.401,0.628,Medium (Mitigation)
521184,Sarupur Timbi,Karjan,21.929106,73.150558,768.0,158.0,45.57,2.279,1,2,0,1,0.533,0.98,0.95,0.638,0.642,0.482,0.634,Medium (Mitigation)
521183,Saniyad,Karjan,21.923933,73.173165,1228.0,259.0,60.02,1.785,0,1,1,0,0.442,0.98,0.936,0.605,0.112,0.54,0.521,Medium (Mitigation)
521163,Dethan,Karjan,21.977393,73.104835,2225.0,444.0,24.31,2.878,1,3,1,1,0.471,0.98,0.922,0.594,0.68,0.097,0.506,Medium (Mitigation)
521164,Valan,Karjan,21.954884,73.075371,10182.0,1854.0,15.46,4.353,1,3,1,0,0.515,0.98,0.927,0.594,0.272,0.062,0.424,Medium (Mitigation)
521169,Atali,Karjan,21.963404,73.147394,1222.0,262.0,35.52,1.711,1,2,0,1,0.329,0.98,0.95,0.617,0.607,0.442,0.567,Medium (Mitigation)
521170,Bachar,Karjan,21.962801,73.17002,1253.0,252.0,28.57,2.021,1,2,1,1,0.479,0.98,0.95,0.618,0.626,0.264,0.552,Medium (Mitigation)
521168,Kiya,Karjan,21.957047,73.121666,1410.0,273.0,22.91,1.502,0,2,0,1,0.402,0.98,0.939,0.607,0.594,0.392,0.564,Medium (Mitigation)
521176,Urad,Karjan,21.941814,73.159467,1073.0,226.0,37.65,2.379,1,2,0,1,0.491,0.98,0.95,0.618,0.649,0.451,0.615,Medium (Mitigation)
521177,Koliyad,Karjan,21.927209,73.131173,2612.0,538.0,45.83,2.877,1,2,1,1,0.452,0.98,0.95,0.617,0.68,0.333,0.577,Medium (Mitigation)
521167,Divi,Karjan,21.933756,73.116397,844.0,162.0,38.51,1.967,1,2,0,0,0.368,0.98,0.939,0.607,0.123,0.454,0.481,Medium (Mitigation)
